TICID,RA,Dec,Tmag,Keywords
138899713,82.8105,3.2923,5.76,G011155;G011241;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
42889751,97.0941,-4.4621,9.14,G011204;G011241
220322383,100.2444,9.8957,4.96,G011155;G011241;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
220323146,100.29,9.466,7.42,G011286;G011241
307943195,99.3908,12.179,6.17,G011241;G011048;G011250
438006065,94.856,13.4339,6.41,G011241;G011048
59468405,92.114,13.9309,8.77,G011204;G011241
91791971,88.6864,13.8547,7.68,G011241
124079212,91.7142,-23.094,7.35,G011241
124079237,91.6337,-23.111,5.46,G011155;G011241;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
59846132,94.2657,-22.7167,5.54,G011048;G011241;G011250
60035416,95.0227,-23.1053,7.73,G011241
60035426,95.0326,-23.0942,9.36,G011241
79136279,103.7614,-20.4049,5.77,G011155;G011241;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
237405445,96.0041,-36.7074,4.82,G011155;G011184;G011241;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
237405448,96.0253,-36.703,5.87,G011184;G011241
20296854,90.803,-37.9624,8.66,G011241;G011250
20296856,90.8165,-37.9553,9.76,G011241
284348793,106.7779,-51.6392,8.85,G011241
284348795,106.752,-51.641,9.15,G011241
307291308,125.0019,-71.5052,5.74,G011155;G011241;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
307291318,124.9537,-71.5147,5.47,G011155;G011241;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
