TICID,RA,Dec,Tmag,Keywords
122862622,117.8383,-5.545,11.37,G05112;20SECONDTARGET
169053107,126.6984,-5.7461,11.29,G05112;20SECONDTARGET
169108334,126.9266,-5.0994,10.73,G05112;20SECONDTARGET
169108381,126.9789,-5.0404,11.26,G05112;20SECONDTARGET
170581965,122.8372,-7.7697,11.0,G05112;20SECONDTARGET
178366095,123.4001,-0.5054,11.96,G05112;20SECONDTARGET
178547672,124.3152,-0.9301,10.52,G05112;20SECONDTARGET
178547692,124.2615,-0.9471,11.45,G05112;20SECONDTARGET
178548076,124.2756,-1.5966,11.51,G05112;20SECONDTARGET
178588710,124.4758,-1.418,11.88,G05112;20SECONDTARGET
178627401,124.708,-1.2867,11.85,G05112;20SECONDTARGET
19071234,123.2751,-7.9922,11.45,G05112;20SECONDTARGET
19122714,123.4272,-7.5872,10.81,G05112;20SECONDTARGET
19125600,123.6369,-7.2781,11.74,G05112;20SECONDTARGET
19190790,123.7467,-8.0089,10.95,G05112;20SECONDTARGET
19341313,124.0824,-7.1154,11.59,G05112;20SECONDTARGET
19341862,124.0645,-7.6347,11.85,G05112;20SECONDTARGET
19384599,124.3876,-7.8331,11.43,G05112;20SECONDTARGET
19448348,124.464,-7.922,11.46,G05112;20SECONDTARGET
19448686,124.4782,-7.6027,11.48,G05112;20SECONDTARGET
19451878,124.5607,-7.7255,11.22,G05112;20SECONDTARGET
19452190,124.604,-8.0557,11.28,G05112;20SECONDTARGET
19573089,124.8969,-7.4233,11.08,G05112;20SECONDTARGET
68353976,116.7712,-5.8165,11.77,G05112;20SECONDTARGET
114797648,131.9692,-14.3903,12.0,G05112;20SECONDTARGET
114878380,132.4049,-14.3848,11.28,G05112;20SECONDTARGET
114927690,132.6248,-14.3706,11.34,G05112;20SECONDTARGET
13391636,131.7553,-7.6511,9.64,G05112;20SECONDTARGET
13391670,131.7765,-7.716,10.57,G05112;20SECONDTARGET
13391792,131.7033,-7.9591,10.74,G05112;20SECONDTARGET
13426907,131.8762,-7.1066,9.85,G05112;20SECONDTARGET
13442159,132.0837,-7.7947,11.28,G05112;20SECONDTARGET
13535686,132.5063,-8.1406,11.68,G05112;20SECONDTARGET
13560097,132.5533,-6.4222,11.2,G05112;20SECONDTARGET
13561294,132.7014,-7.6679,11.8,G05112;20SECONDTARGET
13623488,132.9622,-7.882,10.85,G05112;20SECONDTARGET
13628186,133.1303,-8.0827,11.24,G05112;20SECONDTARGET
13671833,133.267,-8.4,11.42,G05112;20SECONDTARGET
13713640,133.592,-8.0478,11.84,G05112;20SECONDTARGET
13714661,133.6364,-5.9681,11.11,G05112;20SECONDTARGET
149694866,129.8552,-4.329,10.36,G05112;20SECONDTARGET
149700259,130.0463,-4.1525,11.33,G05112;20SECONDTARGET
