TICID,RA,Dec,Tmag,Keywords
380859663,357.9527,-33.4521,7.19,G03227;G03035;G03251;20SECONDTARGET
281667171,10.117,-59.452,5.37,G03227;G03035;G03251;20SECONDTARGET
