TICID,RA,Dec,Tmag,Keywords
44452106,6.8531,33.9877,10.67,G07118;20SECONDTARGET
44486075,6.9406,34.5818,11.96,G07118;20SECONDTARGET
44487122,7.0329,34.8201,11.63,G07118;20SECONDTARGET
44487219,7.0555,34.5749,11.41,G07118;20SECONDTARGET
44487221,7.1052,34.5595,10.88,G07118;20SECONDTARGET
44490892,7.1424,34.8241,11.58,G07118;20SECONDTARGET
44490894,7.143,34.825,11.33,G07118;20SECONDTARGET
44521115,7.4102,34.8769,11.55,G07118;20SECONDTARGET
44521207,7.3399,34.6382,11.05,G07118;20SECONDTARGET
44521490,7.3228,33.8982,9.44,G07118;20SECONDTARGET
44521709,7.4193,33.3611,11.42,G07118;20SECONDTARGET
44525060,7.4421,34.8026,11.26,G07118;20SECONDTARGET
44525101,7.4816,34.9375,11.34,G07118;20SECONDTARGET
44557120,7.5705,34.0407,11.67,G07118;20SECONDTARGET
44557271,7.5737,33.7134,10.98,G07118;20SECONDTARGET
44557334,7.5879,33.5414,11.66,G07118;20SECONDTARGET
44557678,7.6902,32.6402,9.86,G07118;20SECONDTARGET
44557735,7.6978,32.4775,10.52,G07118;20SECONDTARGET
44559639,7.7217,32.6045,11.93,G07118;20SECONDTARGET
44559836,7.8442,33.1221,11.15,G07118;20SECONDTARGET
44559919,7.7245,33.3315,11.72,G07118;20SECONDTARGET
44560573,7.7179,34.8529,11.86,G07118;20SECONDTARGET
61128597,20.3989,31.0285,10.78,G07118;20SECONDTARGET
61129226,20.4,32.9657,9.13,G07118;20SECONDTARGET
61129534,20.331,33.8492,11.78,G07118;20SECONDTARGET
61129565,20.3148,33.9442,11.77,G07118;20SECONDTARGET
61129629,20.4101,34.1424,10.27,G07118;20SECONDTARGET
61129675,20.346,34.2554,11.44,G07118;20SECONDTARGET
61131031,20.5605,34.2465,11.93,G07118;20SECONDTARGET
61154432,20.5802,33.6933,11.81,G07118;20SECONDTARGET
61154484,20.544,33.5251,10.39,G07118;20SECONDTARGET
