TICID,RA,Dec,Tmag,Keywords
219790149,264.6703,61.2334,11.97,G022252;G022113
233068870,270.5716,64.2602,10.34,G022252;G022076;G022198;G022113;G022056
356539820,153.0873,63.1908,11.7,G022252;G022113;G022109;G022148;G022198
