TICID,RA,Dec,Tmag,Keywords
120569215,285.6031,36.9131,11.45,G04206
157652824,279.5862,37.4713,10.96,G04206
157807669,280.3703,37.5538,10.86,G04206
20437735,283.9034,30.036,10.98,G04206
20528414,284.0598,34.5414,10.88,G04206
20911026,285.0304,34.4427,9.4,G04206
21154143,285.4141,35.3103,9.3,G04206
23124237,274.5282,34.2733,11.1,G04206
24255788,277.2355,35.0384,11.39,G04206
28398377,281.7909,32.6121,11.18,G04206
28565554,282.1678,29.915,11.34,G04206
28684611,282.7355,30.3536,11.43,G04206
28942187,283.3042,30.7235,10.95,G04206
322428763,278.7637,28.8278,10.56,G04206
336211248,281.4138,37.4794,10.68,G04206
42313664,286.4416,34.6144,9.11,G04206
42313885,286.3733,34.5039,9.32,G04206
42380035,286.555,31.7977,10.89,G04206
42441260,286.6053,35.7933,11.44,G04206
68759350,281.3218,30.9484,10.99,G04206
68763778,281.4344,31.6074,11.24,G04206
235597969,270.4284,36.2509,11.34,G04206
332541024,270.4921,30.7879,10.82,G04123;G04106;G04206
135482338,271.5485,23.3069,11.57,G04206
135521610,271.6721,21.5437,11.09,G04206
230243800,264.5196,21.6131,10.69,G04206
235612261,272.8765,19.8011,11.04,G04206
286585105,271.7013,15.9262,11.55,G04206
286677581,271.716,16.0727,11.1,G04206
289807085,269.1162,15.889,11.43,G04206
298609696,267.7225,23.5688,10.59,G04206
298687232,267.8944,19.7622,11.37,G04206
363732872,265.5995,22.244,10.76,G04206
363923220,266.5122,21.2973,11.69,G04206
368208206,264.8701,18.4106,10.82,G04206
394026889,262.0708,21.2655,10.63,G04206
400360028,263.5012,16.2328,10.63,G04206
416171790,269.0588,17.197,10.95,G04206
44143095,266.7149,16.5126,11.64,G04206
158077519,273.8499,22.5832,11.0,G04206
158186773,274.2769,19.6489,11.44,G04206
158312320,274.4182,19.3928,11.44,G04206
255657132,283.4646,22.2577,11.18,G04206
287627010,276.4524,16.3572,11.37,G04206
298532001,282.9016,14.2886,10.64,G04206
314354236,279.592,18.5247,11.09,G04206
338337408,283.427,14.3228,10.32,G04206
339354622,283.9484,14.0674,11.19,G04206
346467492,280.484,19.4655,11.01,G04206
348157809,281.7788,21.2393,10.94,G04206
348927782,282.5686,20.2113,11.09,G04206
451628979,286.3244,22.6313,11.19,G04206
462762160,277.3516,15.9413,10.85,G04206
50170202,278.1119,14.5568,11.2,G04206
72972262,274.4815,15.2938,11.04,G04206
85051826,275.2844,24.505,11.72,G04206
284563930,291.4703,58.1518,10.9,G04103;G04206
353989471,272.5463,55.6388,10.61,G04171;G04206
389916225,275.7725,58.9035,10.1,G04171;G04206
406954476,290.3937,53.5881,11.09,G04123;G04206
198389193,258.1937,54.1507,11.57,G04206
233679640,260.3366,60.0582,10.88,G04171;G04206
237114978,269.6715,58.1615,10.64,G04219;G04171;G04206
219081309,257.1237,42.5304,11.06,G04123;G04206
120576722,285.5196,41.55,11.16,G04171;G04234;G04206
121121622,287.1648,39.3769,11.15,G04171;G04206
164463075,283.2592,42.8455,11.52,G04171;G04206
164557531,283.7665,47.8191,10.54,G04171;G04206
164677806,284.3976,45.1289,11.26,G04171;G04206
48506689,285.2448,48.745,11.39,G04184;G04206
311235572,253.9882,68.2001,11.4,G04103;G04206
356701798,254.8456,70.5769,10.62,G04171;G04206
441804888,265.8504,72.6112,11.26,G04171;G04133;G04206
258799679,286.6097,68.4837,10.58,G04123;G04206
356820646,269.5245,73.1237,11.22,G04171;G04103;G04206
461637324,21.1289,85.0186,11.02,G04184;G04206
