# TESS Program G022028

Title: White Dwarf Variability In The Ecliptic North

PI: Hermes, James - Boston University

Type: SMALL

Summary: We propose 2-min-cadence observations of 1346 white dwarfs visible in Cycle 2 of the TESS mission. Our primary objective is to search these white dwarfs for transits of remnant planetary systems; transits of Earth-sized white dwarfs are likely to be very deep but also very short, just a few minutes, requiring high-speed observations. Our proposed observations will also enable asteroseismology of a large sample of known and high-likelihood pulsating white dwarfs, continuing the space-based revolution into the interiors of pulsating white dwarfs. From both asteroseismology and spot modulation of magnetic white dwarfs we will significantly expand the number of white dwarfs with measured rotation rates, placing strong constraints on the endpoints of angular momentum in stars.


# Sector 014 targets observed (186)
284900652,261.0256,56.3342,16.42,G022077;G022028;G022217
287150240,253.6196,63.6554,15.91,G022077;G022028
289538721,251.3695,64.8942,16.27,G022077;G022028
459976272,254.8983,62.159,16.39,G022077;G022028;G022217
471015213,266.475,60.7033,15.7,G022077;G022028
219099282,270.0394,68.5974,15.21,G022077;G022028;G022017
229581336,270.3136,72.3136,16.18,G022077;G022028;G022217
229762574,281.2881,68.3763,15.72,G022077;G022028
229797408,285.0441,70.667,13.33,G022077;G022028;G022017
233212451,267.0123,70.8827,13.27,G022077;G022028;G022176;G022017
233235168,267.2679,71.7527,16.46,G022077;G022028;G022217
235674456,282.817,73.0267,16.32,G022077;G022028
264172524,294.582,69.1534,16.55,G022077;G022028;G022217
267544200,289.5478,72.6237,15.42,G022077;G022028
383673264,278.9385,63.2151,16.33,G022077;G022028
471015223,299.587,67.6736,16.0,G022077;G022028
160185214,247.7229,85.1261,15.33,G022077;G022028;G022217
229673607,252.7241,77.8128,15.45,G022077;G022028;G022217
235930678,291.9278,80.2331,12.34,G022028;G022198
257062199,227.7647,76.8968,15.32,G022077;G022028
288238767,224.1204,81.9489,15.0,G022077;G022028;G022017
288300744,261.8263,78.7026,16.16,G022077;G022028
288344719,263.9741,80.3562,15.89,G022077;G022028;G022217
288407008,267.4459,82.7814,17.84,G022028
288470165,270.6263,80.664,15.43,G022077;G022028
320323992,246.6646,74.5058,15.73,G022077;G022028
367840218,276.2884,77.9266,16.46,G022077;G022028;G022217
441765413,261.6599,77.5598,16.39,G022077;G022028
156507936,220.02,75.0929,15.62,G022077;G022028
159629632,220.3501,63.9595,16.03,G022028
