# TESS Program G03102

Title: Confronting The Stellar Gyrochronology Paradigm Using Wide Binaries In The TESS Cycle 3 Fields

PI: Oswalt, Terry - Embry-Riddle Aeronautical University

Type: SMALL

Summary: Accurate ages provide essential constraints on questions ranging from exoplanet habitability to the Galaxy's chemical evolution. Gyrochronology, an empirical relation between rotation and age, is potentially one of the best ways to determine stellar ages. We propose to test several competing gyrochronology models using wide stellar binaries in the TESS Cycle 3 fields. Such noninteracting coeval pairs can help unravel degeneracies in the rotation-activity-metallicity vs. age relations for main sequence stars. Moreover, they span a much broader range in age and metallicity than stellar clusters, which often have mixed populations and have lost low mass stars. The project will also compare flaring rates from the TESS data and chromospheric activity using LAMOST spectra.


# Sector 027 targets observed (2 min: 596, 20 s: 4)
31401369,288.5856,-35.0129,11.34,G03102
31401371,288.5854,-35.0145,10.97,G03102
380816796,287.3935,-32.39,11.89,G03102
380816951,287.3917,-32.4481,11.63,G03102
390904520,287.1424,-34.782,12.85,G03102
390997803,287.1325,-30.973,7.2,G03227;G03102
391057873,287.1611,-34.7886,10.84,G03102
398459306,297.5587,-27.3581,10.87,G03102
421477804,297.059,-32.5289,10.9,G03102
421477810,297.0639,-32.5322,10.55,G03102
425561258,286.0589,-32.3668,10.19,G03102
425561347,286.0731,-32.3543,9.98,G03102
98347058,290.8317,-36.9705,10.26,G03102
98347067,290.8348,-36.9757,9.92,G03102
1815713232,288.0377,-74.0222,10.84,G03102
1922147644,293.6236,-75.2148,11.05,G03102
1922147645,293.6241,-75.2152,11.48,G03102
1922376560,290.6419,-67.3676,11.35,G03102
1922376561,290.6411,-67.3666,15.93,G03102
1922376562,290.6412,-67.367,11.5,G03102
1922485396,293.9796,-66.6782,12.55,G03102
1922485398,293.9784,-66.6786,11.71,G03102
1922528518,299.2536,-64.8531,11.63,G03102
1922528519,299.2551,-64.8529,11.23,G03102
1988304198,305.6875,-69.9142,12.79,G03102
265125304,293.6237,-75.2149,10.49,G03102
265214901,302.5929,-67.0376,10.23,G03272;G03102
265214924,302.5639,-67.0072,9.38,G03102
331634064,305.2958,-73.5947,10.85,G03102
341226831,314.8456,-65.9755,10.02,G03102
352188401,288.0403,-74.0224,10.84,G03102
352293031,299.1343,-70.6755,11.29,G03102
352293033,299.1355,-70.6738,12.93,G03102
352352280,300.8303,-67.9883,11.76,G03102
352352282,300.8294,-67.989,12.23,G03102
371800929,305.6884,-69.9147,10.66,G03102
371950278,307.8861,-70.7235,12.01,G03102
371950279,307.8836,-70.7236,11.52,G03102
372302303,314.8354,-65.9777,10.93,G03102
376672630,293.0723,-70.2707,12.96,G03102
376672631,293.0701,-70.2702,12.98,G03102
382391106,290.0708,-70.6,12.77,G03102
382391109,290.0735,-70.5952,11.52,G03102
382432831,290.225,-68.1649,10.33,G03102
382432832,290.2228,-68.1663,10.94,G03102
382467147,290.6411,-67.3672,10.4,G03102
398448713,297.8775,-72.9277,11.08,G03102
398448716,297.8782,-72.9259,12.41,G03102
398465080,299.6653,-73.585,11.34,G03102
398465081,299.6757,-73.5827,12.11,G03102
404342815,318.7409,-73.2053,11.62,G03102
404342817,318.7418,-73.2073,10.36,G03102
409885716,293.9783,-66.6786,11.53,G03102
409889012,294.2314,-69.8158,11.03,G03102
409889015,294.2286,-69.817,8.53,G03102
410070180,322.3292,-71.8445,10.28,G03102
410070183,322.3328,-71.8423,12.26,G03102
410401313,291.5488,-68.4282,9.69,G03102
410401323,291.5445,-68.4358,12.5,G03102
466093558,293.6511,-65.291,12.3,G03102
466093560,293.6535,-65.2915,9.77,G03102
466164355,299.2551,-64.8528,10.37,G03102
468145849,305.285,-73.5941,12.0,G03102
469872857,303.0781,-74.4688,12.74,G03102
469872864,303.0109,-74.4575,11.72,G03102
197764453,327.0468,-59.727,10.52,G03102
197764476,327.0033,-59.6632,9.9,G03272;G03102
2026193316,339.026,-65.5896,12.94,G03102
2026446392,321.3427,-62.8389,11.9,G03102
2026446394,321.3433,-62.8391,11.18,G03102
2026661396,332.0928,-58.4097,15.24,G03102
234289408,336.3427,-62.9575,10.88,G03102
234289409,336.3406,-62.9571,12.81,G03102
238809900,326.7227,-62.9506,12.46,G03102
259784185,323.3433,-60.4055,9.51,G03102
259784187,323.3422,-60.4029,11.41,G03102
265468367,321.3431,-62.839,10.72,G03102
265592319,332.0928,-58.4095,12.74,G03102
265592331,332.0987,-58.3788,12.61,G03102
265609784,332.1077,-57.1088,10.86,G03102
265609786,332.1149,-57.115,10.24,G03102
389079049,333.517,-65.5213,11.52,G03102
389079052,333.5145,-65.5239,11.08,G03102
389086097,333.1671,-66.7155,9.87,G03102
389086101,333.149,-66.724,11.46,G03102
394086820,339.0275,-65.5894,11.26,G03102
394102091,340.7626,-62.3204,12.44,G03102
394586150,340.7961,-62.2954,11.89,G03102
406319239,326.7127,-62.9573,12.37,G03102
409700386,332.7242,-58.8467,12.35,G03102
409700387,332.7196,-58.8474,12.06,G03102
419610523,320.2643,-66.8891,11.13,G03102
419610536,320.2795,-66.8647,12.37,G03102
100506316,308.7828,-51.1481,11.18,G03102
100506317,308.7805,-51.1481,11.17,G03102
100669667,310.6116,-51.7188,12.56,G03102
100669671,310.6147,-51.7273,12.54,G03102
126916589,318.6448,-47.6121,12.86,G03102
126916590,318.6497,-47.6102,10.49,G03102
139720300,322.7334,-48.3602,9.43,G03102
139720301,322.7363,-48.3604,10.07,G03102
1988959911,314.4134,-60.2348,11.05,G03102
1988959913,314.4142,-60.2348,10.75,G03102
1989087028,312.8286,-57.1046,11.64,G03102
1989087030,312.8272,-57.1045,12.01,G03102
1989174735,318.5031,-51.5967,12.0,G03102
1989652807,316.2061,-51.784,11.49,G03102
1989652809,316.2071,-51.7836,11.21,G03102
1989656939,317.1614,-51.3533,9.87,G03102
1989656941,317.1615,-51.3526,9.6,G03102
1989713483,318.8137,-50.69,10.61,G03102
1989713484,318.814,-50.6896,9.97,G03102
219263091,309.2083,-55.0839,10.85,G03102
219263092,309.223,-55.0858,11.63,G03102
316830745,323.93,-58.2942,11.62,G03102
316830752,323.9388,-58.2724,9.99,G03272;G03102
316853481,324.5215,-55.8011,12.87,G03102
316853483,324.5185,-55.8017,11.26,G03102
341199348,314.4128,-60.2344,10.15,G03102
354134555,313.0621,-55.7506,10.98,G03102
354134559,313.0728,-55.7431,9.97,G03102
355585999,325.1976,-57.7121,12.8,G03102
355586002,325.2105,-57.7055,11.55,G03102
370146909,312.8282,-57.1046,11.4,G03102
381856446,322.2538,-58.8347,12.3,G03102
381856447,322.2541,-58.8361,10.72,G03181;G03106;G03102
394017571,329.985,-54.6554,8.8,G03102
394017574,329.9804,-54.6493,12.08,G03274;G03102
79005536,314.8908,-53.4857,12.29,G03102
79005538,314.8924,-53.4853,11.88,G03102
79114292,316.2069,-51.7837,10.87,G03102
79173228,317.1615,-51.3529,8.79,G03102
79274053,318.5043,-51.5966,11.94,G03102
79281686,318.8138,-50.6897,9.45,G03102
79304693,319.1616,-52.2002,12.79,G03102
79304698,319.1549,-52.2079,10.73,G03102
79305434,319.2481,-53.8355,10.79,G03102
79305440,319.2663,-53.8175,9.49,G03102
79423701,320.7095,-52.5087,11.6,G03102
79423703,320.7151,-52.5056,11.76,G03102
79490419,321.5827,-50.1116,12.89,G03102
79490421,321.5828,-50.1125,12.98,G03102
101180943,299.288,-52.9343,9.88,G03102
101180944,299.301,-52.9334,9.95,G03102
101544692,301.8988,-51.7509,8.98,G03102
101544693,301.9073,-51.7494,9.07,G03102
101881635,304.3407,-53.4511,12.09,G03102
101881636,304.339,-53.4511,12.38,G03102
158507683,294.7612,-52.1181,10.99,G03102
158507684,294.7592,-52.1172,12.63,G03102
166392213,297.9914,-51.9875,11.85,G03102
166394645,297.9935,-51.9877,12.9,G03102
1988683937,305.22,-60.7785,11.39,G03102
1988683938,305.2192,-60.7778,12.67,G03102
1988775700,300.3197,-56.1345,12.51,G03102
201662066,288.8317,-57.6552,12.42,G03102
201662069,288.8204,-57.6586,12.26,G03102
220344462,307.3755,-55.9017,12.21,G03102
220344464,307.376,-55.9008,12.13,G03102
230946694,287.0118,-56.0131,12.29,G03102
230946697,287.0051,-56.0145,12.31,G03102
230974983,290.3085,-55.0712,11.89,G03102
230974986,290.304,-55.0703,9.53,G03102
230977400,300.3207,-56.134,11.08,G03102
320173450,293.9281,-58.5681,11.08,G03102
320173459,293.9144,-58.5779,11.68,G03102
320809359,298.786,-53.9978,11.08,G03102
320809361,298.7969,-53.995,11.02,G03102
370082509,297.2844,-53.1839,11.47,G03102
370082510,297.2854,-53.1847,10.19,G03102
370134722,306.9539,-58.8954,10.86,G03102
370134723,306.9543,-58.8986,10.96,G03102
422041466,301.6734,-57.1757,9.52,G03102
422041482,301.6551,-57.1561,10.24,G03102
424851267,291.3572,-53.6296,11.05,G03102
424851269,291.3548,-53.6286,12.42,G03102
464589012,286.7916,-62.1506,11.3,G03102
464589014,286.7717,-62.1517,11.12,G03102
466273811,305.414,-60.8182,11.44,G03102
466273813,305.4136,-60.8174,11.55,G03102
469817222,305.2199,-60.7784,11.23,G03102
469817392,305.2885,-61.0742,11.42,G03102
469817399,305.2813,-61.083,10.86,G03102
2054840981,354.7831,-68.3029,10.72,G03102
2054840982,354.782,-68.303,10.72,G03102
235005214,352.0724,-65.8452,12.83,G03102
235005215,352.0938,-65.8451,10.92,G03102
238172404,357.2756,-67.9431,11.65,G03102
260853063,349.5049,-67.8613,11.36,G03102
260853064,349.503,-67.8621,11.33,G03102
261592209,350.2114,-75.7717,9.65,G03102
261592213,350.2413,-75.7736,11.78,G03102
266903893,0.9819,-77.7417,10.81,G03102
266903895,0.9805,-77.7443,10.79,G03102
267046784,5.1823,-76.833,9.76,G03272;G03102
267046790,5.2299,-76.8091,10.67,G03272;G03102
267061191,358.8276,-69.3296,10.13,G03102
267061192,358.827,-69.3274,10.82,G03102
267080591,359.349,-69.5492,12.35,G03102
267080594,359.3472,-69.5452,11.8,G03102
267436613,9.4874,-75.8824,11.01,G03102
267436615,9.472,-75.8842,12.08,G03102
267489448,9.5667,-76.4436,12.17,G03102
267489450,9.5694,-76.4444,12.32,G03102
273474616,344.7994,-76.5557,11.09,G03272;G03102
273604905,357.7632,-73.404,11.05,G03102
273604915,357.7935,-73.3918,11.62,G03102
293483642,350.7384,-67.9205,12.1,G03102
293483650,350.7134,-67.9304,12.91,G03102
293569260,359.7622,-72.8836,12.25,G03102
293569262,359.7628,-72.8844,12.41,G03102
325202247,354.3097,-66.733,12.71,G03102
325202254,354.3096,-66.7279,11.53,G03102
325373992,346.1274,-76.3327,11.6,G03102
392792977,346.1179,-76.3312,11.34,G03102
407581393,344.8809,-76.5452,11.51,G03102
410213353,354.7827,-68.3033,9.86,G03102
410214984,354.9149,-69.1947,8.76,G03102
410214986,354.9158,-69.1961,7.85,G03141;G03278;G03130;G03227;G03181;G03106;G03251;G03102;20SECONDTARGET
412066335,0.542,-68.2828,9.15,G03102
1922049645,292.4534,-79.9511,11.74,G03102
1922049647,292.4564,-79.9509,11.67,G03102
2025810344,337.4838,-83.6053,9.46,G03102
2054511110,348.8968,-81.7067,12.96,G03102
257499004,289.5371,-83.6441,10.4,G03102
257499005,289.5563,-83.6457,11.79,G03254;G03102
257577230,292.4542,-79.9508,11.01,G03102
280694407,343.4258,-78.3572,11.49,G03102
280694414,343.4284,-78.3584,12.11,G03102
317129006,348.8967,-81.7059,12.76,G03102
318008761,303.215,-80.8589,12.2,G03102
318008762,303.2121,-80.8598,12.76,G03102
318089042,307.1962,-81.7145,10.64,G03272;G03102
318089045,306.7611,-81.72,10.47,G03102
325395450,337.4829,-83.6052,8.81,G03102
401703808,318.4869,-80.9941,10.19,G03102
401703809,318.4915,-80.9949,12.41,G03102
401721283,330.8986,-79.2017,12.42,G03102
401721287,330.9201,-79.2076,9.57,G03102
401727214,334.1794,-80.6396,12.95,G03102
401727216,334.1102,-80.6396,12.66,G03102
404292385,313.3257,-77.3404,12.3,G03102
404292392,313.3154,-77.333,12.08,G03102
404379938,329.4072,-79.6892,12.05,G03102
404379941,329.4138,-79.6944,9.7,G03102
404429901,331.8111,-79.7302,10.37,G03272;G03102
419636864,341.6546,-85.4121,10.75,G03102
419636866,341.6787,-85.4136,11.6,G03102
421800932,331.7039,-79.7807,11.89,G03102
468193384,323.6591,-85.4749,10.77,G03102
468193395,323.7736,-85.5002,11.06,G03102
2054449464,358.0469,-87.1287,12.19,G03102
2054449467,358.0606,-87.1286,12.29,G03102
261657047,20.4599,-82.5905,10.66,G03102
261677950,20.8041,-80.6576,9.7,G03102
262928970,9.8722,-80.5673,11.77,G03102
262928973,9.8664,-80.5694,10.61,G03102
273788401,28.6863,-82.8287,11.15,G03102
273985864,30.4973,-83.2272,12.25,G03102
273985865,30.5089,-83.2279,10.59,G03278;G03102;20SECONDTARGET
278179120,108.6746,-81.0839,10.2,G03102
278179121,108.6681,-81.085,10.53,G03102
302987585,62.9263,-82.7969,12.69,G03102
302987586,62.9095,-82.7978,12.81,G03102
317246429,121.011,-84.0712,12.05,G03102
317246430,121.0226,-84.0715,10.64,G03102
318612552,6.8577,-87.6952,12.78,G03102
318612553,6.8034,-87.6983,10.82,G03102
327854581,358.0529,-87.1287,11.51,G03102
369864755,163.1781,-87.3325,10.26,G03102
369864756,163.198,-87.3328,11.4,G03102
369864932,163.1313,-87.9939,11.05,G03102
374170940,169.3141,-87.7623,9.98,G03102
374170946,169.392,-87.782,9.35,G03102
392013575,84.9657,-83.0321,10.71,G03102
394679784,54.5507,-80.9514,10.26,G03102
394679808,54.3595,-81.0181,8.98,G03102
520660922,54.3566,-81.0183,12.67,G03102
630705684,28.6852,-82.828,12.15,G03102
630705685,28.689,-82.8286,11.87,G03102
630710729,20.4613,-82.5904,11.33,G03102
630710730,20.4633,-82.5911,12.19,G03102
630743551,20.8033,-80.6575,9.98,G03102
630743552,20.807,-80.6578,10.68,G03102
724107963,84.9661,-83.032,11.08,G03102
724107965,84.9633,-83.0325,11.87,G03102
903831224,163.1293,-87.9942,11.43,G03102
903831225,163.1089,-87.9937,11.1,G03102
183301775,18.2441,-75.5116,10.16,G03102
183306111,18.2273,-75.5099,11.98,G03102
183802307,20.7791,-76.1876,11.83,G03102
183802308,20.778,-76.1864,12.92,G03102
183981624,21.7225,-74.8689,11.5,G03102
183981625,21.7203,-74.8688,12.01,G03102
232087409,31.0804,-70.9949,9.81,G03102
232087411,31.1003,-70.9965,10.74,G03102
234308082,35.1658,-69.2387,11.71,G03102
234308084,35.1669,-69.2309,11.2,G03102
234346030,38.8499,-68.6929,12.6,G03102
234346031,38.8469,-68.6925,11.11,G03102
238198520,57.3444,-75.1658,12.26,G03102
238198525,57.4123,-75.1786,11.14,G03272;G03102
238227682,58.8528,-74.7782,12.3,G03102
238891704,40.385,-75.3256,11.12,G03102
238891707,40.3846,-75.3247,11.02,G03102
303975587,24.4832,-77.2572,12.21,G03102
303975589,24.5019,-77.2554,11.77,G03102
304135193,28.6026,-73.2411,10.03,G03102
304135195,28.6145,-73.247,11.47,G03102
314830131,52.8061,-76.1706,10.99,G03102
314830135,52.8247,-76.1719,12.56,G03102
31798926,51.0644,-70.9844,12.78,G03102
31798927,51.0685,-70.9849,11.13,G03102
358106032,48.1857,-75.0654,10.99,G03102
370009675,46.7815,-70.6325,11.25,G03102
370136983,46.8777,-74.5078,8.44,G03251;G03102
370136985,46.8154,-74.506,9.52,G03102
394231213,48.1278,-75.0679,10.99,G03102
394359615,44.1488,-78.6037,12.3,G03102
394359616,44.1286,-78.6054,11.14,G03102
426013817,19.4429,-71.9624,11.29,G03102
431383173,49.2428,-74.4985,10.26,G03102
50271668,29.3867,-75.2152,11.05,G03102
50271669,29.3883,-75.2164,11.07,G03102
50381613,33.3557,-75.1985,12.69,G03102
50381614,33.3599,-75.1988,11.98,G03102
52202788,19.4252,-71.9527,11.52,G03102
630859843,29.3867,-75.2157,11.96,G03102
630891540,21.7232,-74.869,11.66,G03102
650140832,58.8507,-74.7779,12.66,G03102
650140833,58.8527,-74.7782,12.01,G03102
650185142,49.2436,-74.4983,11.13,G03102
650185144,49.244,-74.4989,11.34,G03102
650285932,46.7817,-70.6324,11.75,G03102
650285933,46.7811,-70.6328,12.36,G03102
149180076,81.7763,-65.5513,11.09,G03102
149180088,81.7685,-65.5567,10.6,G03102
231742782,78.084,-67.1317,11.26,G03102
231742789,78.0959,-67.1334,10.73,G03102
237927164,57.9957,-65.8156,11.03,G03102
237927165,57.9988,-65.8153,12.69,G03102
25131889,62.2076,-67.1806,12.13,G03102
25131892,62.2068,-67.1822,11.42,G03102
294929894,72.3095,-69.6115,12.15,G03102
294929896,72.2993,-69.6103,11.06,G03102
30034266,73.0377,-70.8534,12.21,G03102
30034268,73.0014,-70.8535,11.82,G03102
31929204,54.1729,-69.1984,11.28,G03102
31929205,54.184,-69.2006,11.09,G03102
31961121,54.8399,-68.0661,12.6,G03102
31961123,54.8481,-68.0645,12.15,G03102
31962066,55.23,-66.5229,9.75,G03102
31962067,55.2322,-66.5242,10.66,G03102
31999341,55.9584,-68.5716,10.8,G03102
32032672,56.0219,-68.5125,11.43,G03272;G03102
32052607,57.314,-67.9926,11.02,G03102
32052608,57.3187,-67.9922,10.36,G03102
38507951,62.1994,-62.3816,11.82,G03102
38507963,62.1695,-62.4123,11.45,G03272;G03102
38583536,63.7209,-65.4862,12.75,G03264;G03102
38583537,63.7271,-65.4886,10.15,G03102
38609671,64.9509,-65.4549,11.21,G03102
38609673,64.9534,-65.4548,11.39,G03102
388129477,63.5294,-66.8233,11.7,G03102
388129478,63.5362,-66.8228,12.03,G03102
55363479,76.9875,-64.8964,11.43,G03102
55363480,76.9844,-64.897,12.16,G03102
55745232,74.7738,-63.4248,9.55,G03102
