# TESS Program G03252

Title: TESS High-Frequency A-F Pulsators: Understanding The Driving Of Oscillations In Intermediate-Mass Stars

PI: Hambleton, Kelly - Villanova University

Type: LARGE

Summary: Delta Scuti and roAp stars are classes of pulsators sharing the same region of the HR diagram. For decades their pulsations were thought to have different origins, but data from TESS revealed an apparent overlap in their pulsation properties questioning our understanding of the excitation mechanisms at work. We propose to: 1) characterize the statistical distributions of the scaled pulsation frequencies in these pulsators, including the determination of the so far unknown high-frequency end of the roAp star phenomena and; 2) establish whether hybrid delta Scuti-roAp stars exist. These results, which will be key to advance our understanding of the origin of the pulsation in this region of the HR diagram, can now be achieved thanks to the survey-nature of TESS and its 20-sec cadence mode.


# Sector 027 targets observed (2 min: 288, 20 s: 26)
354171926,313.89,-56.7421,9.61,G03255;G03252
355547586,321.0845,-57.865,12.6,G03252
370228765,319.2468,-56.3073,9.23,G03252
381855733,322.2946,-56.4501,11.4,G03252
381857833,322.5175,-56.2779,8.16,G03252
79394646,319.9676,-53.4498,4.39,G03156;G03255;G03252;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
201687909,300.717,-55.2465,9.12,G03252
219951077,289.9968,-57.9799,8.36,G03252
219967673,306.0379,-54.5432,7.44,G03255;G03252
319740524,291.8715,-54.966,7.76,G03252;20SECONDTARGET
320662136,297.5141,-59.2641,6.89,G03255;G03252
351535191,309.3978,-61.5303,4.5,G03255;G03156;G03252;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
360736543,290.6142,-56.3746,11.59,G03252
360806117,297.0713,-57.7254,7.32,G03255;G03252
370132371,306.9456,-54.4258,9.08,G03252
387241049,310.2787,-61.5924,8.24,G03255;G03251;G03252;20SECONDTARGET
406236323,292.9817,-52.888,9.26,G03252
406237800,293.2246,-53.1857,5.5,G03252
422043310,301.6319,-54.0849,8.17,G03252
466260580,304.3074,-61.574,11.64,G03252;20SECONDTARGET
260751881,346.4388,-67.3175,11.21,G03255;G03252
261563350,349.8533,-77.6067,9.29,G03255;G03252
266905315,1.1427,-73.8529,8.72,G03255;G03252
277835735,344.7578,-68.0517,9.53,G03252
38847248,8.3486,-71.2663,5.85,G03255;G03252
51991595,15.294,-68.7187,12.13,G03252
261459125,304.8296,-76.1267,8.81,G03255;G03251;G03252
313552150,301.5206,-79.4234,7.8,G03255;G03252
318007796,303.4854,-78.8785,9.61,G03251;G03252;20SECONDTARGET
318045921,305.8915,-79.7389,10.02,G03252;20SECONDTARGET
340777058,291.5928,-76.3672,8.37,G03255;G03252
346793769,300.8823,-78.8308,7.64,G03255;G03252
387115314,286.5642,-77.0456,9.56,G03252;20SECONDTARGET
468189624,320.9176,-85.2885,7.82,G03252
257387983,344.4629,-87.8771,9.19,G03255;G03252
261089835,81.7737,-83.5784,11.55,G03252
261401139,94.6231,-82.2138,8.98,G03252
269857335,70.5638,-83.0968,9.3,G03252
278077486,106.1582,-81.4995,8.54,G03252
