# TESS Program G03251

Title: Asteroseismology Of Solar-Type Stars With TESS

PI: Huber, Daniel - University Of Hawaii (Manoa)

Type: LARGE

Summary: Asteroseismology is one of the most powerful methods to determine fundamental properties of solar-type stars. However, the currently known sample of stars with asteroseismic detections is small, and many of them are too faint to have the independent constraints necessary to constrain poorly understood stellar interior physics such as convection. Here we propose 2-minute and 20-second cadence observations for the TESS Asteroseismic Science Consortium (TASC) that will double the Cycle 1 asteroseismic yield of solar-type stars, allowing us to (i) establish the first catalog of asteroseismic benchmark stars in the southern ecliptic hemisphere, (ii) probe the physics of stellar convection in solar-type stars and (iii) investigate the efficiency of convective mode excitation for hot stars.


# Sector 027 targets observed (2 min: 4573, 20 s: 42)
254213422,287.8967,-41.8576,9.86,G03251
261283021,292.5405,-44.5261,9.84,G03251;G03212
269309381,291.6344,-41.5031,10.1,G03251
269378770,291.8926,-40.524,8.44,G03251
269525577,301.6678,-41.8515,9.29,G03251
271360217,292.3166,-46.8543,9.36,G03251
291169032,292.7698,-49.5989,9.19,G03251
299743502,295.8824,-41.1002,8.87,G03251
299804568,296.1345,-41.1153,8.88,G03251
299806420,296.3183,-40.4855,10.43,G03251
299891691,296.4946,-41.5114,10.1,G03251
300076363,297.2257,-40.2158,10.16,G03251
300211206,297.7468,-40.8532,9.96,G03251
300212653,297.9165,-41.2204,10.34,G03251
300355410,298.4436,-41.7669,9.62,G03251
300356301,298.3902,-40.723,8.93,G03251
300404274,298.5787,-40.8134,8.89,G03251
300607081,299.1753,-40.4269,9.95,G03251
300607987,299.2436,-41.5373,9.82,G03251
300661299,299.5016,-40.5185,9.15,G03251
300664151,299.7145,-39.8528,9.48,G03251
300735094,299.7226,-40.9637,9.42,G03251
300736769,299.9977,-40.8058,8.17,G03251
300836287,300.1837,-39.8891,9.62,G03251
300843610,300.3676,-40.1283,9.57,G03251
304983634,288.2557,-49.9029,7.76,G03272;G03251
304984560,288.3607,-49.1582,8.17,G03251
304987217,289.4703,-48.8648,9.33,G03251
305135994,289.944,-48.4434,10.2,G03251
326702578,294.4142,-41.4585,7.24,G03251
354846183,300.5596,-39.5066,10.46,G03251
354890869,300.67,-41.4177,7.25,G03251
355097382,299.0943,-47.7376,8.33,G03251
355128832,299.2421,-45.8168,8.29,G03251
355210940,296.5608,-48.5299,9.67,G03251
355269641,296.7565,-48.2789,9.04,G03251
355269750,296.8533,-48.1616,8.03,G03251
355269851,296.7694,-48.0528,11.24,G03251
355340409,297.5349,-50.6025,7.27,G03251
369872481,295.0978,-47.7668,10.53,G03251
369876190,295.2549,-43.7103,9.56,G03251
369878425,295.4445,-42.5784,9.1,G03251
369953880,295.3925,-46.7708,8.66,G03251
369955484,298.9761,-46.9922,9.63,G03251
370015293,290.2318,-51.0502,8.81,G03251
370076853,296.1857,-50.0261,9.6,G03251
370078468,296.3179,-48.0703,7.91,G03251
404028230,291.6609,-49.6447,10.05,G03251
404123073,292.4808,-50.2699,7.55,G03251
404123520,292.3677,-49.7852,8.98,G03251
404125238,292.5411,-48.1352,9.38,G03251
404126329,294.3282,-48.8295,9.31,G03251
404160634,296.3602,-50.8693,8.03,G03227;G03251
406231386,290.0745,-48.0293,9.11,G03251
406232981,292.9199,-49.3986,9.52,G03251
406240462,293.2158,-50.1187,10.03,G03251;G03212
406242119,293.2277,-48.3137,10.29,G03251;G03212
421360208,292.7736,-44.6243,8.2,G03251
421363414,292.9501,-42.4296,6.98,G03251
421432683,293.0571,-44.5461,5.98,G03251
423186762,293.4106,-47.8978,10.01,G03251
424748146,290.658,-51.2313,6.07,G03251
424878825,291.5565,-50.4112,10.0,G03251
424913810,292.6029,-49.9006,8.18,G03251
424915229,292.6311,-48.4362,8.16,G03251
425719653,289.7041,-44.2959,9.84,G03251
425762714,292.2272,-45.7143,10.08,G03251
441219121,294.6532,-41.1471,9.46,G03251
441249561,295.1541,-41.2482,9.17,G03251
441261072,295.2386,-41.3888,8.22,G03251
61088106,286.5123,-44.8834,8.52,G03251
61089040,286.4955,-45.5988,10.36,G03251
61094097,286.6091,-45.9512,7.83,G03251
61138998,286.8477,-43.8985,9.7,G03251
61140789,286.8794,-43.229,11.16,G03251
61141653,286.913,-42.9177,8.53,G03251
61270160,287.2193,-44.4609,8.63,G03251
61275837,287.2106,-42.4288,7.08,G03227;G03053;G03251
61280781,287.4259,-43.943,10.08,G03251
61463214,287.8759,-43.4887,9.35,G03251
61510693,288.0204,-43.9243,9.78,G03251
61565776,288.2201,-42.2098,11.65,G03251
61569188,288.357,-44.2014,9.7,G03251
61572817,288.419,-47.1328,7.56,G03251
61613777,288.4808,-47.3537,7.92,G03251
61618309,288.5395,-43.6697,11.45,G03251
61619547,288.5843,-42.7893,9.1,G03251
61691398,288.7979,-44.679,9.85,G03251
61698016,288.8121,-45.4106,8.49,G03251
61799516,289.2343,-45.8956,9.29,G03251
61802234,289.2038,-44.7294,8.57,G03251
61849366,289.4323,-44.0048,8.8,G03251
61958057,289.8886,-42.0653,7.47,G03227;G03251
61960400,290.0041,-43.6792,12.13,G03251
61964922,290.0897,-47.6676,10.93,G03251
62023209,290.2254,-43.3175,8.19,G03251
62024334,290.1847,-42.4686,7.66,G03251
62027452,290.3801,-43.95,9.86,G03251
62088996,290.5917,-43.8592,9.74,G03251
62120126,290.7463,-44.8301,11.22,G03251
62296419,291.2931,-47.4567,7.39,G03251
62296970,291.5399,-47.8506,10.17,G03251
62300331,291.4277,-44.3696,8.83,G03251
62300860,291.5408,-43.8106,9.38,G03251
62351050,291.7948,-46.7898,8.83,G03251
79658977,295.7527,-47.1686,10.51,G03251
79662581,295.8246,-42.783,8.84,G03251
79664688,295.9549,-43.4409,8.8,G03251
79666046,295.9869,-45.0931,8.79,G03251
79754030,296.2657,-43.1862,8.84,G03251
79758264,296.4019,-47.2386,8.82,G03251
79759639,296.3241,-45.4423,11.03,G03251
79877917,296.7961,-44.8461,10.67,G03251
79881477,296.8538,-43.3456,6.59,G03227;G03251
79883532,296.9557,-45.9119,9.56,G03251
79884841,296.8943,-47.7302,10.29,G03251
79919939,296.9684,-43.6277,8.54,G03251
79923335,297.2358,-44.2379,8.3,G03251
79953815,297.418,-47.9736,10.19,G03251
79955783,297.3859,-45.2211,8.8,G03251
79956204,297.3303,-44.6495,10.95,G03251
79956587,297.3145,-44.1602,10.52,G03251
80017389,297.7212,-46.3608,7.09,G03251
80058782,297.864,-42.0936,7.32,G03251
80059947,297.9154,-43.4563,8.25,G03251
80088935,298.0563,-43.3589,9.63,G03251
80090135,298.0298,-41.9166,9.06,G03251
80171454,298.4969,-43.6438,10.59,G03251
97828449,289.4779,-41.3963,9.36,G03251
97828544,289.5423,-41.3331,10.68,G03251
98064604,289.9741,-40.714,9.72,G03251
98186065,290.4116,-41.6878,9.22,G03251
98279999,290.4818,-40.5478,9.38,G03251
98338065,290.6502,-40.9645,9.73,G03251
100192192,305.6419,-48.6579,9.35,G03251
100226638,306.2425,-49.2586,10.03,G03251
100269404,306.7054,-49.5094,9.35,G03251
100269920,306.796,-48.593,7.45,G03251
100270694,306.8791,-48.6357,8.69,G03251
100325374,307.1357,-48.6777,8.94,G03251
100362616,307.4886,-47.983,8.59,G03251
100362823,307.6468,-48.214,10.95,G03251
100382068,307.8954,-48.8079,9.84,G03251
100383266,308.0814,-49.1159,8.37,G03251
100606047,309.7592,-49.3313,6.76,G03272;G03227;G03182;G03251
100668092,310.6517,-48.4151,8.06,G03251
100738058,311.0608,-49.0863,9.53,G03251
100738957,311.2679,-48.4988,9.31,G03251
100850270,312.2908,-48.7701,7.5,G03251
114790718,304.0504,-40.9882,8.72,G03251
114792212,304.04,-39.1035,10.63,G03251
114816284,304.1747,-40.6827,10.29,G03251
114816470,304.2107,-40.9058,6.6,G03251
114853575,304.2294,-40.1028,9.88,G03251
114916975,314.9994,-36.13,5.71,G03251
114953179,315.1702,-41.1793,8.24,G03251
114990207,315.4854,-37.877,9.14,G03251
115013853,315.7436,-41.1186,9.21,G03251
115015109,315.7413,-38.6321,4.91,G03156;G03227;G03251;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
115042680,315.894,-38.9003,9.47,G03251
115074177,315.9142,-38.2775,9.58,G03251
115074549,316.0358,-37.5292,8.09,G03251
115105263,316.3971,-36.4656,8.0,G03251
115108199,316.6539,-41.3848,7.39,G03227;G03251
115114305,316.7946,-38.0688,10.46,G03251
115148795,316.8808,-38.6915,7.1,G03251
115179668,317.2829,-39.1802,9.74,G03251
126562475,313.968,-46.7964,9.62,G03251
126584063,314.4128,-44.1349,5.94,G03272;G03227;G03251
126601729,314.5784,-43.7518,8.47,G03251
126602977,314.4747,-46.4807,9.13,G03251
126638586,314.8292,-42.8866,9.36,G03251
126639636,314.8619,-45.1974,10.51,G03251
126641987,315.046,-45.6206,8.98,G03251
126704986,315.5524,-47.3077,11.18,G03251
126745881,315.8691,-46.3487,9.3,G03251
126763848,316.134,-46.256,6.53,G03227;G03251
126766223,316.5391,-45.6113,10.4,G03251
126766627,316.4238,-46.5072,7.86,G03251
126783395,316.6631,-46.2794,8.22,G03251
