# TESS Program G03186

Title: Pulsations And Disks Of Be Stars As Tracers Of Stellar Structure, Evolution, Pulsation-Driven Mass Loss And Disk Physics

PI: Labadie-Bartz, Jonathan - Universidade De Sao Paulo

Type: SMALL

Summary: Be stars are near-critically rotating non-radially pulsating B-type stars that episodically eject mass and form orbiting viscous 'decretion' disks. As such, they are valuable astrophysical laboratories for a variety of processes. Be stars show diverse behavior with widely ranging timescales and magnitudes, necessitating a statistical study of the class. They are bright and relatively common, but tend to lie near the Galactic plane and have largely been avoided by space photometry. TESS thus provides an excellent and rare opportunity to study Be stars, and in particular their pulsational properties which may hold the key as to what drives the enigmatic Be phenomenon. We will obtain spectra and polarization measurements simultaneous with the TESS observations of selected targets.


# Sector 027 targets observed (2 min: 9, 20 s: 0)
427396133,83.9753,-5.6284,7.46,G03059;G03186
427400331,83.9813,-0.7776,9.67,G03186
427451587,84.0743,-1.6353,8.15,G03186
4289780,81.255,-2.8155,7.39,G03186;G03223
449365065,80.3304,4.0119,6.64,G03186
200516204,82.8616,11.0229,9.41,G03186
200519617,82.921,9.226,7.32,G03186
302267223,81.5238,16.7001,6.29,G03186
302348015,81.8241,13.1491,9.85,G03186
411933674,79.4851,15.3225,11.25,G03186
412187395,80.3561,16.0288,8.99,G03186
47347358,81.0391,16.5626,7.78,G03186
345538502,69.651,8.1751,7.52,G03186
388935225,84.106,-6.716,9.78,G03186
43900848,78.0748,-11.8693,4.56,G03186;G03156;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
393159663,93.1215,-36.5637,7.02,G03186
14088298,77.1102,-40.9124,8.12,G03186
231942365,93.9856,-44.6196,8.59,G03186;G03209
279430029,105.0432,-56.9069,7.98,G03059;G03186;G03209
55295028,76.804,-61.805,9.33,G03059;G03186;G03209

# Sector 033 targets observed (2 min: 109, 20 s: 0)
158734620,87.1915,0.7256,7.35,G03186
159059628,88.3631,0.7792,8.47,G03186
232367669,92.6531,3.8717,7.83,G03186
234806470,97.5735,2.8479,8.59,G03186
234841110,97.8894,4.8444,9.14,G03186
234853418,98.0683,1.1747,9.78,G03186
234933368,98.4062,4.8131,10.77,G03186
234933597,98.4767,4.6624,6.23,G03186
265555524,94.7436,4.1913,7.75,G03186
299315060,92.3901,-5.0666,8.22,G03186
42889751,97.0941,-4.4621,9.17,G03186
123545883,102.8891,-6.9665,6.46,G03186
124328133,104.2559,-6.2182,9.47,G03186
125406140,105.557,-6.3025,9.82,G03186
168115492,101.5236,-5.9697,10.07,G03186
168627067,107.2,-4.0575,8.3,G03186
233969306,100.6241,0.8995,12.12,G03186
234230792,101.9886,0.7761,8.9,G03186;G03059
23459321,108.3921,-2.0775,8.94,G03186
237532447,102.9192,0.3268,9.05,G03186
237651093,103.5923,0.1819,9.0,G03186
256994805,102.2652,1.0021,6.3,G03186
257065501,102.2844,0.0894,8.91,G03186
268772301,105.3301,-3.1289,9.47,G03186
280117704,100.7445,-0.8071,12.86,G03186
280641369,101.2643,-0.5705,13.26,G03186
280643259,101.2887,-1.2557,12.12,G03186
281717549,102.4813,-5.5132,7.6,G03186
282207882,102.9593,-5.6198,9.43,G03186
282306169,103.0432,-0.2955,8.28,G03186
282808223,103.6752,-1.7565,5.22,G03186
282899554,103.7451,-3.7004,8.66,G03186
283206453,104.0795,-3.8071,8.22,G03186
284230347,108.6602,2.9019,8.76,G03186
292362364,106.9806,1.7196,9.91,G03186
319730932,99.6246,0.7098,9.37,G03186
32667467,104.3359,-4.1937,7.98,G03186
33287617,105.8484,-2.744,9.42,G03186
33362448,105.9049,-2.4742,7.39,G03186
4827953,107.2448,-1.0158,9.15,G03186
52748770,99.2739,-2.179,7.14,G03186
53327951,100.0066,-4.6987,8.55,G03186
14498757,111.1152,15.5172,6.67,G03186
14709809,111.8508,15.6595,8.43,G03186
220323166,100.262,9.4565,9.23,G03186
231154751,100.4968,6.3454,6.45,G03059;G03186
235376820,103.5576,6.688,7.53,G03186
235488755,104.2583,9.2704,10.63,G03186
235540713,104.4833,6.5491,7.92,G03186;G03059
237668110,103.8069,5.434,8.07,G03186
