# TESS Program G07092

Title: Discovery And Occurrence Rates Of Disintegrating Minor Planets Transiting White Dwarfs

PI: Becker, Juliette - University Of Wisconsin-Madison

Type: SMALL

Summary: Many white dwarfs have been found to have their surfaces "polluted" by remnant rocky bodies from their progenitors' planetary systems. These polluted white dwarfs are our best observational probe of exoplanet interior chemical compositions, which they can reveal with exquisite sensitivity. However, without a good understanding of the origins of white dwarf pollution, it is impossible to fully leverage the information about chemical compositions from the pollution on their surfaces. Observations by Kepler and TESS have begun illuminating the origins and process by which white dwarf pollution takes place by identifying transiting disintegrating minor planets on their way to polluting white dwarfs. Here for TESS Cycle 7, we propose the largest search to date to search for transiting debris ar


# Sector 084 targets observed (2 min: 299, 20 s: 71)
1884374242,297.6657,69.0049,17.65,G07036;G07092
1884375799,298.1922,69.3352,17.62,G07036;G07092
1884387900,298.7605,70.7158,17.83,G07036;G07092
1884390851,299.9031,71.5127,17.93,G07036;G07092
1981289817,300.0804,69.5995,17.22,G07036;G07092
1981294398,300.6485,70.0609,17.77,G07036;G07092
1981304556,300.7873,71.0058,17.77,G07036;G07092
1981699530,302.8351,77.1745,16.84,G07036;G07092
323009972,319.2192,73.8444,15.21,G07092;G07018;20SECONDTARGET
1883784040,299.4315,56.3619,17.79,G07009;G07092
1884182754,299.2266,63.7443,18.06,G07036;G07092
1884205861,296.9253,64.4584,17.97,G07036;G07092
1976357074,315.0008,54.303,17.88,G07092;20SECONDTARGET
1981019656,303.3546,65.7491,17.37,G07036;G07092
256459794,299.095,64.2325,15.46,G07036;G07092
256866809,301.7312,61.7184,15.86,G07092;G07018;20SECONDTARGET
1551231875,278.5548,54.4866,17.76,G07036;G07092
1551244833,279.2878,55.687,17.48,G07036;G07092
1551363569,276.8907,56.419,17.54,G07036;G07092
1551405460,273.273,59.1295,18.27,G07036;G07092
1551442839,276.6095,58.6124,17.57,G07036;G07092
1551446685,276.803,58.8372,17.48,G07036;G07092
1551457521,274.4893,60.087,17.88,G07036;G07092
1551465780,277.7587,60.2657,17.12,G07036;G07092
1551468556,276.1422,60.0446,17.88,G07036;G07092
1551470632,275.9406,60.6972,18.16,G07036;G07092
1551478353,273.6822,59.4558,17.67,G07036;G07092
1551483254,274.1103,60.5561,18.22,G07036;G07092
1551501112,273.4907,62.3364,17.3,G07084;G07092
1551526216,275.7615,62.5691,17.93,G07036;G07092
1551555236,272.0194,62.8808,17.44,G07036;G07092
1717562071,287.7337,57.7647,17.2,G07036;G07092
1717573224,289.7181,58.6533,17.35,G07084;G07036;G07092
1717585166,289.2471,58.9933,16.86,G07036;G07092
1717587293,288.6922,59.5781,17.96,G07036;G07092
1717851687,286.6899,58.4253,17.7,G07036;G07092
1717865735,284.5237,59.2034,17.93,G07036;G07092
1717910345,281.3935,60.4908,17.56,G07036;G07092
1717920160,282.9726,60.86,17.18,G07036;G07092
1717957117,289.6876,62.7288,18.09,G07036;G07092
1717966873,287.8892,61.6962,17.61,G07036;G07092
1717993859,289.6104,62.9675,17.4,G07036;G07092
1718049585,282.3596,64.9699,17.67,G07036;G07092
1718054365,283.393,65.6005,17.34,G07036;G07092
1718070519,286.9446,64.6833,17.15,G07036;G07092
1718104730,284.6215,66.673,17.69,G07036;G07092
1884046842,295.1894,60.4542,18.25,G07036;G07092
1884075168,291.4015,59.5637,17.78,G07036;G07092
1884113690,290.6043,62.1642,17.25,G07036;G07092
1884157352,295.6998,62.4394,17.71,G07036;G07092
1884196772,296.0995,63.8772,17.93,G07036;G07092
1884227789,291.4251,63.2951,17.63,G07036;G07092
1884239840,291.4095,64.548,17.92,G07036;G07092
1884256645,295.2051,65.3714,17.57,G07036;G07092
229966905,289.5996,59.998,15.17,G07036;G07092
230029140,292.2239,61.0971,16.46,G07084;G07036;G07092;20SECONDTARGET
230396780,286.7045,61.1035,16.36,G07036;G07092
233528682,280.2552,61.3427,16.23,G07036;G07092
233718692,276.1847,60.0334,16.19,G07084;G07036;G07092
264218911,294.984,66.3181,17.18,G07036;G07092
284562460,291.6046,56.4315,16.81,G07036;G07092
298666530,278.4,58.2059,18.33,G07036;G07092
383647463,278.8238,64.3557,16.8,G07036;G07092
383647517,278.752,64.4874,16.99,G07036;G07092
383673264,278.9382,63.2149,16.33,G07036;G07092
424461085,279.5316,60.3617,15.7,G07036;G07092
424699808,294.4411,59.0081,15.44,G07036;G07009;G07092
1271314855,258.1314,72.4475,16.92,G07036;G07092
1271341297,256.8671,74.7389,17.54,G07036;G07092
1271355861,257.3462,76.3597,18.46,G07036;G07092
1271357270,256.1879,76.6937,17.48,G07036;G07092
1400989060,265.6425,67.9417,17.48,G07036;G07092
1401004611,265.743,68.7176,17.78,G07036;G07092
1401010213,264.5917,68.953,17.68,G07036;G07092
1401078251,264.1095,74.9137,18.29,G07036;G07092
1551673259,270.6342,69.9004,17.45,G07036;G07092
1551682236,276.6986,70.9105,17.04,G07036;G07092
1551685772,272.7981,70.7309,17.8,G07036;G07092
1551691535,270.6076,71.9679,17.86,G07036;G07092
1551695271,278.0328,71.2806,17.07,G07036;G07092
1551702813,278.5965,73.1331,17.92,G07036;G07092
1551714449,270.4996,72.5442,17.86,G07036;G07092
1551727632,272.3317,73.5381,17.02,G07036;G07092
1551731324,272.3603,74.2257,17.89,G07036;G07092
1551739176,277.0559,74.4314,18.06,G07036;G07092
1551750767,273.2315,76.1003,18.03,G07036;G07092
1551760928,273.0979,76.5632,17.36,G07036;G07092
1551776546,272.4917,78.4502,17.91,G07036;G07092
1718133691,285.1333,68.2455,18.18,G07036;G07092
1718150522,281.7678,68.5569,17.45,G07036;G07092
1718244614,281.8447,73.081,17.92,G07036;G07092
1718249175,285.0258,73.0471,17.74,G07036;G07092
1718250818,281.9573,73.2245,17.34,G07036;G07092
1718263696,284.6244,74.4772,17.99,G07036;G07092
1884383396,297.4022,70.0339,17.59,G07036;G07092
1884461150,292.3932,70.8055,17.11,G07036;G07092
1884482525,294.5197,72.1482,17.3,G07036;G07092
1884494358,290.4766,71.897,17.99,G07036;G07092
1884497645,290.6827,72.7259,17.76,G07036;G07092
1884506714,292.0734,73.9804,18.21,G07036;G07092
