TICID,RA,Dec,Tmag,Keywords
420687462,211.2035,5.4143,7.93,G04112;G04123;G04103;20SECONDTARGET
286992225,217.7067,31.7985,11.23,G04112;G04123;G04106;20SECONDTARGET
