TICID,RA,Dec,Tmag,Keywords
366410512,126.4882,11.5111,11.61,G011112;G011183
366443426,126.6158,10.0804,8.44,G011112;G011183;G011250
366568760,127.7629,10.8476,11.55,G011112;G011183
366576758,127.8829,11.9223,13.6,G011112;G011183
455096220,123.2507,4.787,11.85,G011112;G011183;G011132
455135327,123.9498,5.8368,9.91,G011112;G011183;G011132
468987719,128.9257,10.2066,12.71,G011112;G011183;G011132
7020254,126.5535,12.2818,12.69,G011112;G011183
17746821,118.0635,12.1393,11.27,G011112;G011183
425206121,111.5095,7.6158,9.64,G011112
440777904,108.8251,14.2626,11.25,G011112;G011183;G011132
4616072,101.9942,-21.9107,12.83,G011112;G011132
134537478,108.3014,-42.4098,10.36,G011112;G011183;G011132;G011122
22529346,107.6003,-39.0973,10.04,G011112;G011183;G011132;G011122
393414358,94.3363,-38.3234,10.42,G011112;G011183;G011132
52640302,101.1149,-32.8584,11.99,G011112;G011183
268644785,117.415,-52.1205,10.67,G011112;G011183;G011132
149603524,87.1398,-63.9883,9.72,G011112;G011183;G011132
25155310,63.3748,-69.2265,10.55,G011112;G011183
388104525,55.9337,-65.1938,11.55,G011112;G011183;G011132
38846515,68.9599,-64.027,10.31,G011112;G011183;G011132
