TICID,RA,Dec,Tmag,Keywords
160658714,275.1823,-52.5848,10.94,G05112;20SECONDTARGET
160720764,275.3606,-51.9833,11.0,G05112;20SECONDTARGET
160794594,275.6453,-50.0403,10.41,G05112;20SECONDTARGET
160842043,275.7876,-49.881,11.77,G05112;20SECONDTARGET
160931904,276.0499,-50.2695,11.43,G05112;20SECONDTARGET
160993566,276.2052,-50.4333,11.62,G05112;20SECONDTARGET
161036506,276.3127,-50.3713,11.44,G05112;20SECONDTARGET
161037616,276.2438,-49.834,11.78,G05112;20SECONDTARGET
161080926,276.4636,-50.2178,11.96,G05112;20SECONDTARGET
324319164,276.8267,-50.0342,11.18,G05112;20SECONDTARGET
324328062,277.118,-49.3731,11.94,G05112;20SECONDTARGET
326691903,275.0039,-52.3619,11.45,G05112;20SECONDTARGET
349897638,274.4925,-51.8058,11.5,G05112;20SECONDTARGET
362729301,266.0749,-53.4879,11.48,G05112;20SECONDTARGET
363023423,266.3913,-53.4246,10.51,G05112;20SECONDTARGET
363023686,266.3277,-53.4987,11.52,G05112;20SECONDTARGET
411831248,274.7923,-52.5446,10.62,G05112;20SECONDTARGET
411832325,274.9101,-52.0755,11.99,G05112;20SECONDTARGET
411832553,274.8118,-51.975,11.6,G05112;20SECONDTARGET
74513576,265.0414,-54.1496,10.73,G05112;20SECONDTARGET
96269731,264.5981,-53.6835,11.66,G05112;20SECONDTARGET
96544045,264.8915,-53.7868,11.94,G05112;20SECONDTARGET
106183568,264.7339,-33.669,11.46,G05112;20SECONDTARGET
107835106,265.0907,-33.733,11.95,G05112;20SECONDTARGET
108219808,265.2903,-33.9686,11.13,G05112;20SECONDTARGET
108708549,265.8064,-33.5525,11.55,G05112;20SECONDTARGET
109778574,266.093,-34.0574,10.99,G05112;20SECONDTARGET
109779921,266.1099,-33.9471,11.54,G05112;20SECONDTARGET
110015528,266.0582,-31.1646,11.56,G05112;20SECONDTARGET
110353432,266.2435,-32.3172,11.91,G05112;20SECONDTARGET
111024861,266.4043,-31.1954,11.92,G05112;20SECONDTARGET
111391145,266.5498,-32.7562,10.82,G05112;20SECONDTARGET
193012156,265.3972,-33.3119,10.18,G05112;20SECONDTARGET
256546950,268.3422,-31.7901,11.99,G05112;20SECONDTARGET
257850984,268.5444,-31.6972,11.83,G05112;20SECONDTARGET
100307933,262.9686,-31.2753,11.16,G05112;20SECONDTARGET
