TICID,RA,Dec,Tmag,Keywords
127505658,80.9472,35.4176,11.69,G04195;G04231
127505662,80.9437,35.4153,10.49,G04195;G04231
3224605,82.3849,33.2468,11.99,G04195;G04231
117254325,130.5393,25.1142,11.31,G04195;G04231
127505658,80.9472,35.4176,11.69,G04195;G04231
127505662,80.9437,35.4153,10.49,G04195;G04231
3224605,82.3849,33.2468,11.99,G04195;G04231
117254325,130.5393,25.1142,11.31,G04195;G04231
127505658,80.9472,35.4176,11.69,G04195;G04231
127505662,80.9437,35.4153,10.49,G04195;G04231
3224605,82.3849,33.2468,11.99,G04195;G04231
117254325,130.5393,25.1142,11.31,G04195;G04231
