# TESS Program G022056

Title: The Driving Mechanism For Magnetic Field Generation In Low Mass Stars

PI: Doyle, Lauren - Armagh Observatory And Planetarium

Type: SMALL

Summary: Detailed studies of the Sun have shown sunspots and solar flares are closely correlated. It is widely thought that the rotational modulation seen in late type dwarfs is due to a dominant starspot rotating into and out of view. We therefore naively predict that flares would be observed more often at rotation flux minimum. However, our observations using Kepler/K2 and now TESS have shown that flares show no preference for rotation phase. This makes us reassess how large scale magnetic fields are generated on low mass, fully convective stars. Here we bid for 2 min cadence observations of 155 low mass stars in TESS Cycle 2. With this increased sample we will search for correlations between activity, spectral type, rotation period and age.


# Sector 014 targets observed (12)
142439883,145.7046,70.0379,8.86,G022198;G022171;G022080;G022238;G022056
297961454,157.8775,57.0892,11.44,G022198;G022056
86232609,139.8418,62.0525,9.56,G022156;G022145;G022056;G022198
251078597,138.5884,52.6827,6.05,G022125;G022187;G022080;G022056
148836026,162.6576,51.7504,11.48,G022198;G022056
311578368,159.6225,48.5286,11.03,G022056;G022198
288634843,278.9699,80.0955,10.59,G022198;G022056
230120143,250.082,67.6033,11.98,G022164;G022076;G022198;G022056
233068870,270.5717,64.2601,10.34,G022252;G022076;G022198;G022113;G022056
406857100,274.7445,66.1901,10.53,G022076;G022198;G022056

# Sector 022 targets observed (12)
138822476,175.8468,25.3036,11.43,G022056
371609542,187.362,22.9962,11.49,G022252;G022056;G022198
393800499,186.7396,27.0135,11.95,G022056;G022198
21549606,165.7903,36.6526,11.09,G022056;G022198
353969903,165.8303,35.943,5.65,G022252;G022056
85334035,167.9644,33.5371,9.88,G022198;G022056
291108016,178.5333,9.8018,10.27,G022076;G022198;G022056
219824489,204.4167,48.1309,11.78,G022198;G022056
157873245,191.4436,52.9221,11.7,G022056;G022198
139069496,184.2426,31.1562,11.41,G022252;G022056;G022198
99303810,187.7306,31.8695,11.54,G022252;G022148;G022056;G022109;G022198
233068870,270.5717,64.2601,10.34,G022252;G022076;G022198;G022056;G022113

# Sector 023 targets observed (15)
72465347,206.4427,14.8833,6.58,G022198;G022080;G022056
149506101,194.2201,23.4974,11.44,G022056
402137342,192.3901,9.4755,10.63,G022056;G022198
411248800,195.1344,5.6868,10.37,G022076;G022198;G022056
88138162,195.1904,12.3756,7.84,G022080;G022056;G022198
88190352,195.5231,12.3721,10.71,G022056;G022198
392926945,207.2025,4.0996,11.48,G022198;G022056
219824489,204.4167,48.1309,11.78,G022198;G022056
359185852,197.3935,28.984,11.21,G022252;G022076;G022198;G022056;G022109;G022148
368129164,202.9427,29.276,9.29,G022252;G022056;G022113;G022198
28288523,223.7272,41.1475,11.95,G022056
310170499,239.5435,49.4513,10.19,G022056;G022198
298164374,219.2274,58.3446,9.54,G022198;G022056
230120143,250.082,67.6034,11.98,G022164;G022076;G022198;G022056
406857100,274.7445,66.1901,10.53,G022076;G022198;G022056

# Sector 024 targets observed (14)
8676350,248.8652,35.0152,10.28,G022198;G022056
28288523,223.7272,41.1475,11.95,G022056
368319770,232.9722,28.8529,11.45,G022252;G022056;G022198
310170499,239.5435,49.4513,10.19,G022056;G022198
255932726,247.8272,40.8661,11.45,G022164;G022076;G022198;G022056
230120143,250.082,67.6034,11.98,G022164;G022076;G022198;G022056
233068870,270.5717,64.2601,10.34,G022252;G022076;G022198;G022056;G022113
406857100,274.7446,66.1901,10.53,G022076;G022198;G022056
288634843,278.9699,80.0955,10.59,G022198;G022056
435160829,346.5224,63.9259,9.06,G022125;G022252;G022056;G022113;G022198
272335628,356.0051,64.7419,9.46,G022056;G022198
285903673,31.796,64.2855,11.56,G022252;G022056
379084450,15.6657,71.6777,7.75,G022198;G022080;G022056
52183206,15.8415,62.366,10.48,G022076;G022252;G022198;G022056

# Sector 025 targets observed (12)
257798327,259.9745,26.5028,8.89,G022198;G022056
8676350,248.8652,35.0152,10.28,G022198;G022056
257817286,259.9975,24.2012,11.47,G022198;G022056
287201692,252.7416,22.4538,10.99,G022076;G022198;G022056
255932726,247.8272,40.8661,11.45,G022164;G022076;G022198;G022056
230120143,250.082,67.6034,11.98,G022164;G022076;G022198;G022056
233068870,270.5717,64.2601,10.34,G022252;G022076;G022198;G022056;G022113
406857100,274.7446,66.1901,10.53,G022076;G022198;G022056
288634843,278.97,80.0955,10.59,G022198;G022056
407574350,3.4201,80.6668,9.15,G022056;G022198
285903673,31.796,64.2855,11.56,G022252;G022056
379084450,15.6658,71.6777,7.75,G022198;G022080;G022056

# Sector 026 targets observed (17)
27858644,278.9073,32.9939,13.29,G022182;G022164;G022252;G022056
120043827,283.9331,40.5912,13.87,G022056;G022166
123414877,282.1971,42.2211,12.78,G022056;G022166
157853745,280.4039,39.7023,10.86,G022252;G022076;G022198;G022056
164458193,283.1424,45.645,12.37,G022198;G022056
230120143,250.0819,67.6034,11.98,G022164;G022076;G022198;G022056
230345672,280.6872,13.9067,10.08,G022252;G022076;G022198;G022056
257798327,259.9745,26.5029,8.89,G022198;G022056
257817286,259.9975,24.2012,11.47,G022198;G022056
267673950,289.8476,52.0754,13.54,G022056;G022166
288634843,278.97,80.0955,10.59,G022198;G022056
289972535,118.9603,83.3813,10.43,G022252;G022076;G022198;G022056
313988572,273.2788,26.0309,10.61,G022198;G022056
350814367,285.6357,49.8226,13.95,G022056;G022166
400361232,263.4708,16.9195,10.89,G022056;G022164;G022198
406857100,274.7446,66.1901,10.53,G022076;G022198;G022056
407574350,3.4201,80.6668,9.15,G022056;G022198
