# TESS Program G022172

Title: Pulsations And Disks Of Be Stars As Tracers Of Stellar Structure, Evolution, Pulsation-Driven Mass Loss And Disk Phsyics

PI: Labadie-Bartz, Jonathan - Universidade De Sao Paulo

Type: SMALL

Summary: Be stars are near-critically rotating non-radially pulsating B-type stars that episodically eject mass and form orbiting viscous 'decretion' disks. As such, they are valuable astrophysical laboratories for a variety of processes. Be stars show diverse behavior with widely ranging timescales and magnitudes, necessitating a statistical study of the class. They are bright and relatively common, but tend to lie near the Galactic plane and have largely been avoided by space photometry. TESS thus provides an excellent and rare opportunity to study Be stars, and in particular their pulsational properties which may hold the key as to what drives the enigmatic Be phenomenon. We will obtain spectra and polarization measurements simultaneous with the TESS observations of selected targets.


# Sector 014 targets observed (13)
420470654,8.0119,67.1611,8.04,G022169;G022172
434893323,346.0092,63.3969,7.23,G022062;G022169;G022172
461498857,333.2988,86.1082,5.32,G022172;G022133;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
322060937,324.2377,68.1853,8.17,G022135;G022169;G022172
387813185,315.404,68.1633,6.77,G022222;G022172

# Sector 019 targets observed (15)
121965292,75.8277,41.4416,5.85,G022020;G022172
155977294,69.7704,41.25,8.53,G022172
156370403,71.0543,40.7863,6.0,G022172
171009659,67.6601,32.4577,6.22,G022172
115893722,84.4623,33.9672,8.11,G022172
127764224,81.4366,35.6472,7.88,G022161;G022172
143681075,80.6468,37.676,7.03,G022020;G022172
333723961,80.1795,37.4386,6.81,G022172
390896668,52.1633,62.493,7.64,G022169;G022172
81682067,47.2257,62.3846,6.17,G022169;G022172
355821272,54.5043,55.1709,7.22,G022169;G022172
418090700,64.9256,55.9994,9.94,G022172
82167432,49.2489,60.0675,7.34,G022169;G022172
8300380,65.5036,54.512,9.1,G022172
461498857,333.2988,86.1082,5.32,G022172;G022133;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25

# Sector 020 targets observed (6)
240003393,94.7468,34.2306,9.03,G022172
371102580,108.4191,38.1084,8.37,G022172
84355882,96.2198,29.707,6.75,G022172
95572273,121.4044,27.5297,6.71,G022172
339505131,92.7292,62.3138,8.52,G022172
461498857,333.2988,86.1082,5.32,G022172;G022133;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25

# Sector 021 targets observed (1)
137752707,175.1142,57.9705,6.45,G022172

# Sector 022 targets observed (1)
373676988,186.3477,35.976,10.6,G022172

# Sector 023 targets observed (1)
313498719,249.0574,52.9245,5.25,G022172;G022133;G022171;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25

# Sector 024 targets observed (14)
219480018,242.1922,44.9351,4.3,G022133;G022172;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
275038687,258.3655,45.3722,7.71,G022135;G022172
387813185,315.404,68.1633,6.77,G022222;G022172
13212836,344.1288,62.8686,7.21,G022172
322060937,324.2377,68.1853,8.17,G022135;G022169;G022172
410522328,327.9485,61.9429,7.29,G022062;G022172
411043004,328.4504,62.6144,6.81,G022062;G022172;G022171
434893323,346.0092,63.3969,7.23,G022062;G022169;G022172
268944966,349.1127,61.9629,6.26,G022062;G022172
319302209,350.5436,56.3482,7.71,G022172
285684866,31.5357,63.3699,10.12,G022172
368237682,358.0505,67.1687,9.53,G022172
420470654,8.0119,67.1611,8.04,G022169;G022172
51961599,14.196,60.3628,5.63,G022133;G022172;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25

# Sector 025 targets observed (9)
313498719,249.0574,52.9245,5.25,G022172;G022133;G022171;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
219480018,242.1922,44.9351,4.3,G022133;G022172;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
275038687,258.3655,45.3722,7.71,G022135;G022172
387813185,315.404,68.1633,6.77,G022222;G022172
461498857,333.299,86.1082,5.32,G022172;G022133;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
368237682,358.0505,67.1687,9.53,G022172
285684866,31.5357,63.3699,10.12,G022172
420470654,8.0119,67.1611,8.04,G022169;G022172
444746129,25.0901,63.1144,8.65,G022172

# Sector 026 targets observed (3)
275038687,258.3655,45.3722,7.71,G022135;G022172
425704973,281.9891,31.7568,6.19,G022169;G022172
461498857,333.29900000000004,86.1082,5.32,G022172;G022133;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
