# TESS Program G022208

Title: Short Timescale Stellar Variability: Searching For Evolving Or Decaying Eclipsing Binaries And Other Exotic Processes

PI: Zakamska, Nadia - Johns Hopkins University

Type: SMALL

Summary: Compact binaries must have undergone dramatic orbital shrinkage, possibly first via the Kozai mechanism and tidal interaction, and then during the common envelope phase. Detecting period variations in eclipsing binaries is key to identifying candidates undergoing these processes. Here we propose for TESS 2-min cadences for ~1100 short-period (<0.5 day) eclipsing binaries identified from WISE. We will combine WISE and TESS light curves to search for period changes over ~10 years of observations, to measure orbital evolution in close binaries, and to discover binaries with decaying periods possibly on their way to the common envelope phase. Measuring orbital changes in this large sample will allow us to probe key stages of binary evolution.


# Sector 014 targets observed (47)
312228673,303.3311,36.3757,13.69,G022208
417052182,304.212,41.9616,10.44,G022062;G022208
282368998,311.5787,28.2624,9.56,G022062;G022208
163965682,321.2515,33.6874,7.99,G022062;G022208
229461186,295.1026,60.9203,10.85,G022062;G022208
229479753,295.6351,64.6951,8.36,G022208
269595425,300.6415,69.8668,9.7,G022208
269700358,301.952,68.0647,8.29,G022208
359981627,300.2726,66.1612,9.83,G022208
164557531,283.7665,47.8191,10.54,G022062;G022208
237117923,269.8465,54.2814,10.02,G022208
237130278,277.8058,52.7854,11.01,G022062;G022208
243286221,288.5712,58.2069,11.06,G022208
243352373,290.2687,56.3285,10.23,G022062;G022208
243354243,290.2621,58.6723,10.46,G022208
353894978,271.6859,56.407,10.32,G022099;G022208
357099320,275.0042,55.7476,9.03,G022208
359496762,279.1176,56.026,11.98,G022198;G022208
359553260,279.3635,56.2276,11.03,G022208;G022198
359679558,281.0692,55.259,8.82,G022208
377098752,285.2016,57.8133,7.65,G022208
377190161,285.6751,58.7328,10.11,G022062;G022208
389966066,277.0804,55.6741,7.4,G022208
390021728,277.7935,56.4175,11.54,G022062;G022208
406929271,287.5273,58.6304,11.93,G022208;G022198
47626069,278.7917,51.888,10.83,G022062;G022208
27843942,296.4419,51.2243,11.83,G022062;G022208
298967445,288.5069,49.0949,9.95,G022062;G022208
198457457,261.8349,56.3751,9.4,G022062;G022208
224602141,255.1883,56.3072,11.44,G022198;G022208
233660303,260.1754,65.64,7.31,G022030;G022208
233720276,276.3578,62.9403,8.49,G022208
233733505,277.6206,64.1962,8.18,G022030;G022208
229767960,281.9416,68.3153,11.66,G022208
237277760,299.1197,73.6159,8.7,G022062;G022208
237278994,299.6589,72.2383,10.18,G022062;G022208
441804674,266.0454,72.0509,9.03,G022099;G022103;G022208
160472514,237.706,72.2112,9.38,G022062;G022173;G022208
270491267,232.36,70.1983,12.95,G022141;G022057;G022158;G022208
198313291,233.6854,62.2791,10.09,G022208
335719278,222.9869,60.7724,10.35,G022208
138578906,175.7594,60.5769,9.1,G022062;G022208
147625755,184.1521,64.8576,11.02,G022062;G022208
55753802,181.5822,57.1765,9.69,G022062;G022208
332277332,204.1703,51.9138,12.85,G022126;G022141;G022071;G022254;G022208

# Sector 016 targets observed (43)
197757000,337.2079,53.7711,10.42,G022062;G022208
371480725,342.873,57.0049,9.88,G022062;G022208
304628774,316.9677,44.095,14.08,G022141;G022208
173419202,347.5516,47.5705,8.56,G022062;G022208
176752680,354.1158,44.1234,9.77,G022062;G022208
237252959,298.5713,73.3888,9.32,G022208
237277760,299.1197,73.6159,8.7,G022062;G022208
237278994,299.6589,72.2383,10.18,G022062;G022208
269595425,300.6415,69.8668,9.7,G022208
269700358,301.952,68.0647,8.29,G022208
359981627,300.2726,66.1612,9.83,G022208
229461186,295.1026,60.9203,10.85,G022062;G022208
229910746,287.3498,61.8379,10.08,G022208
243286221,288.5712,58.2069,11.06,G022208
243352373,290.2687,56.3285,10.23,G022062;G022208
243354243,290.2621,58.6723,10.46,G022208
27843942,296.4419,51.2243,11.83,G022062;G022208
359553260,279.3635,56.2276,11.03,G022208;G022198
359679558,281.0692,55.259,8.82,G022208
377098752,285.2016,57.8133,7.65,G022208
377190161,285.6751,58.7328,10.11,G022062;G022208
406929271,287.5273,58.6304,11.93,G022208;G022198
338071673,337.8158,63.5227,8.51,G022062;G022208
198457457,261.8349,56.3751,9.4,G022062;G022208
233660303,260.1754,65.64,7.31,G022030;G022208
233720276,276.3578,62.9403,8.49,G022208
233733505,277.6206,64.1962,8.18,G022030;G022208
284890361,260.4364,54.5592,11.66,G022232;G022062;G022208
332474962,265.3159,54.5661,11.2,G022208
353894978,271.6859,56.407,10.32,G022099;G022208
357099320,275.0042,55.7476,9.03,G022208
389966066,277.0804,55.6741,7.4,G022208
390021728,277.7935,56.4175,11.54,G022062;G022208
229767960,281.9416,68.3153,11.66,G022208
441804674,266.0454,72.0509,9.03,G022099;G022103;G022208
160472514,237.706,72.2112,9.38,G022062;G022173;G022208
198313291,233.6854,62.2791,10.09,G022208
270491267,232.36,70.1983,12.95,G022141;G022057;G022158;G022208
272781956,238.24,68.725,9.4,G022062;G022208
199610813,249.0069,59.7447,12.52,G022141;G022208
224602141,255.1883,56.3072,11.44,G022198;G022208
335719278,222.9869,60.7724,10.35,G022208
332277332,204.1703,51.9138,12.85,G022126;G022141;G022071;G022254;G022208

# Sector 017 targets observed (41)
284925600,12.0056,60.8617,10.68,G022062;G022208
173419202,347.5516,47.5705,8.56,G022062;G022208
176752680,354.1158,44.1234,9.77,G022062;G022208
440170529,5.9854,42.7855,12.36,G022141;G022208
455755453,357.568,39.0173,9.92,G022062;G022208
196920546,20.0729,47.6564,11.72,G022062;G022208
240706234,10.0274,50.2373,9.96,G022062;G022208
197757000,337.2079,53.7711,10.42,G022062;G022208
371480725,342.873,57.0049,9.88,G022062;G022208
279605117,346.6736,70.7497,8.81,G022003;G022208
455896112,339.8061,64.8596,8.91,G022208
256640207,327.5462,71.4439,9.28,G022062;G022208
269700358,301.952,68.0647,8.29,G022208
229461186,295.1026,60.9203,10.85,G022062;G022208
229479753,295.6351,64.6951,8.36,G022208
229910746,287.3498,61.8379,10.08,G022208
233720276,276.3578,62.9403,8.49,G022208
233733505,277.6206,64.1962,8.18,G022030;G022208
243286221,288.5712,58.2069,11.06,G022208
243354243,290.2621,58.6723,10.46,G022208
359981627,300.2726,66.1612,9.83,G022208
377098752,285.2016,57.8133,7.65,G022208
377190161,285.6751,58.7328,10.11,G022062;G022208
406929271,287.5273,58.6304,11.93,G022208;G022198
237277760,299.1197,73.6159,8.7,G022062;G022208
237278994,299.6589,72.2383,10.18,G022062;G022208
269595425,300.6415,69.8668,9.7,G022208
362220017,286.0264,78.7528,8.3,G022208
441804674,266.0454,72.0509,9.03,G022099;G022103;G022208
160472514,237.706,72.2112,9.38,G022062;G022173;G022208
233660303,260.1754,65.64,7.31,G022030;G022208
233684862,260.9524,64.9784,11.8,G022208
198457457,261.8349,56.3751,9.4,G022062;G022208
224602141,255.1883,56.3072,11.44,G022198;G022208
237117923,269.8465,54.2814,10.02,G022208
284890361,260.4364,54.5592,11.66,G022232;G022062;G022208
332474962,265.3159,54.5661,11.2,G022208
353894978,271.6859,56.407,10.32,G022099;G022208
357099320,275.0042,55.7476,9.03,G022208
389966066,277.0804,55.6741,7.4,G022208
390021728,277.7935,56.4175,11.54,G022062;G022208

# Sector 018 targets observed (45)
385105755,50.9184,46.5768,9.89,G022208
431762266,52.8,43.9042,11.87,G022071;G022116;G022208
63623869,32.6856,34.9379,11.76,G022253;G022208
354922610,39.3807,71.3046,9.85,G022062;G022208
284925600,12.0056,60.8617,10.68,G022062;G022208
196920546,20.0729,47.6564,11.72,G022062;G022208
308786442,24.2872,50.9556,14.13,G022116;G022071;G022208
279605117,346.6736,70.7497,8.81,G022003;G022208
338071673,337.8158,63.5227,8.51,G022062;G022208
455896112,339.8061,64.8596,8.91,G022208
279923419,38.9931,80.4957,13.84,G022141;G022071;G022254;G022208
402847504,17.6508,80.3472,9.38,G022208
468293391,7.1162,78.9619,10.03,G022208
