TICID,RA,Dec,Tmag,Keywords
188512428,143.8492,37.5198,11.05,G04123;G04106;G04206
137803552,177.1753,54.7188,11.34,G04123;G04206
55778901,182.2595,56.0318,11.14,G04171;G04191;G04206
150276417,161.047,44.6789,9.14,G04123;G04206
406781370,170.5235,46.726,11.21,G04171;G04234;G04206
229536143,195.8793,71.1122,9.98,G04202;G04184;G04206
356701798,254.8456,70.5769,10.62,G04171;G04206
356820646,269.5245,73.1237,11.22,G04171;G04103;G04206
441804888,265.8504,72.6112,11.26,G04171;G04133;G04206
207496824,246.9546,58.8398,10.75,G04171;G04103;G04206
311235572,253.9882,68.2001,11.4,G04103;G04206
237114978,269.6715,58.1615,10.64,G04219;G04171;G04206
353989471,272.5463,55.6388,10.61,G04171;G04206
389916225,275.7725,58.9035,10.1,G04171;G04206
258799679,286.6097,68.4837,10.58,G04123;G04206
