TICID,RA,Dec,Tmag,Keywords
185336364,301.5643,44.4568,11.35,G04231;G04171;G04126;20SECONDTARGET
185336364,301.5643,44.4568,11.35,G04231;G04171;G04126;20SECONDTARGET
