TICID,RA,Dec,Tmag,Keywords
219107776,271.0599,67.9035,13.93,G04171;G04152;G04046;20SECONDTARGET
219107776,271.0599,67.9035,13.93,G04171;G04152;G04046;20SECONDTARGET
