# TESS Program G05078

Title: TESS Photometry Of A Sample Of Sb2 Eclipsing Binaries

PI: Helminiak, Krzysztof - Copernicus Astronomical Center

Type: MINI

Summary: We intend to obtain very high precision light curves of a sample of detached eclipsing and double-lined spectroscopic (SB2) binaries, which have a large number of new and unpublished high-resolution spectra (from our own observations). In total, there are over 380 stars in the program, >150 of which are available for TESS in Cycle 5. The light curves will be combined with the precise radial velocity (RV) measurements in order to obtain accurate and precise, absolute stellar parameters.


# Sector 056 targets observed (2 min: 2, 20 s: 0)
299377596,240.1059,-51.1197,7.73,G05078
442829369,238.9274,-33.1101,8.97,G05078;G05003
464765603,244.2908,-38.6816,9.47,G05078
66983204,240.4646,-28.374,8.49,G05078
95731445,243.5372,-30.6376,10.01,G05078
1030035125,205.8646,-60.5282,10.99,G05078
262126225,199.6837,-58.267,8.0,G05078;G05131
332607100,213.1422,-60.9733,9.51,G05078
439670072,196.15,-61.6715,9.09,G05078
425644107,232.3203,-72.513,9.28,G05078
447039116,238.2437,-66.6298,8.47,G05078
137872682,230.7516,-53.5206,9.66,G05078
313907706,225.4359,-52.7031,9.05,G05078
35542651,224.847,-59.395,10.85,G05078
413885551,232.0981,-54.1225,10.02,G05078
422641277,233.9795,-62.585,11.02,G05078
44550552,229.6982,-56.2778,9.59,G05078
46218875,230.5341,-54.5272,10.06,G05078
64437380,235.6981,-57.511,9.9,G05078
84518859,238.4898,-55.8894,9.06,G05078
331521972,214.4803,-48.1708,10.46,G05078
388483448,217.3855,-60.2434,10.22,G05078
408750249,213.5188,-56.0634,8.31,G05078
361954427,196.0632,-75.1768,9.98,G05078
395398543,206.8947,-76.9882,10.63,G05078
401675210,216.3496,-77.9722,9.23,G05078;G05131
407165509,235.8983,-83.8008,9.7,G05078;G05003
294930324,169.7194,-66.174,11.22,G05078
398850090,162.3083,-67.7473,10.58,G05078;G05143;G05003
399253092,163.4347,-68.3509,10.01,G05078;G05003
454790725,176.2461,-72.794,10.61,G05078
355152640,130.0464,-65.5289,9.93,G05078;G05003
394730113,160.5998,-82.0376,7.58,G05078
197908268,58.6121,-58.5776,9.72,G05078;G05003

# Sector 066 targets observed (2 min: 29, 20 s: 0)
125857387,256.7609,-47.0032,7.82,G05078;G05003
211832868,255.0441,-53.266,9.68,G05078
245999208,252.5099,-42.6025,9.77,G05078
246545297,252.9049,-44.9627,10.76,G05078
260916811,259.0248,-52.8887,9.63,G05078
303142114,262.0234,-49.4988,10.22,G05078
6631253,246.6557,-50.7137,9.33,G05078
31207306,265.4793,-45.5711,9.59,G05078
397245443,280.1211,-45.7479,9.13,G05078;G05131
265830810,270.6224,-32.1668,11.14,G05078
58046167,275.2698,-39.2823,10.49,G05078
346767664,255.8992,-36.6466,9.73,G05078
425644107,232.3203,-72.513,9.28,G05078
447039116,238.2437,-66.6298,8.47,G05078
396170777,298.879,-71.2613,9.62,G05078;G05003
387107961,283.9092,-62.4809,9.89,G05078;G05003
172044456,255.5818,-55.9288,9.1,G05078
380161624,257.5063,-57.974,10.24,G05078
318649597,332.3526,-86.2509,11.01,G05078;G05003
327785134,312.5156,-75.9102,8.63,G05078;G05105;G05003;G05131
406347247,330.6704,-84.2651,11.03,G05078
395398543,206.8947,-76.9882,10.63,G05078
401675210,216.3496,-77.9722,9.23,G05078;G05131
407165509,235.8983,-83.8008,9.7,G05078;G05003
394730113,160.5998,-82.0376,7.58,G05078
257737073,32.3741,-85.3034,9.27,G05078;G05003
261746657,26.5561,-79.8647,10.24,G05078;G05003
263074592,16.4107,-80.0613,9.36,G05078;G05003
270341486,33.2437,-81.3998,9.88,G05078;G05003
