# TESS Program G05121

Title: Modeling Complex Flares With TESS 20-Second Data

PI: Tovar Mendoza, Guadalupe - University Of Washington

Type: SMALL

Summary: Stellar variability is a limiting factor for exoplanet characterization, especially around active M stars. Recent work has shown that given high enough resolution, flares show more signs of complexity. Many have modeled classical flares but less work has been done to model the morphology of complex flares. TESS 20-second data provides us with better resolution of short time scale variability which is smoothed out in the 2-minute data. We propose to use a sample of 5635 TESS 20-second light curves, combined with new stellar flare and starspot analysis methods, to model the morphology of complex flare events on active M stars. We will deliver 1. New publicly available tools to decompose complex flares and 2. The largest statistical analysis of complex flares with TESS 20-second data.


# Sector 056 targets observed (2 min: 400, 20 s: 32)
129108008,341.8198,38.2583,9.79,G05121
129197636,342.0951,38.8277,9.7,G05121
129330808,342.7688,37.6604,9.45,G05121
129482772,343.551,39.004,9.66,G05121
164148101,335.6589,33.4688,9.86,G05121
164262236,336.2568,35.6678,9.98,G05152;G05121
164263491,336.3133,34.345,9.37,G05121
188837033,342.6636,34.858,9.7,G05109;G05121
188878355,342.977,31.7539,9.29,G05109;G05121
346340426,344.5248,36.0874,9.91,G05121
351903176,346.7257,36.4331,9.93,G05121
353139954,338.4186,34.1178,9.49,G05121
373908217,345.7033,39.1698,9.47,G05121
373908359,345.7068,39.3461,9.89,G05121
374046110,346.8592,36.8566,9.19,G05121
374266133,347.9175,36.6697,9.27,G05121
427025353,338.7354,32.3209,9.83,G05121
431362322,339.0084,32.5579,9.83,G05121
44102780,344.7175,35.9061,9.27,G05121
239332587,311.2709,44.5008,8.73,G05144;G05121;20SECONDTARGET
289336448,315.039,49.5895,9.97,G05121
290234784,316.2605,50.4885,9.77,G05121
278336681,324.4625,53.0806,8.91,G05121
315365617,338.2534,53.7967,8.72,G05121
329871001,333.2356,55.0809,9.39,G05121
387744326,323.7144,51.5391,9.55,G05123;G05121;20SECONDTARGET
387938931,325.3808,49.4271,9.12,G05121
469539957,324.245,56.1189,9.99,G05121
236896147,303.81,60.8503,9.58,G05105;G05121
236899387,303.7956,63.5217,9.58,G05112;G05121;20SECONDTARGET
236962436,304.4878,60.0683,9.98,G05121
236987797,305.4221,62.3342,9.94,G05121
256324377,297.7981,62.2881,9.69,G05121
256746748,300.9491,64.4291,9.46,G05121
258508426,304.565,69.366,8.07,G05121
258628697,306.2406,70.3617,8.41,G05121
343177324,309.2515,61.5759,9.89,G05121
343335500,310.0773,61.691,9.44,G05123;G05121;20SECONDTARGET
343564093,310.9269,64.281,9.64,G05123;G05121;20SECONDTARGET
343571855,311.1253,60.8866,9.96,G05121
349919006,304.8544,66.7147,9.99,G05121
349977438,305.3018,68.8524,9.7,G05106;G05121
352702345,308.4252,61.7595,9.93,G05152;G05121
365670764,313.3325,62.1495,6.74,G05123;G05144;G05109;G05121;20SECONDTARGET
387328696,310.0395,70.2931,9.67,G05121
387600431,313.0035,69.1688,9.88,G05121
408636441,326.8509,62.7538,9.93,G05095;G05144;G05121;20SECONDTARGET
467254810,307.6403,65.4514,8.24,G05152;G05121
467317926,314.2102,61.5619,9.65,G05121
229439761,293.6557,61.3695,9.81,G05121
233294845,300.6861,59.338,9.58,G05106;G05121
233310477,300.8148,58.719,9.67,G05121
233398756,301.9445,55.0637,9.88,G05121
233751709,302.6918,56.1778,9.14,G05121
233844586,303.951,55.8802,9.91,G05121
233904049,304.7456,56.6055,9.42,G05003;G05121
243280379,288.4245,56.5776,9.88,G05121
243303305,289.3994,54.9952,9.47,G05121
243303886,289.4425,55.6274,9.85,G05121
243319960,289.6763,55.1411,9.99,G05121
256511828,299.3644,60.0653,9.5,G05121
26547036,292.1671,53.4874,9.27,G05144;G05121;20SECONDTARGET
26662516,292.7861,53.137,8.72,G05121
26968755,293.7324,53.2596,9.89,G05121
27004739,293.946,51.5758,9.55,G05121
272279823,296.1914,47.611,9.81,G05121
27238746,294.8035,48.4403,8.63,G05106;G05121
273376711,297.7363,47.608,9.91,G05121
273872616,298.2175,47.1745,9.46,G05121
27638247,295.6853,51.5953,9.14,G05121
27773745,296.2644,48.831,9.8,G05121
27837522,296.3472,52.487,9.6,G05121
28079340,297.1516,52.94,9.92,G05121
28158509,297.3385,49.4237,9.94,G05121
28300175,297.9138,53.6373,9.68,G05121
28300179,297.9169,53.6353,9.48,G05121
290033019,290.69,50.469,9.65,G05121
299088891,288.8035,50.5227,9.1,G05121
299092111,288.8472,53.5851,9.91,G05121
303180852,299.6633,52.3376,9.88,G05121
311682650,300.0806,49.9734,9.56,G05112;G05121;20SECONDTARGET
351196234,296.633,52.2527,9.09,G05106;G05121
352307950,297.2898,54.5116,9.58,G05121
352370090,297.3007,57.409,7.21,G05144;G05121;20SECONDTARGET
364768696,299.4867,52.7139,8.91,G05106;G05121
364968957,298.1004,55.9768,9.67,G05121
400430548,295.3884,57.6734,9.88,G05121
400470543,295.706,54.4342,9.69,G05121
400474338,295.6598,57.4458,9.57,G05121
405836863,299.5435,55.9472,9.79,G05121
405903731,301.4999,52.4009,9.67,G05121
406888049,287.4018,54.1228,9.32,G05121
416267333,289.5717,51.6923,9.32,G05112;G05121;20SECONDTARGET
416280988,289.7469,50.9937,9.93,G05121
417653084,290.8066,53.987,9.98,G05121
421373120,296.8448,56.0071,9.98,G05121
467187199,296.3511,54.9275,9.85,G05121
469466423,307.8863,55.9633,8.56,G05121
165552714,266.7424,55.1475,8.88,G05071;G05121
165554927,266.9848,58.0054,9.42,G05121
219810107,266.8085,64.1363,9.6,G05121
219814440,267.2958,64.7014,9.92,G05121
219820991,268.1686,60.5038,9.75,G05121
219822564,268.0493,64.7668,9.5,G05123;G05121;20SECONDTARGET
229958602,289.0072,59.9761,8.92,G05121
229974816,289.9264,60.8557,9.0,G05121
230391018,286.3825,60.4682,8.57,G05105;G05121
232620511,268.4897,55.732,9.66,G05121
232643188,281.6263,54.0298,9.94,G05121
232681433,282.5605,57.9055,8.8,G05121
233045126,268.4835,64.6526,8.92,G05121
233045220,268.4915,64.3814,9.68,G05121
233058441,269.6514,64.5424,9.15,G05121
233060062,269.8339,63.0459,9.49,G05121
233062953,270.0551,62.9929,9.7,G05121
233071436,270.7987,61.5855,9.95,G05121
233088466,272.4115,60.3922,9.43,G05121
233089750,272.5182,63.1399,9.77,G05121
233092812,272.8647,61.5312,9.82,G05121
233132126,274.4392,61.8256,9.44,G05121
233541860,281.1977,62.6858,9.96,G05121
233606245,282.9035,61.0396,9.22,G05121
233613367,283.5167,60.6309,9.77,G05121
233728690,277.1733,62.3587,9.79,G05121
233743754,278.2248,63.7092,8.75,G05131;G05121
233743755,278.2219,63.7092,9.28,G05121
237114804,269.5927,57.7279,9.98,G05121
298781653,278.6453,57.4043,9.8,G05121
356916207,273.3774,55.2069,9.98,G05121
357099156,275.0728,55.4435,9.9,G05121
357099320,275.0042,55.7476,9.03,G05121
359313431,267.992,56.0407,9.57,G05121
359497229,279.0531,56.7431,9.49,G05121
359498640,279.2127,59.169,9.98,G05121
359589748,279.9555,57.0998,9.42,G05121
376930910,284.0665,54.5278,8.97,G05121
376991612,284.5836,54.5623,8.78,G05121
377050485,284.8783,54.5363,9.9,G05121
377052836,284.9181,57.4179,9.76,G05121
377292556,286.6432,59.0371,9.99,G05121
383676271,279.18,62.3751,9.56,G05105;G05121
389969478,277.1887,57.8822,9.56,G05121
219090355,268.674,68.697,9.89,G05121
219094946,269.2654,68.8225,8.4,G05121
219097728,269.6179,67.4359,9.91,G05121
219100157,269.9684,71.0891,9.86,G05121
219109297,271.5765,71.6559,9.75,G05121
219112487,271.8788,68.5619,9.32,G05121
229464446,294.9702,65.0137,9.02,G05121
229586495,271.3691,75.2771,9.04,G05121
229589015,271.5755,72.8227,9.69,G05123;G05121;20SECONDTARGET
229608720,274.651,74.8629,9.49,G05121
229611125,274.7261,73.2913,9.89,G05121
229643811,279.577,73.792,9.16,G05121
229742951,279.8572,69.0523,9.94,G05121
229744770,280.1959,66.5479,9.59,G05121
229777943,283.1439,65.9236,9.55,G05121
229794188,284.5274,67.2612,9.9,G05121
229938330,287.7127,64.241,9.08,G05121
230381544,285.7099,64.4273,9.88,G05121
233238892,267.8659,70.2458,8.51,G05121
235675539,283.044,73.127,8.65,G05121
235683860,287.4051,73.1169,9.91,G05121
236757919,272.7082,70.2696,9.95,G05105;G05121
237198037,292.4017,73.5293,9.38,G05121
237202188,293.4463,71.9202,9.73,G05121
237203236,293.4648,74.0996,9.15,G05121
237211184,294.6217,75.2802,8.53,G05121
237217129,295.2054,74.3115,9.75,G05121
237222864,296.2448,74.0629,9.14,G05144;G05121;20SECONDTARGET
237285061,299.8785,72.2336,9.75,G05121
258351335,296.6592,69.9485,9.85,G05121
258461740,300.1429,69.2397,8.68,G05121
258462909,300.2471,71.3427,9.77,G05121
258801514,286.8736,66.7313,9.76,G05121
258874679,288.1846,70.7883,9.85,G05121
258875210,288.5056,71.7541,9.95,G05121
259035512,290.1507,67.414,9.74,G05121
259167889,292.1319,66.7711,9.37,G05121
259264943,293.2818,70.1119,8.96,G05121
264221409,295.1301,70.2862,9.82,G05121
264222219,294.8831,71.8692,9.21,G05123;G05121;20SECONDTARGET
264250555,295.5693,66.8027,9.65,G05121
264302941,296.1567,66.8416,9.81,G05121
269594858,300.6638,71.0696,9.77,G05121
269697024,301.4852,69.314,8.73,G05105;G05121
280068769,297.9842,66.7988,9.77,G05121
280071089,297.9836,70.4873,9.71,G05121
333783634,307.9742,72.6859,9.92,G05121
333805063,308.4778,72.6443,9.74,G05121
367853801,276.302,75.2868,9.38,G05121
376846937,275.2532,71.1416,9.45,G05121
376849336,276.2197,66.2619,9.4,G05121
376884274,284.486,72.6143,9.99,G05121
394119956,287.9,74.8822,9.5,G05121
406855226,274.6579,70.7057,9.29,G05121
406855227,274.633,70.7049,9.46,G05121
420130716,290.8264,75.2874,9.61,G05121
160418603,234.0722,73.4038,9.76,G05121
160419588,234.614,74.6697,9.87,G05121
160422712,235.3401,75.9883,9.81,G05109;G05121
198555602,237.8378,65.4251,9.56,G05121
219846064,255.2543,68.0853,9.97,G05121
219854858,256.8141,67.6399,9.51,G05105;G05121
219859634,257.9116,69.3352,8.27,G05121
219863451,258.3424,70.4112,9.64,G05121
219876978,260.7842,67.3486,9.98,G05121
229675164,253.324,72.4744,8.42,G05121
230073581,244.17,67.2394,6.97,G05144;G05121;20SECONDTARGET
230075227,244.3769,68.8947,9.78,G05144;G05121;20SECONDTARGET
230085290,246.3722,71.3844,6.52,G05155;G05121;20SECONDTARGET
230085453,246.8445,71.6936,9.94,G05121
230088445,247.4185,71.1591,9.93,G05121
230092338,247.9197,66.8817,9.98,G05121
230132258,251.9978,67.0435,9.82,G05121
230132420,252.1724,66.5024,9.7,G05121
230136086,252.9211,66.5429,9.75,G05121
230136637,252.8752,68.5375,9.6,G05121
233193358,263.9372,70.3227,8.91,G05121
233193893,263.973,68.5307,8.35,G05121
233193964,264.1024,68.3311,6.85,G05123;G05109;G05121;20SECONDTARGET
237102033,240.8304,67.6285,9.89,G05121
272637516,231.9281,70.7432,9.53,G05121
272750970,236.7782,66.8626,9.75,G05121
441719443,254.8013,73.8212,9.88,G05121
441725294,256.1053,72.4965,9.87,G05121
441730688,257.5089,76.8573,9.58,G05121
441736964,258.6953,76.3906,9.22,G05121
458477649,231.9751,69.2438,9.12,G05121
198159071,243.0763,61.3424,9.41,G05121
198204753,246.6713,63.7451,8.8,G05121
198355953,256.2904,55.2085,9.36,G05121
198357824,256.4676,58.9284,7.94,G05144;G05112;G05121;20SECONDTARGET
198384408,257.785,56.6588,6.32,G05121;G05144;G05155;20SECONDTARGET
199573526,248.5705,54.6503,9.16,G05121
199657838,250.8665,59.2663,9.16,G05121
199662779,251.5143,54.0204,9.42,G05121
199664165,251.4501,59.248,9.35,G05121
199665230,251.9232,56.8928,7.81,G05144;G05121;20SECONDTARGET
199688388,253.0583,57.605,9.41,G05121
199688577,253.1096,58.4026,9.87,G05121
199708668,253.5875,54.8881,9.54,G05121
199708730,253.5564,55.1348,9.89,G05121
199710847,253.8048,56.6269,9.85,G05121
199711171,253.7305,55.4794,9.94,G05121
199711311,253.6677,55.1161,9.97,G05121
207436278,244.2733,55.2664,8.08,G05121;G05126
207437052,244.3783,55.1481,9.61,G05121
207440336,244.941,55.1533,9.89,G05121
207441150,244.9534,58.1805,9.67,G05121
207465038,245.6055,54.6365,9.47,G05121
207489846,246.0816,56.9633,9.81,G05121
207492082,246.3573,54.303,8.03,G05152;G05121
207492092,246.4087,54.2831,9.93,G05121
219750509,261.1623,64.6814,9.49,G05121
219777008,263.7725,60.5493,9.93,G05121
219780306,263.8971,61.6783,8.17,G05123;G05121;20SECONDTARGET
224598709,254.7069,54.8065,9.79,G05121
224603494,255.4366,55.6671,9.18,G05121
232602423,257.6532,63.4918,9.43,G05121
232602607,257.784,62.9526,9.94,G05121
236716097,239.6259,62.0929,9.62,G05121
274272639,250.6372,53.7117,9.52,G05121
274722374,256.9388,53.9325,9.3,G05121
284891349,260.4997,55.9564,9.91,G05121
287139493,252.7892,60.3289,9.37,G05121
289581438,252.3323,64.2015,9.63,G05121
298265628,247.7747,57.9309,9.75,G05121
307984785,257.1078,61.3158,9.44,G05121
320473367,264.2776,59.7971,9.97,G05121
320498138,264.1939,55.0063,9.95,G05121
329173835,263.5738,59.2139,9.39,G05121
329250464,264.1366,58.7906,9.51,G05121
334753785,246.5996,63.2731,9.68,G05121
424731749,255.1673,60.4345,9.18,G05121
459970307,254.924,64.6993,9.32,G05144;G05121;20SECONDTARGET
459980341,255.6264,60.6116,9.8,G05121
459985588,256.4264,64.1456,9.6,G05121

# Sector 057 targets observed (2 min: 419, 20 s: 32)
13960421,13.7768,28.6893,9.78,G05121
174393646,15.9849,31.0008,9.42,G05121
174394576,16.0889,33.2895,9.97,G05121
174496109,17.351,32.5723,9.99,G05121
186298984,17.6504,36.3911,9.94,G05121
186400103,18.8801,37.7432,8.25,G05121
186481727,20.0176,38.9917,9.98,G05121
186485314,20.1374,38.3327,9.52,G05121
267688052,9.7575,30.6164,8.91,G05121
267741773,10.4496,30.3336,10.0,G05121
267802440,10.7031,35.5493,8.51,G05143;G05121
267869724,11.0709,31.398,8.49,G05121
267869732,11.0716,31.3827,7.97,G05144;G05121;20SECONDTARGET
283906039,19.5454,32.9209,9.57,G05121
301942965,15.0385,30.6617,9.42,G05121
381479999,17.6608,35.6101,9.97,G05121
381483073,17.8304,32.0207,9.94,G05121
400098466,20.0313,33.2999,9.68,G05121
44560052,7.8357,33.6271,9.92,G05121
53675940,12.4015,30.8507,9.97,G05121
53830758,14.0759,31.3637,9.75,G05121
22528024,2.9708,31.3027,9.77,G05121
283789204,359.4409,23.2981,9.44,G05121
301800707,8.9297,29.5537,9.91,G05121
306118907,4.3397,29.1857,9.51,G05121
354594208,1.8878,32.4374,9.76,G05121
365961623,3.747,33.2613,9.82,G05121
437710759,359.228,23.084,9.7,G05121
437736382,2.4514,27.873,9.91,G05121
437737143,2.8663,29.8191,9.72,G05121
437737149,2.8665,29.8152,9.47,G05121
437742377,3.1926,28.7212,9.46,G05121
437752575,5.3171,25.5243,8.51,G05071;G05121
437760448,5.9763,26.9413,9.95,G05121
437764616,6.2001,28.7872,9.55,G05121
44453366,6.7459,30.7827,9.6,G05121
44523196,7.5486,30.2488,9.7,G05121
57988546,5.4279,30.7933,9.96,G05121
58028911,5.6205,34.4463,9.27,G05121
150899679,4.0658,19.8556,9.6,G05109;G05121
150905991,4.4925,20.9529,9.96,G05121
242798863,8.7187,19.561,8.84,G05121
242800766,8.6197,20.4329,9.63,G05121
258770622,10.5442,14.7147,9.38,G05121
303206437,5.2386,17.6372,9.57,G05121
303290296,11.9683,16.959,8.5,G05152;G05121
303319270,12.0895,17.5899,9.83,G05121
303320256,12.2535,14.2115,9.13,G05121
333136751,11.7213,16.0504,9.78,G05121
336767572,13.9839,17.1796,9.82,G05121
336776923,14.0565,15.6559,8.1,G05121
357370384,2.113,17.4239,9.05,G05121
397561711,10.2663,14.811,8.59,G05121
