# TESS Program G05122

Title: Hunting For White-Dwarf Merger Candidates With High-Cadence Photometry

PI: Caiazzo, Ilaria - California Institute Of Technology

Type: SMALL

Summary: We propose to search for rapid photometric variability in a sample of high-mass white dwarfs to look for rotating, highly magnetized objects that can be characterized with high confidence as white dwarf merger remnants. Finding a population of bonafide white dwarf merger remnants can help us understand the properties of merger remnants and their evolution, as well as understand the origin of magnetic fields in white dwarfs. Additionally, finding the merger rate of white dwarfs below the Chandrasekhar mass can provide important constraints on type Ia supernova rates and on the rate of close double degenerate binaries that will be detected with LISA, as well as help characterize the contribution to the LISA-sensitivity curve by the low-signal-to-noise double degenerates background.


# Sector 056 targets observed (2 min: 72, 20 s: 19)
1976303200,315.0971,51.7146,17.81,G05122;20SECONDTARGET
1977189290,309.9166,52.5487,17.34,G05122;20SECONDTARGET
2010938816,327.3189,48.8092,18.5,G05122
2014602313,338.5374,53.2213,17.87,G05122;20SECONDTARGET
2017757430,325.5902,54.1024,18.61,G05122
1884281102,299.9043,64.8904,18.58,G05122
1979546225,313.1472,57.9972,18.98,G05122
1979605906,316.4493,59.0534,18.05,G05084;G05122
1979887074,317.1967,61.7853,18.95,G05122
1980146848,307.7988,60.5034,18.88,G05122
1980962304,301.5813,63.2466,17.12,G05122;20SECONDTARGET
1981172661,310.0895,68.2403,18.63,G05122
1981412815,311.7871,69.59,19.0,G05122
2022167911,328.635,63.6984,18.98,G05122
2022897149,322.5791,65.0337,18.85,G05122
1883836926,298.5468,57.3168,18.94,G05122
1883916065,296.4286,59.3278,18.24,G05084;G05122
1401049304,269.3756,72.8473,18.86,G05122
1401064338,269.4437,73.9173,18.87,G05122
1551731324,272.3605,74.2258,17.89,G05084;G05122;20SECONDTARGET
1718049585,282.3595,64.9699,17.67,G05084;G05122;20SECONDTARGET
1718092344,288.4455,67.2775,18.83,G05122
1718219922,287.681,73.5777,17.75,G05122;20SECONDTARGET
1884271318,293.3048,65.8447,18.98,G05122
1884443253,291.837,69.6369,18.78,G05122
1271353916,254.1296,76.148,18.11,G05122

# Sector 057 targets observed (2 min: 84, 20 s: 15)
115514880,7.4965,36.8094,16.75,G05084;G05115;G05081;G05122;20SECONDTARGET
600046028,16.9388,29.0722,16.95,G05122;20SECONDTARGET
600187120,10.6674,30.9468,18.85,G05122
600192578,12.579,31.646,18.2,G05084;G05122
600270010,14.1488,36.5395,18.32,G05122
600288399,8.9401,34.5366,18.73,G05122
600337041,8.3371,37.7628,18.31,G05084;G05122
2054098974,355.9714,28.3279,18.74,G05122
2054153190,356.6115,29.6716,18.4,G05084;G05122
611739301,5.3179,25.5263,15.4,G05122;G05081;20SECONDTARGET
611745519,6.1108,26.4879,18.5,G05084;G05122
611760112,5.1725,27.1896,18.8,G05122
611820573,3.4332,28.0319,18.87,G05122
611835407,4.9341,30.0299,18.69,G05122
611853501,1.6581,31.0709,17.1,G05084;G05122;G05081;20SECONDTARGET
611449439,9.4603,19.0267,18.34,G05084;G05122
611492165,2.8981,19.622,18.39,G05084;G05122
611492879,3.1565,20.221,18.79,G05122
436545818,13.6946,22.9354,16.09,G05084;G05115;G05122;20SECONDTARGET
600025329,18.2369,26.887,18.74,G05122
611375092,16.15,19.1331,18.93,G05122
611375369,16.4547,19.2528,18.46,G05122
611407620,14.7124,22.4307,18.88,G05122
620262326,26.6555,22.2311,18.67,G05084;G05122
620492515,21.5065,21.6481,18.44,G05084;G05122
2042723513,359.6387,51.1376,18.14,G05084;G05122
2045369501,347.5654,55.4373,18.32,G05122
601959854,2.8662,51.8588,18.74,G05122
603714092,5.9061,54.7494,18.55,G05122
605738213,6.4533,59.3844,17.57,G05122;20SECONDTARGET
2012941678,337.0617,45.5762,17.77,G05122;20SECONDTARGET
2013151648,338.8592,47.7299,18.84,G05122
2042449816,351.7789,48.7411,18.94,G05122
2043872067,343.5517,51.7939,18.29,G05122
2043977118,343.2881,53.1192,18.73,G05122
2040696246,349.9226,39.0364,18.92,G05122
2040855571,354.7024,40.801,18.14,G05084;G05122
2040885744,358.45,40.7445,18.51,G05122
2040987950,350.6134,39.7489,18.26,G05122
2054286954,355.1236,34.4821,18.69,G05122
612013746,0.6435,36.7448,18.88,G05122
600564297,12.7189,40.1829,18.27,G05084;G05122
600943946,8.4639,42.5974,18.87,G05122
600966562,6.7868,44.3639,18.56,G05122
601105752,3.9359,44.1435,18.95,G05122
601396111,12.429,47.0221,18.72,G05122
601600058,5.1749,48.0458,18.48,G05084;G05122
602108689,16.0573,46.8446,17.86,G05122;20SECONDTARGET
603023393,12.2142,50.7115,18.02,G05122
603031388,13.5643,51.0213,18.62,G05122
2014602313,338.5374,53.2213,17.87,G05122;20SECONDTARGET
2016113051,337.6527,56.2774,18.79,G05122
2017757430,325.5902,54.1024,18.61,G05122
2020453406,337.3857,61.6495,18.87,G05122
2022167911,328.6351,63.6984,18.98,G05122
2048742932,355.3163,62.5415,18.8,G05122
2050015018,343.9031,65.1887,18.86,G05122
2050694215,341.3005,68.6898,18.55,G05122
2050739234,344.7938,69.5506,18.17,G05084;G05122
1981172661,310.0895,68.2403,18.63,G05122
1981412815,311.7871,69.59,19.0,G05122
2022897149,322.5791,65.0337,18.85,G05122
2023243102,330.2054,70.9915,18.75,G05122
2023693511,329.7367,74.3233,18.05,G05084;G05122
1883836926,298.5468,57.3168,18.94,G05122
1883916065,296.4286,59.3278,18.24,G05084;G05122
1884281102,299.9043,64.8904,18.58,G05122
1979021751,306.1164,57.8103,17.67,G05084;G05122;20SECONDTARGET
1979546225,313.1472,57.9972,18.98,G05122
1979605906,316.4493,59.0534,18.05,G05084;G05122
1979887074,317.1967,61.7853,18.95,G05122
1980146848,307.7988,60.5034,18.88,G05122
1980962304,301.5813,63.2466,17.12,G05122;20SECONDTARGET
1718049585,282.3595,64.9699,17.67,G05084;G05122;20SECONDTARGET
1884271318,293.3048,65.8447,18.98,G05122
1271353916,254.1296,76.148,18.11,G05122
1401013940,266.8679,69.8129,18.71,G05122
1401049304,269.3756,72.8473,18.86,G05122
1401064338,269.4437,73.9173,18.87,G05122
1551731324,272.3605,74.2258,17.89,G05084;G05122;20SECONDTARGET
1718219922,287.681,73.5777,17.75,G05122;20SECONDTARGET
1718292936,285.5497,77.4698,18.2,G05084;G05122
1884443253,291.837,69.6369,18.78,G05122
1884575064,296.6369,78.1241,17.61,G05122;20SECONDTARGET

# Sector 058 targets observed (2 min: 95, 20 s: 28)
381784939,41.4798,39.6117,16.81,G05084;G05115;G05122;G05081;20SECONDTARGET
642392322,50.7046,41.2021,18.67,G05122
642588965,53.4055,44.4632,17.8,G05122;20SECONDTARGET
642960786,49.898,46.4737,17.58,G05084;G05122;20SECONDTARGET
643833800,42.4319,39.182,18.4,G05084;G05122
643916695,41.2476,42.5035,18.26,G05084;G05122
643962149,42.0313,44.6524,18.59,G05122
621164786,32.181,39.9506,18.83,G05122
621226201,37.7335,38.7053,17.37,G05122;G05081;20SECONDTARGET
621550360,26.7022,40.0207,18.77,G05122
621690867,25.8076,41.0434,18.73,G05122
621730423,23.8282,41.772,18.02,G05122
621907780,32.533,43.1736,18.22,G05122
621974029,30.6403,44.7361,18.91,G05122
306449009,32.9516,21.2632,16.81,G05084;G05115;G05122;G05081;20SECONDTARGET
620350220,34.4694,26.2276,18.64,G05122
620352351,32.8628,26.2293,17.9,G05084;G05122;20SECONDTARGET
620621499,29.796,30.2549,18.68,G05122
620626782,29.6229,31.2776,18.76,G05122
620692856,28.1917,30.175,18.41,G05084;G05122
641019514,50.6863,28.1206,17.49,G05115;G05084;G05122;20SECONDTARGET
641065258,53.1993,30.0994,18.36,G05084;G05122
641099711,49.4671,30.5446,18.36,G05084;G05122
641194926,50.9549,34.96,17.38,G05084;G05122;20SECONDTARGET
641194982,50.8823,35.021,17.38,G05084;G05122;20SECONDTARGET
641293751,45.7009,33.2149,18.38,G05084;G05122
641656008,56.4878,30.2308,18.37,G05084;G05122
641733685,55.4158,32.1002,17.92,G05122;20SECONDTARGET
641930208,52.4176,35.0797,18.19,G05084;G05122
608702542,19.5626,68.1433,17.76,G05084;G05122;20SECONDTARGET
626080463,29.0183,61.2526,17.66,G05084;G05122;20SECONDTARGET
627929830,38.9502,65.6064,18.8,G05122
628332740,29.9597,66.6325,18.56,G05122
628497574,29.0241,67.2461,18.07,G05122
628574562,34.5785,67.0401,18.3,G05122
628742599,29.7531,68.9677,18.56,G05122
628857721,28.8154,71.2782,18.93,G05122
629405436,36.1722,70.501,18.39,G05122
647253646,45.8906,63.5439,18.58,G05122
647439580,45.2362,64.1816,18.71,G05122
602756365,18.6418,56.981,17.88,G05122;20SECONDTARGET
602946825,17.7616,59.6723,18.68,G05122
603714092,5.9061,54.7494,18.55,G05122
605738213,6.4533,59.3844,17.57,G05122;20SECONDTARGET
606830724,4.8989,63.9964,18.59,G05122
602108689,16.0573,46.8446,17.86,G05122;20SECONDTARGET
602318128,18.9597,50.4288,18.86,G05122
603023393,12.2142,50.7115,18.02,G05122
603031388,13.5643,51.0213,18.62,G05122
622242732,28.6436,47.0131,18.0,G05084;G05122;20SECONDTARGET
622853507,20.1351,49.2181,18.48,G05084;G05122
622998822,24.7058,51.4039,17.09,G05084;G05122;20SECONDTARGET
623214555,28.6799,53.5834,18.0,G05084;G05122
623506769,20.7687,52.7321,17.42,G05084;G05122;20SECONDTARGET
622131861,35.3208,48.1306,18.34,G05122
622498015,31.9715,52.0468,18.27,G05084;G05122
625602727,28.1094,58.1011,18.1,G05122
645602215,47.6654,54.762,18.93,G05122
645930368,41.0566,52.4261,18.33,G05084;G05122
646690329,47.3845,61.4389,17.62,G05084;G05122;20SECONDTARGET
2020453406,337.3857,61.6495,18.87,G05122
2048742932,355.3163,62.5415,18.8,G05122
2050015018,343.9031,65.1887,18.86,G05122
2050694215,341.3005,68.6898,18.55,G05122
2050739234,344.7938,69.5506,18.17,G05084;G05122
2051270606,346.6165,73.3723,18.88,G05122
2051505715,349.0136,77.7191,18.8,G05122
2051508689,347.2774,77.6731,18.95,G05122
2051529890,359.4361,78.67,17.47,G05115;G05084;G05122;20SECONDTARGET
609823609,14.6036,81.9529,17.98,G05122;20SECONDTARGET
629630814,28.2618,75.3393,18.09,G05122
629661121,25.4954,75.2047,17.94,G05084;G05122;20SECONDTARGET
1718292936,285.5497,77.4698,18.2,G05084;G05122
1884575064,296.6369,78.1241,17.61,G05122;20SECONDTARGET
1981658603,316.9633,78.5315,17.93,G05084;G05122;20SECONDTARGET
1981722476,308.9936,78.8128,18.09,G05084;G05122
1981834582,319.6499,85.2896,18.98,G05122
2023840109,334.0542,79.149,18.49,G05122
1981172661,310.0895,68.2403,18.63,G05122
1981412815,311.7871,69.59,19.0,G05122
2022167911,328.6351,63.6984,18.98,G05122
2022897149,322.5791,65.0337,18.85,G05122
2023243102,330.2054,70.9915,18.75,G05122
1718049585,282.3595,64.9699,17.67,G05084;G05122;20SECONDTARGET
1718092344,288.4455,67.2775,18.83,G05122
1884271318,293.3048,65.8447,18.98,G05122
1884281102,299.9043,64.8904,18.58,G05122
1884443253,291.837,69.6369,18.78,G05122
1980962304,301.5813,63.2466,17.12,G05122;20SECONDTARGET
1271353916,254.1296,76.148,18.11,G05122
1401013940,266.8679,69.8129,18.71,G05122
1401049304,269.3756,72.8473,18.86,G05122
1401064338,269.4437,73.9173,18.87,G05122
1551731324,272.3605,74.2258,17.89,G05084;G05122;20SECONDTARGET
1718219922,287.681,73.5777,17.75,G05122;20SECONDTARGET

# Sector 059 targets observed (2 min: 93, 20 s: 23)
667136560,77.9402,49.8673,18.71,G05122
667178762,77.4055,50.4415,18.39,G05084;G05122
667210557,76.8677,50.8727,18.23,G05084;G05122
667349605,76.5232,53.8713,18.9,G05122
702304581,82.4595,52.5947,18.7,G05122
642215434,58.004,42.515,18.74,G05122
643586941,54.4087,50.1696,18.86,G05122
663973176,71.95,42.41,18.05,G05084;G05122
664990905,61.133,40.6658,18.49,G05084;G05122
665245449,65.8656,44.8731,17.7,G05088;G05084;G05122;20SECONDTARGET
666110733,69.9695,45.7172,18.49,G05122
156422128,71.3041,36.4343,16.95,G05122;G05081;20SECONDTARGET
663224939,71.3621,38.3944,18.35,G05084;G05122
266348365,87.8945,41.5921,16.45,G05115;G05084;G05081;G05122;20SECONDTARGET
662143355,79.1024,30.6528,18.08,G05122
700043284,80.3587,33.8275,18.83,G05122
700306931,81.4939,38.3324,18.6,G05122
700615169,85.1819,40.6402,17.69,G05084;G05122;20SECONDTARGET
700645051,84.2082,40.4353,17.28,G05122;20SECONDTARGET
700815248,86.6967,41.3131,18.91,G05122
722858018,84.3721,31.895,18.93,G05122
722861255,84.7418,32.2079,17.59,G05084;G05122;20SECONDTARGET
722881236,85.2307,32.0969,17.89,G05122;20SECONDTARGET
723985154,89.1792,38.6098,18.88,G05084;G05122
670629449,71.7468,72.462,18.98,G05122
670657916,63.1495,72.1005,18.44,G05084;G05122
670881867,79.2457,78.0328,18.64,G05122
705131448,95.7182,69.5894,18.85,G05122
705188998,93.1171,72.8438,18.51,G05122
705196330,95.8445,73.1749,18.99,G05122
627929830,38.9502,65.6064,18.8,G05122
628497574,29.0241,67.2461,18.07,G05122
628574562,34.5785,67.0401,18.3,G05122
628742599,29.7531,68.9677,18.56,G05122
628857721,28.8154,71.2782,18.93,G05122
629405436,36.1722,70.501,18.39,G05122
647253646,45.8906,63.5439,18.58,G05122
647439580,45.2362,64.1816,18.71,G05122
648675936,56.6063,70.2637,17.57,G05084;G05122;20SECONDTARGET
670269639,64.2089,66.5287,18.67,G05122
670302449,62.9383,67.1517,18.9,G05122
645749490,56.0175,57.4456,18.85,G05122
645814056,52.106,58.1125,18.13,G05084;G05122
646690329,47.3845,61.4389,17.62,G05084;G05122;20SECONDTARGET
665877931,60.1206,52.9638,18.68,G05122
669213636,61.9755,58.3229,18.8,G05122
669317728,68.4282,58.9321,18.43,G05122
669441807,64.0104,59.7338,18.5,G05084;G05122
669811170,65.18,64.8363,17.09,G05084;G05122;20SECONDTARGET
702555527,82.9609,54.7683,18.04,G05122
702670514,86.6829,58.7183,18.64,G05122
702739045,84.3438,59.8912,17.5,G05084;G05122;20SECONDTARGET
702775493,82.2472,59.9172,18.82,G05122
702819506,85.3731,61.7674,18.63,G05122
704931783,90.3543,61.8299,18.17,G05122
2051505715,349.0136,77.7191,18.8,G05122
2051529890,359.4361,78.67,17.47,G05115;G05084;G05122;20SECONDTARGET
609823609,14.6036,81.9529,17.98,G05122;20SECONDTARGET
629630814,28.2618,75.3393,18.09,G05122
629661121,25.4954,75.2047,17.94,G05084;G05122;20SECONDTARGET
629810537,36.1428,80.0943,18.89,G05122
649485262,42.8372,79.2671,18.51,G05122
609884423,17.501,86.9414,17.47,G05122;20SECONDTARGET
629946020,35.5347,86.0724,18.07,G05084;G05122
629953761,31.1274,87.2259,17.81,G05084;G05122;20SECONDTARGET
671015945,71.9888,83.6279,18.23,G05122
705253357,97.4314,78.4652,18.79,G05122
705307724,99.0647,86.9428,18.93,G05122
743732016,118.9381,82.6918,18.66,G05122
743765197,112.3565,87.7307,18.58,G05122
802780613,128.7023,82.1831,18.86,G05122
1102694587,220.5632,82.461,17.55,G05084;G05122;20SECONDTARGET
1271381784,254.5697,80.0169,18.35,G05122
1551812433,271.145,84.1545,17.72,G05084;G05122;20SECONDTARGET
1884635908,299.3538,87.216,18.95,G05122
1981834582,319.6499,85.2896,18.98,G05122
1884575064,296.6369,78.1241,17.61,G05122;20SECONDTARGET
1981658603,316.9633,78.5315,17.93,G05084;G05122;20SECONDTARGET
1981722476,308.9936,78.8128,18.09,G05084;G05122
2023693511,329.7367,74.3233,18.05,G05084;G05122
2023840109,334.0542,79.149,18.49,G05122
1718049585,282.3595,64.9699,17.67,G05084;G05122;20SECONDTARGET
1718092344,288.4455,67.2775,18.83,G05122
1718219922,287.681,73.5777,17.75,G05122;20SECONDTARGET
1884271318,293.3048,65.8447,18.98,G05122
1884281102,299.9043,64.8904,18.58,G05122
1884443253,291.837,69.6369,18.78,G05122
1981172661,310.0895,68.2403,18.63,G05122
1271353916,254.1296,76.148,18.11,G05122
1401013940,266.8679,69.8129,18.71,G05122
1401049304,269.3756,72.8473,18.86,G05122
1401064338,269.4437,73.9173,18.87,G05122
1551731324,272.3605,74.2258,17.89,G05084;G05122;20SECONDTARGET

# Sector 060 targets observed (2 min: 79, 20 s: 21)
141117787,119.9956,43.5902,15.91,G05115;G05084;G05122;20SECONDTARGET
741678189,116.8024,45.4536,17.64,G05084;G05122;20SECONDTARGET
741720829,118.3382,51.1553,18.06,G05122
801965559,122.9553,42.202,17.86,G05084;G05122;20SECONDTARGET
802055418,121.4014,48.3578,18.69,G05084;G05122
703795831,96.1536,43.4885,18.59,G05122
704207225,97.5724,45.5923,18.51,G05122
704268854,98.0304,48.4545,18.74,G05122
704538814,92.1726,53.0975,17.85,G05084;G05122;20SECONDTARGET
742386218,102.6285,46.8079,18.86,G05122
742457204,102.2815,48.1322,17.82,G05084;G05122;20SECONDTARGET
742609026,106.6042,48.5608,19.0,G05122
742637363,105.4836,49.0416,18.94,G05122
742915034,101.7283,48.9621,17.53,G05084;G05122;20SECONDTARGET
742957755,100.5006,52.3679,18.79,G05122
742394537,100.0634,41.5426,18.02,G05084;G05122
740717800,117.2206,30.4286,18.05,G05084;G05122
741364208,116.3053,37.5908,18.97,G05122
741451769,109.5682,37.5273,17.33,G05084;G05122;G05081;20SECONDTARGET
741520490,111.8529,40.6055,18.32,G05084;G05122
741532201,119.5812,35.7451,18.61,G05122
802564933,124.7513,67.8192,18.48,G05084;G05122
802597377,133.1084,68.0019,18.92,G05122
802682889,139.5138,74.0445,18.24,G05122
841249957,146.418,68.849,17.54,G05084;G05122;20SECONDTARGET
841263874,145.14,70.6406,18.9,G05122
705131448,95.7182,69.5894,18.85,G05122
705188998,93.1171,72.8438,18.51,G05122
705196330,95.8445,73.1749,18.99,G05122
743473414,113.1559,68.4748,18.55,G05122
743558440,112.7963,74.1858,18.74,G05122
743589390,104.2965,73.6957,17.73,G05084;G05122;20SECONDTARGET
743627592,114.3883,75.4858,18.65,G05122
704931783,90.3543,61.8299,18.17,G05122
742859621,106.9704,56.1997,18.23,G05084;G05122
743059207,101.6895,58.0863,18.4,G05084;G05122
743108476,102.5336,60.5597,18.86,G05122
743208242,108.555,61.1833,18.74,G05122
743337675,105.1595,63.6185,18.98,G05122
742795574,113.4824,55.3665,17.8,G05084;G05122;20SECONDTARGET
742879603,113.3041,57.8499,16.91,G05084;G05115;G05122;20SECONDTARGET
743136821,117.5453,55.8714,18.18,G05084;G05122
802318618,128.4999,58.7529,18.41,G05084;G05122
802385224,133.583,60.617,18.54,G05122
802399689,131.1002,61.5526,18.32,G05084;G05122
609884423,17.501,86.9414,17.47,G05122;20SECONDTARGET
629946020,35.5347,86.0724,18.07,G05084;G05122
629953761,31.1274,87.2259,17.81,G05084;G05122;20SECONDTARGET
670881867,79.2457,78.0328,18.64,G05122
671015945,71.9888,83.6279,18.23,G05122
705253357,97.4314,78.4652,18.79,G05122
705307724,99.0647,86.9428,18.93,G05122
743732016,118.9381,82.6918,18.66,G05122
743765197,112.3565,87.7307,18.58,G05122
802746783,120.3443,77.8316,17.59,G05084;G05122;20SECONDTARGET
802780613,128.7023,82.1831,18.86,G05122
841419584,159.5516,82.86,18.31,G05084;G05122
900754766,163.7267,79.271,18.61,G05122
900775424,166.9967,81.3702,18.5,G05122
950844483,181.8012,82.3164,18.55,G05122
1001630465,203.4279,81.3493,18.67,G05122
1102694587,220.5632,82.461,17.55,G05084;G05122;20SECONDTARGET
1271353916,254.1296,76.148,18.11,G05122
1551812433,271.145,84.1545,17.72,G05084;G05122;20SECONDTARGET
1884575064,296.6369,78.1241,17.61,G05122;20SECONDTARGET
1884635908,299.3538,87.216,18.95,G05122
1981658603,316.9633,78.5315,17.93,G05084;G05122;20SECONDTARGET
1981722476,308.9936,78.8128,18.09,G05084;G05122
1981834582,319.6499,85.2896,18.98,G05122
1401049304,269.3756,72.8473,18.86,G05122
1401064338,269.4437,73.9173,18.87,G05122
1551731324,272.3605,74.2258,17.89,G05084;G05122;20SECONDTARGET
1718092344,288.4455,67.2775,18.83,G05122
1718219922,287.681,73.5777,17.75,G05122;20SECONDTARGET
1718292936,285.5497,77.4698,18.2,G05084;G05122
1884443253,291.837,69.6369,18.78,G05122
1401013940,266.8679,69.8129,18.71,G05122
1718049585,282.3595,64.9699,17.67,G05084;G05122;20SECONDTARGET
1883916065,296.4286,59.3278,18.24,G05084;G05122

# Sector 061 targets observed (2 min: 72, 20 s: 20)
754975864,118.7565,-2.267,18.11,G05122
803673212,126.2781,-1.6259,18.85,G05122
836880577,125.8729,-8.9415,18.79,G05122
836455448,135.5203,-10.3486,18.64,G05122
836488018,137.2588,-10.5955,18.91,G05122
836790939,127.0141,-10.2427,18.98,G05122
800074346,138.3581,5.7794,18.41,G05122
800082909,131.7634,3.2091,18.88,G05122
800152213,136.6364,8.1207,18.89,G05122
803645411,130.0908,-0.5797,18.46,G05084;G05122
837197958,137.7041,-2.3894,17.47,G05115;G05084;G05122;20SECONDTARGET
842119483,140.8738,1.3389,18.41,G05084;G05122
471013644,128.827,10.7163,16.57,G05122;20SECONDTARGET
471013666,120.9997,12.4956,16.63,G05122;20SECONDTARGET
471013887,120.1769,6.9284,17.13,G05122;20SECONDTARGET
800255212,128.6176,6.7561,18.73,G05122
800359972,124.5983,9.239,18.51,G05122
800362603,124.1738,9.7178,18.68,G05122
804040432,123.6677,4.4005,18.79,G05122
804062954,127.521,4.3965,18.49,G05084;G05122
804336501,121.6377,11.0138,18.75,G05122
112115538,111.7805,-30.6706,16.65,G05084;G05115;G05122;20SECONDTARGET
775041282,117.6439,-31.5895,17.89,G05084;G05122;20SECONDTARGET
775372627,115.7501,-31.4022,17.93,G05122;20SECONDTARGET
823284820,127.4467,-34.2741,18.43,G05084;G05122
823295004,127.1933,-34.2776,18.44,G05122
823701618,122.5874,-35.5274,17.41,G05084;G05122;20SECONDTARGET
825374596,122.5733,-30.4314,18.88,G05122
827293400,130.3248,-36.005,18.89,G05122
832460149,128.2563,-24.7722,17.93,G05122;20SECONDTARGET
833923226,127.8973,-22.5246,17.58,G05122;20SECONDTARGET
834274860,128.3272,-20.0355,17.7,G05084;G05122;20SECONDTARGET
782987431,119.7775,-18.989,18.78,G05122
783897754,117.2697,-17.2418,18.84,G05122
834873991,121.8355,-19.9122,17.95,G05122;20SECONDTARGET
768837499,116.4194,-44.9427,18.52,G05122
768843649,115.6307,-45.0948,18.58,G05122
819979238,129.3113,-42.6543,18.96,G05122
821582890,122.447,-41.8578,18.34,G05122
822112504,125.8014,-38.4898,17.82,G05122;20SECONDTARGET
771039274,110.1126,-41.6563,18.34,G05122
772607056,113.5783,-36.9584,18.84,G05122
772862798,115.4238,-36.0234,18.9,G05122
766180021,103.4794,-56.4129,17.02,G05084;G05122;G05081;20SECONDTARGET
767031087,102.4798,-54.7092,18.8,G05122
767158947,105.057,-53.4903,18.98,G05122
767723030,107.1024,-46.5899,18.01,G05084;G05122
766896522,111.4453,-52.2449,17.47,G05084;G05122;20SECONDTARGET
806687967,123.5844,-59.169,18.7,G05122
813599593,125.8549,-51.1315,18.16,G05084;G05122
736410535,95.2776,-67.3419,18.53,G05122
736592934,98.2744,-67.0089,18.7,G05122
765238850,109.4448,-67.214,18.57,G05122
765572219,112.007,-62.9151,18.62,G05122
765691203,112.2452,-62.4219,18.35,G05122
765722352,113.2734,-61.2034,18.61,G05122
766027393,102.3014,-61.595,17.01,G05084;G05122;G05081;20SECONDTARGET
805180537,122.8231,-73.0879,18.59,G05122
737056520,94.216,-64.9588,18.77,G05122
737264926,95.1341,-62.593,18.56,G05122
737266925,96.3636,-62.0634,18.3,G05084;G05122
650236602,54.4181,-72.0336,17.84,G05084;G05122;20SECONDTARGET
650417064,49.8798,-63.612,18.19,G05084;G05122
684827308,60.7417,-69.6135,18.47,G05084;G05122
684841815,65.0178,-67.684,17.85,G05084;G05122;20SECONDTARGET
728301418,84.4327,-69.0979,19.0,G05122
724148777,81.4273,-79.6779,18.84,G05122
726293043,87.5717,-70.7598,17.07,G05122;G05081;20SECONDTARGET
735111248,96.8242,-83.6233,18.58,G05122
735252697,95.5265,-74.5372,18.26,G05084;G05122
735599397,97.4252,-71.2717,18.49,G05084;G05122
764468822,113.7672,-79.7364,16.95,G05084;G05115;G05122;20SECONDTARGET

# Sector 062 targets observed (2 min: 89, 20 s: 26)
47143814,145.0493,-10.574,16.16,G05084;G05115;G05122;20SECONDTARGET
