TICID,RA,Dec,Tmag,Keywords
167805287,162.6179,-20.88,9.51,G05112;20SECONDTARGET
167837071,162.8575,-21.5855,10.68,G05112;20SECONDTARGET
167839377,162.997,-21.0526,11.02,G05112;20SECONDTARGET
167882845,163.0569,-21.6093,11.77,G05112;20SECONDTARGET
181805643,165.8569,-16.1711,11.36,G05112;20SECONDTARGET
408438157,161.4918,-23.4094,11.95,G05112;20SECONDTARGET
408438197,161.452,-23.4958,11.6,G05112;20SECONDTARGET
415752014,164.6509,-22.5115,11.49,G05112;20SECONDTARGET
422270504,162.9647,-16.3023,11.54,G05112;20SECONDTARGET
437230427,164.7372,-23.0112,11.06,G05112;20SECONDTARGET
437233862,164.8642,-22.5391,10.76,G05112;20SECONDTARGET
437234694,165.0712,-23.0563,11.65,G05112;20SECONDTARGET
437242431,165.4076,-23.2905,11.48,G05112;20SECONDTARGET
437243044,165.5266,-22.8751,10.36,G05112;20SECONDTARGET
52161289,163.3257,-20.9203,11.53,G05112;20SECONDTARGET
52162749,165.7895,-22.9892,11.86,G05112;20SECONDTARGET
204617672,184.3062,-29.7586,11.51,G05112;20SECONDTARGET
204617930,184.236,-29.0445,11.99,G05112;20SECONDTARGET
204642851,184.355,-29.0953,11.94,G05112;20SECONDTARGET
204647505,184.6082,-29.6677,11.68,G05112;20SECONDTARGET
38626683,180.926,-23.1068,11.23,G05112;20SECONDTARGET
38638144,181.134,-22.7469,11.72,G05112;20SECONDTARGET
398290139,181.6865,-23.1258,11.85,G05112;20SECONDTARGET
398290149,181.7837,-23.1533,11.68,G05112;20SECONDTARGET
402108301,182.5376,-29.0724,11.46,G05112;20SECONDTARGET
422351176,182.1507,-22.7302,11.74,G05112;20SECONDTARGET
99131862,183.3712,-28.9455,11.84,G05112;20SECONDTARGET
99133537,183.4885,-27.002,11.99,G05112;20SECONDTARGET
99177728,183.8195,-27.1509,10.82,G05112;20SECONDTARGET
22443715,186.4616,-21.094,10.9,G05112;20SECONDTARGET
22445517,186.6191,-21.2737,11.55,G05112;20SECONDTARGET
38579391,180.3096,-18.343,10.91,G05112;20SECONDTARGET
38579722,180.3867,-19.4028,8.66,G05112;20SECONDTARGET
38582947,180.4466,-19.0806,11.2,G05112;20SECONDTARGET
38583123,180.4484,-18.6091,11.62,G05112;20SECONDTARGET
38595365,180.6963,-18.9534,11.1,G05112;20SECONDTARGET
38595427,180.6559,-18.7212,11.86,G05112;20SECONDTARGET
38636391,180.9459,-18.7576,10.98,G05112;20SECONDTARGET
428684291,180.1445,-18.6054,11.77,G05112;20SECONDTARGET
5818164,187.3866,-22.1298,10.08,G05112;20SECONDTARGET
5820523,187.4208,-19.3431,10.86,G05112;20SECONDTARGET
5867270,187.5951,-19.4076,11.78,G05112;20SECONDTARGET
98591285,184.9996,-10.6608,11.4,G05112;20SECONDTARGET
143025458,166.9291,-8.2493,11.79,G05112;20SECONDTARGET
143059249,167.9248,-9.8516,11.39,G05112;20SECONDTARGET
143060265,167.9717,-9.7899,11.46,G05112;20SECONDTARGET
143068760,168.0961,-9.6311,10.38,G05112;20SECONDTARGET
173090049,171.7866,-4.9485,11.78,G05112;20SECONDTARGET
173090065,171.7308,-4.8557,9.68,G05112;20SECONDTARGET
173096901,171.8689,-5.0487,9.58,G05112;20SECONDTARGET
173097282,171.992,-4.8575,11.51,G05112;20SECONDTARGET
173104371,172.479,-5.0928,11.6,G05112;20SECONDTARGET
181789997,165.3613,-12.9734,11.56,G05112;20SECONDTARGET
183640010,171.46,-8.2976,11.32,G05112;20SECONDTARGET
185238354,173.9913,-11.6535,11.04,G05112;20SECONDTARGET
185241086,174.2123,-11.8956,11.86,G05112;20SECONDTARGET
185241296,174.2937,-11.2355,11.03,G05112;20SECONDTARGET
185243475,174.4824,-10.9549,11.44,G05112;20SECONDTARGET
185243781,174.6175,-11.7156,11.42,G05112;20SECONDTARGET
185246456,174.6701,-11.8487,11.49,G05112;20SECONDTARGET
270462023,166.33,-13.4927,11.08,G05112;20SECONDTARGET
285930609,171.0564,-8.5276,12.0,G05112;20SECONDTARGET
285930773,171.019,-9.2137,11.25,G05112;20SECONDTARGET
286396427,171.5223,-8.5726,11.55,G05112;20SECONDTARGET
332775203,164.7575,-12.6294,11.21,G05112;20SECONDTARGET
332775438,164.7891,-13.4709,11.43,G05112;20SECONDTARGET
335434321,170.1625,-12.4841,11.79,G05112;20SECONDTARGET
380039040,169.3021,-9.7543,11.89,G05112;20SECONDTARGET
38160558,171.3498,-4.9347,11.46,G05112;20SECONDTARGET
38205717,171.5519,-5.3758,10.95,G05112;20SECONDTARGET
385229458,166.956,-14.3456,11.68,G05112;20SECONDTARGET
385230737,167.0535,-14.3658,11.83,G05112;20SECONDTARGET
396902491,168.898,-9.8473,10.2,G05112;20SECONDTARGET
421152582,169.4723,-12.2142,10.83,G05112;20SECONDTARGET
453449919,169.4668,-11.6959,9.67,G05112;20SECONDTARGET
453452324,169.7647,-11.6438,11.84,G05112;20SECONDTARGET
453466580,169.9555,-6.5693,11.66,G05112;20SECONDTARGET
453467954,170.2125,-11.5399,9.72,G05112;20SECONDTARGET
102834333,155.6631,-43.7989,11.71,G05112;20SECONDTARGET
102839003,155.8178,-43.0643,11.61,G05112;20SECONDTARGET
102840239,155.872,-43.8349,9.36,G05144;G05112;G05129;20SECONDTARGET
103106164,156.3416,-43.6291,11.56,G05112;20SECONDTARGET
103246522,156.5825,-43.8324,11.86,G05112;G05106;20SECONDTARGET
103322195,157.031,-43.5205,11.85,G05112;20SECONDTARGET
103322230,157.0402,-43.505,11.12,G05112;20SECONDTARGET
103412671,157.1026,-44.0044,11.78,G05112;20SECONDTARGET
103461904,157.3714,-44.2442,11.32,G05112;20SECONDTARGET
105651880,156.1381,-39.1563,11.43,G05112;20SECONDTARGET
105707177,156.2516,-39.8653,11.29,G05112;20SECONDTARGET
105712326,156.4524,-38.8724,11.21,G05112;20SECONDTARGET
105763876,156.6628,-39.5249,10.81,G05112;20SECONDTARGET
106201702,158.5474,-39.3423,11.93,G05112;20SECONDTARGET
73721713,155.6935,-39.1046,11.33,G05112;20SECONDTARGET
73763087,155.8069,-39.3097,11.04,G05112;20SECONDTARGET
73763470,155.8522,-38.92,10.85,G05112;20SECONDTARGET
120649629,163.8253,-47.9926,11.36,G05112;20SECONDTARGET
120980137,164.47,-48.4197,10.96,G05112;20SECONDTARGET
120982700,164.6528,-48.6966,10.89,G05112;20SECONDTARGET
162093261,168.2191,-44.7422,11.66,G05112;20SECONDTARGET
71740038,166.5929,-44.8074,10.72,G05112;20SECONDTARGET
23608625,169.5941,-33.1336,11.75,G05112;20SECONDTARGET
23611597,169.6443,-32.483,11.99,G05112;20SECONDTARGET
57064098,169.7837,-33.2818,11.76,G05112;20SECONDTARGET
57304699,171.4074,-34.6842,11.15,G05112;20SECONDTARGET
188245609,163.2015,-29.542,11.27,G05112;20SECONDTARGET
287099921,163.4336,-29.8404,11.88,G05112;20SECONDTARGET
94277752,130.9151,-47.9213,11.1,G05112;20SECONDTARGET
302047241,132.228,-69.1673,9.69,G05112;20SECONDTARGET
302048382,132.2693,-68.89,11.46,G05112;20SECONDTARGET
302049576,132.3131,-68.3683,10.19,G05112;20SECONDTARGET
302138460,132.5175,-69.2823,11.1,G05112;20SECONDTARGET
302212476,132.7399,-69.0699,11.37,G05112;20SECONDTARGET
302280274,133.0468,-68.5102,10.79,G05112;20SECONDTARGET
302440272,133.5883,-68.2952,9.75,G05112;20SECONDTARGET
302449709,133.9158,-68.3438,10.7,G05112;20SECONDTARGET
142106969,99.0479,-74.2489,11.45,G05112;20SECONDTARGET
142144594,99.7084,-73.7385,11.89,G05112;20SECONDTARGET
167012000,95.1681,-68.508,9.78,G05112;20SECONDTARGET
177254154,101.667,-74.0297,11.35,G05112;20SECONDTARGET
177254302,101.6775,-74.3035,11.06,G05112;20SECONDTARGET
300510333,112.2535,-70.239,9.67,G05112;20SECONDTARGET
300556379,112.4608,-69.7301,11.55,G05112;20SECONDTARGET
300559350,112.8067,-69.5169,11.73,G05112;20SECONDTARGET
300600555,113.1188,-69.7131,11.88,G05112;20SECONDTARGET
31386156,88.5976,-68.8445,10.78,G05112;20SECONDTARGET
31508554,89.2756,-70.014,11.27,G05112;20SECONDTARGET
31528780,89.53,-67.8759,11.14,G05112;20SECONDTARGET
31531129,89.672,-69.8146,10.75,G05112;20SECONDTARGET
31532625,89.6596,-71.1296,11.28,G05112;20SECONDTARGET
31533062,89.5138,-71.5769,11.24,G05112;20SECONDTARGET
31533454,89.6995,-71.8607,11.34,G05112;20SECONDTARGET
31601457,89.789,-68.9717,11.85,G05112;20SECONDTARGET
389444166,85.9665,-70.8572,10.31,G05112;20SECONDTARGET
389506413,86.2195,-70.2504,11.9,G05112;20SECONDTARGET
389672526,86.8713,-67.9427,11.9,G05112;20SECONDTARGET
389792790,87.1035,-71.0052,11.45,G05112;20SECONDTARGET
389795430,87.4426,-71.8266,11.97,G05112;20SECONDTARGET
389800935,87.5212,-70.0397,11.76,G05112;20SECONDTARGET
389921108,87.6195,-69.9668,11.59,G05112;20SECONDTARGET
389924116,87.6555,-71.0101,10.74,G05112;20SECONDTARGET
389925522,87.5696,-71.6835,10.98,G05112;20SECONDTARGET
41089555,90.8808,-70.2897,10.15,G05112;20SECONDTARGET
41113252,91.126,-68.1613,10.43,G05112;20SECONDTARGET
41173308,91.4103,-69.582,10.88,G05112;20SECONDTARGET
41173537,91.2973,-69.7994,11.55,G05112;20SECONDTARGET
41226621,91.7581,-70.5291,11.26,G05112;20SECONDTARGET
41229199,91.5097,-68.2464,10.84,G05112;20SECONDTARGET
41256266,92.0073,-69.3666,11.33,G05112;20SECONDTARGET
41529307,93.6703,-68.07,11.89,G05112;G05129;20SECONDTARGET
453079813,113.7567,-70.2414,11.53,G05112;20SECONDTARGET
453080115,113.6494,-69.7975,11.6,G05112;20SECONDTARGET
149932785,89.4669,-65.841,11.57,G05112;20SECONDTARGET
150146541,92.9947,-61.9176,11.68,G05112;20SECONDTARGET
150437065,97.4559,-64.8478,11.31,G05112;20SECONDTARGET
150438314,97.4932,-64.7806,11.37,G05112;20SECONDTARGET
294097115,107.6962,-55.2858,11.82,G05112;20SECONDTARGET
294097454,107.5856,-55.6683,11.55,G05112;20SECONDTARGET
294158866,108.0014,-55.6966,11.82,G05112;20SECONDTARGET
294322210,108.6897,-55.0416,11.31,G05112;20SECONDTARGET
31409615,88.8204,-66.1397,11.47,G05112;20SECONDTARGET
389865537,87.5525,-66.7279,11.78,G05112;20SECONDTARGET
389865710,87.5888,-66.6091,9.82,G05112;20SECONDTARGET
41083578,90.4376,-66.298,10.92,G05112;20SECONDTARGET
41231287,91.618,-66.7686,11.56,G05112;20SECONDTARGET
41461035,93.1931,-66.7909,11.85,G05112;20SECONDTARGET
41592615,94.4501,-67.033,11.37,G05112;20SECONDTARGET
149214866,82.1059,-65.319,11.96,G05112;20SECONDTARGET
149422911,84.4454,-62.275,11.99,G05112;20SECONDTARGET
179441174,80.0575,-66.0734,10.25,G05112;20SECONDTARGET
198076363,63.5696,-59.2212,10.66,G05112;20SECONDTARGET
220411221,70.7121,-59.0326,10.05,G05112;20SECONDTARGET
220411843,70.9546,-58.5804,9.87,G05112;20SECONDTARGET
220411866,70.8151,-58.4933,11.93,G05112;20SECONDTARGET
220414564,71.0871,-58.9717,11.43,G05112;20SECONDTARGET
220415088,71.3407,-59.1986,11.41,G05112;20SECONDTARGET
220415275,71.1969,-58.5997,11.64,G05112;20SECONDTARGET
220419145,71.6322,-56.9009,11.59,G05112;20SECONDTARGET
220421379,71.9306,-59.0206,11.93,G05112;20SECONDTARGET
220421994,72.0966,-58.6879,10.93,G05112;20SECONDTARGET
220422056,72.0362,-58.4641,11.94,G05112;20SECONDTARGET
220422429,72.1965,-57.2185,10.15,G05112;20SECONDTARGET
220423312,72.0927,-54.0754,11.57,G05112;20SECONDTARGET
220424523,72.3346,-57.7432,11.64,G05112;20SECONDTARGET
220455520,74.1314,-53.9428,11.29,G05112;20SECONDTARGET
220455585,74.288,-54.0936,11.04,G05112;20SECONDTARGET
259392764,69.0881,-53.268,10.59,G05112;20SECONDTARGET
259393193,69.366,-53.0391,10.87,G05112;20SECONDTARGET
259444309,69.84,-53.4608,11.04,G05112;20SECONDTARGET
259444498,70.1061,-53.6691,11.9,G05112;20SECONDTARGET
259444581,70.1237,-53.3418,11.66,G05112;20SECONDTARGET
259476772,70.6517,-53.2863,11.94,G05112;20SECONDTARGET
259477022,70.7828,-53.6619,9.79,G05112;20SECONDTARGET
259516682,71.3875,-53.4606,10.51,G05112;20SECONDTARGET
259516854,71.5685,-53.7835,11.95,G05112;20SECONDTARGET
259543311,71.842,-53.7599,11.75,G05112;20SECONDTARGET
259589304,72.4059,-53.88,7.43,G05112;G05144;20SECONDTARGET
259592689,72.9775,-53.8291,10.17,G05112;20SECONDTARGET
276861663,83.1826,-66.0503,11.25,G05112;20SECONDTARGET
309655922,79.1064,-64.9885,11.73,G05112;20SECONDTARGET
309656203,79.0668,-64.6921,11.61,G05112;20SECONDTARGET
350480436,85.9824,-57.6439,11.82,G05112;20SECONDTARGET
350521162,86.2912,-58.0703,10.42,G05112;20SECONDTARGET
350521275,86.3266,-57.8069,11.52,G05112;20SECONDTARGET
350583992,87.1189,-58.0727,10.56,G05112;20SECONDTARGET
364304850,78.2107,-65.5468,11.56,G05112;20SECONDTARGET
373594903,80.9897,-66.3885,9.65,G05112;20SECONDTARGET
373596273,80.925,-65.9136,11.89,G05112;20SECONDTARGET
391744055,82.817,-66.2923,10.65,G05112;20SECONDTARGET
391744286,82.5542,-66.4091,11.99,G05112;20SECONDTARGET
404926864,85.1874,-66.35,11.98,G05112;20SECONDTARGET
40601527,77.5542,-66.0011,11.25,G05112;20SECONDTARGET
55271890,76.5061,-61.5704,11.34,G05112;20SECONDTARGET
55295368,76.6959,-61.3192,9.87,G05112;20SECONDTARGET
55363662,77.0069,-65.0827,11.76,G05112;20SECONDTARGET
55385205,77.5074,-65.4147,10.29,G05112;20SECONDTARGET
55501140,71.849,-61.9802,11.81,G05112;20SECONDTARGET
55523390,72.0792,-61.9824,11.36,G05112;20SECONDTARGET
55556631,72.7402,-62.4617,11.42,G05112;20SECONDTARGET
55556732,72.8923,-62.1804,9.95,G05112;20SECONDTARGET
