# TESS Program G06092

Title: Testing Stellar Gyrochronology Models With Wide Binaries

PI: Buzasi, Derek - Florida Gulf Coast University

Type: SMALL

Summary: Gyrochronology is a method of stellar age determination based on the fact that cool stars spin down as they age. Models can be tested using stars of known age, but open clusters are biased towards young stars at only a few specific ages, while few field stars have accurate ages. We will use wide binaries to test gyro models, leveraging the requirement that models must yield the same age for both components of the binary. A subset of our sample consists of systems in which the binary companion is a white dwarf, providing an additional age constraint. 2-minute cadence will allow us to simultaneously examine flare activity levels as a function of age and rotation.


# Sector 070 targets observed (2 min: 164, 20 s: 8)
348638801,56.0839,24.7959,10.01,G06120;G06092
348638809,56.0581,24.7791,10.13,G06120;G06092
348638810,56.0856,24.7726,10.27,G06092
348638812,56.0914,24.7681,11.86,G06092
385552345,56.4245,24.4312,10.56,G06120;G06092
440681403,56.7784,23.7149,11.37,G06092
5535312,49.3636,20.9371,11.46,G06092
67829849,56.4605,23.8737,12.32,G06092
67829860,56.4541,23.8526,12.66,G06120;G06092
114026906,54.8913,18.3836,7.48,G06200;G06092;20SECONDTARGET
114026933,54.8969,18.3131,10.69,G06092
416742093,54.1305,8.8545,11.5,G06092;G06092
434136638,55.9396,16.6652,8.87,G06092
434136640,55.9701,16.6699,8.27,G06092
445925040,49.3995,10.7082,12.4,G06092
445927331,49.51,10.6906,12.85,G06092
58959895,56.9662,13.6103,11.49,G06092
58959902,56.9489,13.63,12.41,G06092
14331880,60.9135,19.4548,9.13,G06120;G06092
15756558,61.3578,19.4419,10.03,G06120;G06092
17383020,66.0714,18.0027,9.01,G06120;G06092
245826081,67.9376,15.6292,10.31,G06092
245826576,67.9518,14.6599,12.52,G06092
245826577,67.9179,14.6584,11.04,G06092
245829484,67.9694,15.4993,9.73,G06092
245860592,68.4946,15.1635,7.73,G06092
245863716,68.6671,15.2089,10.6,G06092
348663808,61.9795,14.2158,10.73,G06092
348663813,61.9343,14.2225,9.2,G06092
373317576,70.7601,11.0749,11.65,G06092
373367172,70.8829,11.1668,9.2,G06092
408000362,63.272,11.7459,11.54,G06092
435913607,64.9955,15.008,9.8,G06092
436663419,73.0278,16.0305,12.45,G06092;G06092
436665985,73.0683,15.9909,10.37,G06092;G06092
60906440,66.662,14.221,8.72,G06092
125838647,69.2027,27.1312,7.03,G06029;G06200;G06058;G06120;G06092;G06024;20SECONDTARGET
171007381,67.5294,30.5325,8.64,G06092
23078924,60.607,26.1933,10.87,G06092
23078938,60.6391,26.2112,10.91,G06092
23112351,60.908,24.2292,11.43,G06092
