TICID,RA,Dec,Tmag,Keywords
135083535,184.3958,19.0125,15.58,G04091
159184316,189.167,22.1549,16.16,G04091
347346961,191.2748,23.8733,15.55,G04091
376537018,189.1201,25.844,15.92,G04091
376537516,189.348,25.0665,10.82,G04091;20SECONDTARGET
383423097,190.1044,23.0634,15.02,G04091
460815638,190.4657,17.5219,12.05,G04091;20SECONDTARGET
368437692,169.6242,27.2837,15.94,G04091;20SECONDTARGET
371567339,172.122,29.2512,15.4,G04091;20SECONDTARGET
405493195,172.87,28.6278,13.9,G04091
4632676,180.9217,25.5197,15.04,G04091;20SECONDTARGET
87496034,177.2523,22.5179,14.67,G04091;20SECONDTARGET
159507271,168.4174,20.1756,13.84,G04091;20SECONDTARGET
371793311,172.798,19.6112,15.87,G04091
371813244,174.3594,14.1703,13.48,G04091;20SECONDTARGET
3803622,169.5361,18.1397,15.38,G04091
3807867,169.6447,19.8297,13.44,G04091
388770235,171.6544,11.9999,15.82,G04091
388880922,173.948,10.0541,15.56,G04091;20SECONDTARGET
462537424,170.5546,14.4393,15.95,G04046;G04091
471015407,174.314,12.1361,16.43,G04091
903442013,171.0632,14.2295,17.09,G04091;20SECONDTARGET
380641758,178.986,9.8472,8.74,G04123;G04091;G04106;20SECONDTARGET
397436934,180.8307,9.1643,14.35,G04091;20SECONDTARGET
397480036,180.9991,10.994,16.19,G04091
397482304,181.3942,9.0543,15.35,G04091
471015405,181.525,8.162,16.42,G04091;20SECONDTARGET
86277081,182.3194,16.1985,13.5,G04091
87603487,189.9141,12.9604,14.84,G04091;20SECONDTARGET
1001024276,204.1139,42.4863,18.97,G04091
23708714,207.5064,41.1139,11.68,G04091
23709993,207.7198,36.7006,13.69,G04091;20SECONDTARGET
23746841,208.3943,39.0715,14.34,G04091
286916209,203.4969,48.7688,10.17,G04091
316275825,199.6962,44.595,15.11,G04091;20SECONDTARGET
393911299,207.1881,43.6331,11.55,G04091
417119924,199.1379,43.9848,15.03,G04091
458452988,205.0369,47.8643,13.78,G04091;20SECONDTARGET
115908231,189.7709,47.6307,15.82,G04091
141204492,185.472,48.4214,14.91,G04091
150362541,192.5171,55.1008,12.61,G04091
165312944,185.3712,53.0769,13.46,G04116;G04091;20SECONDTARGET
198106374,196.5649,48.8391,13.96,G04091;20SECONDTARGET
354080295,190.1596,51.2666,13.84,G04091;20SECONDTARGET
371833573,194.4551,54.4265,13.72,G04091;20SECONDTARGET
416542110,188.7121,49.789,13.71,G04091
444045357,189.2193,50.2538,14.93,G04091;20SECONDTARGET
105578419,189.3193,38.5949,13.67,G04091
173048248,180.1192,34.0149,15.54,G04091
18919391,181.3024,40.1302,15.85,G04091
21599042,182.2393,37.0494,15.58,G04091
253051713,177.8486,44.2113,14.51,G04091
309591474,178.0169,39.1408,15.26,G04091
359055762,183.2188,33.9006,12.28,G04091
39174351,183.7022,36.647,13.38,G04171;G04091;20SECONDTARGET
39176473,184.3996,37.9736,15.37,G04091
445831245,183.1608,42.6672,14.61,G04091
458424685,177.5274,36.0051,16.03,G04091
99298025,179.0012,34.1235,15.13,G04091
139117042,193.3271,30.1081,16.06,G04091;20SECONDTARGET
156423894,195.674,27.6783,14.43,G04091
165945961,195.1092,35.7554,9.8,G04091
17656164,192.7561,37.1804,15.22,G04091
180608688,198.3875,36.9469,14.77,G04091
180673627,200.8964,36.1332,11.91,G04074;G04091;20SECONDTARGET
310094271,196.2025,28.1247,15.73,G04091;20SECONDTARGET
321423000,201.1349,32.0725,16.91,G04091;20SECONDTARGET
359149230,195.9442,26.7752,15.83,G04091;20SECONDTARGET
371856018,194.8584,27.3563,15.69,G04091
371856049,194.8384,27.5683,14.46,G04091;20SECONDTARGET
445838196,194.0203,28.1221,12.4,G04091
445838277,194.1142,27.7089,15.93,G04091
1001364570,207.5667,60.4104,16.8,G04091
141821250,206.2559,57.5035,14.0,G04091
142398823,199.243,64.2562,14.69,G04091;20SECONDTARGET
157265566,198.2062,54.5458,16.06,G04091;20SECONDTARGET
158437098,202.7351,65.717,14.43,G04091
159167114,200.0662,55.3981,16.09,G04091
166054500,212.7577,60.2365,14.01,G04091;20SECONDTARGET
166065926,213.5874,61.0188,15.08,G04091;20SECONDTARGET
298093039,205.0614,60.8795,11.45,G04091
298109741,205.4993,60.4945,13.18,G04091;20SECONDTARGET
441687165,212.1341,59.6738,13.65,G04091
441693919,213.3024,58.7693,15.91,G04091
459242678,203.9652,62.6859,14.57,G04091;20SECONDTARGET
467178271,203.4085,58.8261,15.0,G04091;20SECONDTARGET
471015289,207.567,60.4107,16.53,G04091;20SECONDTARGET
1001259992,215.0717,51.6512,19.42,G04091
154224704,209.8239,49.9012,15.93,G04091
155899430,220.757,51.7361,16.14,G04091
161001705,221.5042,48.516,15.48,G04091
161025739,222.6223,48.2999,16.22,G04091
161026823,222.8227,52.839,15.54,G04091;20SECONDTARGET
161029611,223.2681,48.9927,13.23,G04091
219064250,208.8162,53.5785,13.13,G04091
284204110,216.7501,58.7835,16.24,G04091;20SECONDTARGET
309807601,224.2405,49.8863,15.02,G04091;20SECONDTARGET
310381613,213.9555,53.6107,17.2,G04091
310394024,214.2615,48.9579,14.52,G04091;20SECONDTARGET
313324275,217.4859,56.5288,15.79,G04091
316317398,223.6111,47.3345,16.47,G04091
332334323,212.5694,52.2037,12.13,G04091;20SECONDTARGET
441713413,217.5891,48.8606,12.81,G04091
158579155,222.8111,58.0934,15.83,G04091
159923054,240.3004,53.1978,14.52,G04091;20SECONDTARGET
165650748,228.9094,56.8955,11.04,G04091
198315553,234.1082,61.5649,15.15,G04091
198537188,237.0488,63.0523,15.15,G04091;20SECONDTARGET
202351745,234.9294,60.9161,13.9,G04091
202352600,236.1587,62.7235,15.07,G04091
202354658,236.2899,59.9181,14.68,G04091;20SECONDTARGET
202444159,228.1093,62.1679,14.12,G04091
202507151,231.3057,60.8895,12.39,G04091;20SECONDTARGET
207440585,244.8608,56.0996,11.92,G04116;G04091;20SECONDTARGET
207440586,244.8621,56.1003,13.76,G04091;20SECONDTARGET
219738251,241.6189,62.5493,15.21,G04091
293687725,221.738,58.1556,15.3,G04091;20SECONDTARGET
