# TESS Program G04209

Title: Transiting Planets In Binaries Containing White Dwarfs

PI: Martin, David - Ohio State University

Type: SMALL

Summary: Exoplanet searches have typically focused on main sequence stars. Direct imaging has probed young planets, but what about the other extreme: planets around highly evolved stars? Only one planet has been found transiting a white dwarf. Searches have avoided binary stars due to fear of a diluted signal. However, secular interactions with a binary companion may be the only way of obtaining a short period planet around a white dwarf. We have carefully constructed a sample of white dwarfs in binaries, for which we have a planet-finding sensitivity on either the white dwarf or its main sequence companion. We predict roughly 5 discoveries in 3500 binaries. Any individual discovery with bear significance, and we will interpret our results in the context of planetary dynamics and stellar evolution.


# Sector 041 targets observed (2 min: 883, 20 s: 45)
1952976314,309.3548,24.8138,19.49,G04209
1953137240,309.3201,26.0802,18.05,G04209
1953143643,309.2716,26.2799,19.09,G04209
1953219133,310.4309,26.5181,18.32,G04209
1953231632,310.7526,26.8085,18.57,G04209
1953261120,311.7226,27.2622,19.64,G04209
1953264064,311.9609,27.4206,18.98,G04209
1954222070,313.4065,29.8641,18.8,G04209
1954454440,309.662,30.0246,20.32,G04209
1954830843,306.7821,28.3028,16.9,G04137;G04209
1955213637,308.9311,30.2748,19.25,G04209
1955255941,307.5879,30.2585,19.66,G04209
1955330096,307.8467,30.7086,19.28,G04209
1955640422,305.6157,30.4616,18.7,G04209
1956259079,308.6919,31.6543,19.82,G04209
1956278359,309.5428,31.6215,18.94,G04209
1956331787,310.9539,31.8696,19.86,G04209
1957250973,314.7003,30.5322,19.08,G04209
1957300803,315.7574,31.4679,19.21,G04209
1963204170,303.0125,30.1426,18.21,G04209
219638023,306.204,22.1787,12.53,G04209
224634596,312.3976,22.3348,9.9,G04209
230520422,307.5872,30.2593,12.57,G04209
230614848,307.847,30.7108,11.1,G04209
236557806,314.7138,30.5408,10.5,G04209
247364716,309.2705,26.2801,12.37,G04209
282462938,311.7211,27.2616,12.18,G04209
283058268,313.1492,28.0117,12.39,G04209
283148974,313.3196,24.289,12.75,G04209
283161511,313.4132,29.8642,10.33,G04209
283685898,315.6935,22.1952,11.94,G04209
286468040,313.0022,20.9764,10.51,G04209
298421541,311.9614,27.4212,11.97,G04209
379823656,306.837,23.7907,6.74,G04209
381195958,308.6931,31.6551,11.4,G04209
396841039,309.3538,24.8129,13.53,G04219;G04209
396844321,309.3231,26.0798,12.64,G04219;G04209
402959206,305.5657,22.7191,15.86,G04137;G04200;G04036;G04209;20SECONDTARGET
402959295,305.5696,22.7443,15.33,G04214;G04209
406369289,308.1963,25.2899,13.28,G04209
406545552,309.0118,20.7403,14.44,G04209
