# TESS Program G04103

Title: A Survey Of Oscillations And Granulation In Evolved Solar-Type Stars

PI: Huber, Daniel - University Of Hawaii (Manoa)

Type: LARGE

Summary: Brightness variations in high-precision light curves encode powerful information about fundamental properties and convective processes in solar-type stars through oscillations and granulation. However, the current sample of stars with detected oscillations and granulation is focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to measure oscillations and granulation in evolved solar-type stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 040 targets observed (2 min: 3486, 20 s: 3)
30526531,289.5397,30.5856,9.86,G04103
30712356,289.7259,34.4745,10.59,G04103
30713312,289.7881,34.1426,9.24,G04103
30715488,289.7158,33.3918,8.96,G04103
336126501,281.1061,37.1553,8.59,G04103
336322208,281.6012,36.4134,9.38,G04103
336322687,281.6459,36.0896,10.11,G04103
336410903,281.9872,35.9842,10.92,G04103
350942120,293.1345,28.4279,9.43,G04103
350992982,283.7319,36.6976,10.6,G04103
351055073,291.8919,37.5568,9.22,G04103
358303982,283.0293,27.2605,7.26,G04103
358606148,283.5091,28.7574,9.8,G04103
358803213,283.869,29.2257,9.0,G04103
359002618,284.013,28.3892,9.09,G04103
377725957,282.884,37.4031,10.4,G04103
383754985,284.1714,30.2648,10.82,G04103
383830887,284.1831,34.3989,11.2,G04103
383831737,284.2031,34.8809,9.21,G04103
383836601,284.1277,28.6023,9.39,G04103
390135797,282.4259,36.8366,9.63,G04103
390136005,282.4318,36.6769,7.75,G04103
390270735,282.7646,37.7987,10.33,G04103
390353880,286.7408,29.2027,8.07,G04103
390414065,287.1793,29.4578,10.32,G04103
392651545,288.769,33.6953,9.99,G04103
392720822,289.0309,31.7213,10.61,G04103
392802553,290.011,33.9593,10.39,G04103
392933281,290.1568,34.8018,9.7,G04103
393105203,290.4587,32.423,10.54,G04103
394250557,289.79,36.5736,9.37,G04103
394324036,290.5777,33.7258,9.83,G04103
394543815,290.8191,32.155,9.69,G04103
394609638,291.2605,35.7448,9.5,G04103
394857518,291.4084,35.2428,9.83,G04103
394864093,291.5461,34.6052,9.29,G04103
394930690,291.6418,31.3314,7.84,G04103
395015510,291.7754,30.4115,9.02,G04103
395019037,291.6718,31.1116,9.09,G04103
395024750,291.6653,32.3456,8.34,G04103
395024870,291.6879,32.3735,9.8,G04103
395028617,291.6639,33.2682,11.28,G04103
395191369,291.9051,33.353,10.47,G04103
399793914,285.1791,38.5736,9.32,G04103
40283690,293.1543,30.4548,10.92,G04103
40292668,293.3133,30.6923,8.45,G04103
403349060,288.3688,28.9714,9.24,G04103
403351071,288.3555,29.6203,9.55,G04103
40367646,293.2713,33.2009,10.32,G04103
40369082,293.2321,33.3419,11.39,G04123;G04106;G04103
403721141,288.9086,29.1214,7.34,G04103
403981887,289.3178,28.7819,7.18,G04103
404356224,289.7354,28.5808,10.46,G04103
40468000,293.4203,33.2589,11.14,G04103
40468289,293.3595,33.2032,6.05,G04103
407255202,287.6537,28.3483,8.21,G04103
407324030,287.7646,28.4695,7.7,G04103
407325312,287.8585,28.1066,10.14,G04103
40781416,293.4892,35.1457,9.41,G04103
40783140,293.5637,35.5747,9.63,G04103
40864340,293.719,34.0695,9.99,G04103
