# TESS Program G04074

Title: Probing Massive Star Interiors With Asteroseismology

PI: Bowman, Dominic - Katholieke Universiteit Leuven

Type: SMALL

Summary: Massive stars are important metal factories in the Universe and progenitors of core-collapse supernovae. However, a major shortcoming of stellar evolution models is their large uncertainties for interior rotation and convective core overshooting. This is because we lack detailed observational constraints on massive star interiors. Fortunately, most massive stars pulsate in gravity and pressure modes, which are extremely sensitive to a star s interior physics. The TESS mission is providing the first long-term and high-precision photometric data set for a large sample of massive stars. In this project, asteroseismology applied to 2-min TESS light curves will allow us to mitigate these large uncertainties currently in stellar evolution theory.


# Sector 040 targets observed (2 min: 189, 20 s: 2)
423553635,294.8965,23.146,10.26,G04074
425130022,290.1212,15.6406,9.06,G04074
68236993,291.432,16.2392,8.97,G04074;G04123
68455555,291.6455,16.922,10.72,G04074
73886335,294.8877,16.6985,9.94,G04074
90171793,290.3662,25.6039,7.46,G04074
90171962,290.4129,25.5748,7.45,G04074
90275290,290.4996,25.1954,9.76,G04074;G04123
90702417,290.712,26.2623,5.33,G04074;G04060
93570999,293.5779,16.265,7.03,G04074
96118504,294.6145,17.2572,7.31,G04074
229966103,289.5486,60.9601,7.21,G04074;G04060
232643392,281.6143,54.277,9.69,G04171;G04074
233539736,281.0182,60.77,10.48,G04074;G04171
233613741,283.4363,60.0179,7.15,G04150;G04074;G04067
236773991,282.5905,54.3009,7.57,G04074
236785664,283.0091,59.6671,6.98,G04150;G04067;G04074
243276811,288.2375,58.1079,7.7,G04074
284563819,291.4448,58.0273,6.72,G04067;G04074;G04060
287193769,292.5378,57.2435,10.06,G04074
377099704,285.1145,56.5252,8.97,G04074
392569763,280.6581,55.5396,5.12,G04074
47583864,278.5997,51.1132,7.96,G04074
48022676,281.6796,52.9879,5.95,G04150;G04067;G04074
198388195,258.0954,57.2234,8.36,G04074
198456386,261.6738,59.7487,9.86,G04074
199687979,253.212,55.9974,8.71,G04074
224607716,255.8917,57.4999,8.18,G04074;G04171
341816971,267.6306,57.4436,8.01,G04074
357047278,274.5905,55.4468,9.82,G04074;G04171;G04234
164319891,264.8661,46.0064,3.99,G04074;G04125
193869952,269.7179,45.4764,6.53,G04074;G04123
288874274,276.3464,38.4409,7.41,G04074;G04123
120317181,284.6941,40.6792,6.35,G04074
120355394,284.8012,39.2173,6.58,G04059;G04074;G04060
120900467,286.571,41.4138,6.64,G04074
121017205,286.83,41.0541,7.17,G04074;G04123;G04171
121605728,288.4395,39.146,4.56,G04074;G04125
138726174,294.7814,40.6268,7.83,G04074
158387021,286.9189,42.306,10.44,G04074;G04091
159644070,291.2451,47.2492,10.77,G04171;G04074;G04206
258202644,283.0302,41.3832,6.32,G04074;G04123
26539506,291.9557,48.1768,8.41,G04074
271346807,294.8605,42.8185,5.47,G04074;G04123;G04171
272077752,295.8436,47.2447,7.96,G04074
351072720,291.9013,41.7015,9.35,G04074
48217508,283.1198,48.4039,10.01,G04074
198279946,250.2761,62.308,6.78,G04074;G04171
229452839,294.401,64.0166,8.13,G04074
229479255,295.6465,64.0302,9.14,G04074
229793060,284.7193,69.5314,6.62,G04074;G04123;G04171;G04060
233121908,273.3593,64.7659,9.52,G04074
258461221,300.0167,68.4369,8.06,G04074
258954765,289.1008,67.1351,8.16,G04074
356822358,275.189,71.338,4.14,G04123;G04074;G04125;G04106
360020620,300.3917,70.4546,8.2,G04074
264075158,309.0028,79.4304,7.06,G04074
376869778,283.3887,75.7875,6.79,G04074
160553438,242.7063,75.8776,5.59,G04074
229670516,251.5915,77.0215,10.14,G04074
233497379,249.3017,76.1638,9.8,G04074
415704244,139.3006,79.2811,8.31,G04074
441630081,122.7064,74.9662,9.87,G04074;G04091;20SECONDTARGET
457096893,118.5847,71.079,7.37,G04074;G04123

# Sector 041 targets observed (2 min: 725, 20 s: 0)
100165164,310.593,35.4561,6.79,G04067;G04150;G04074
104909955,300.5905,35.6749,9.01,G04074
105633100,301.0263,35.3244,11.34,G04074
106132666,301.1134,33.7051,9.84,G04074
10757069,303.6667,41.8408,9.11,G04074
10849114,303.7389,39.965,9.19,G04074
10855755,303.658,38.9248,9.37,G04074
10861742,303.7359,38.1384,8.38,G04074
10983075,303.7291,37.3783,8.96,G04074
10983289,303.6268,37.3538,6.8,G04074
11111668,303.8566,36.6247,9.25,G04074
11113164,303.9089,36.7935,10.34,G04074;G04171;G04206
11113493,303.894,36.8318,9.31,G04074
11117282,303.7887,37.2664,8.72,G04074
11210189,303.7792,39.5074,9.45,G04074
11345334,304.0575,40.9633,7.91,G04067;G04074
11469862,304.0581,38.8716,9.76,G04074
11479883,304.0356,37.5564,9.88,G04067;G04074
11586059,304.1173,37.0564,6.5,G04067;G04074
11695763,304.1308,37.642,7.66,G04074
11695776,304.1243,37.6431,9.45,G04074
11695801,304.1352,37.645,8.63,G04074
11695830,304.1211,37.6478,11.3,G04074
11696039,304.13,37.6673,10.2,G04074
11696159,304.1878,37.6786,10.62,G04074
11696250,304.153,37.6869,9.17,G04074
11698190,304.1217,37.9225,9.02,G04074
11705892,304.1683,38.8993,8.04,G04074
11788343,304.1481,40.8856,7.22,G04074
11793436,304.2814,41.9573,8.5,G04074
11798617,304.2495,40.8437,8.07,G04074
11929884,304.3448,38.2356,6.55,G04074
12017514,304.2453,37.6814,7.34,G04074
12139534,304.3822,36.8688,9.83,G04074
12143153,304.3737,37.3086,8.51,G04074
12149245,304.4466,38.0329,4.26,G04074;G04125
12149905,304.411,38.1129,10.84,G04074
12152451,304.4981,38.426,8.87,G04074
12153830,304.4293,38.6028,8.97,G04074
12249117,304.4319,39.3434,10.56,G04074
12249164,304.4258,39.3495,9.72,G04074
12253230,304.4541,40.0315,8.85,G04074
12259118,304.4989,41.1304,8.96,G04074
12365967,304.5291,40.732,6.04,G04074
12370872,304.5652,39.8849,7.56,G04074
12486276,304.6237,38.8777,8.46,G04074
12489796,304.569,38.6533,9.38,G04074
12496954,304.5379,38.0224,10.55,G04074
12525309,304.6148,36.2542,7.62,G04219;G04074;G04123
12578537,304.8404,40.8879,7.05,G04074;G04171
12579743,304.8863,40.6538,8.65,G04067;G04074
12580749,304.8663,40.4617,9.07,G04074
12583644,304.9022,39.9116,8.18,G04074
12670497,304.8805,39.0573,8.41,G04074
12671002,304.9334,38.982,10.35,G04074
12672166,304.8791,38.8189,9.26,G04074
12673851,304.9471,38.5958,8.36,G04074
12675678,304.9549,38.3427,7.18,G04074
12675729,304.9114,38.3359,8.19,G04074
12683166,304.8842,37.2876,9.56,G04074
12807599,304.9052,36.2171,9.36,G04067;G04074
12915099,305.0372,37.8309,7.93,G04074
12920495,305.0442,38.6255,10.52,G04074
12920729,305.077,38.6582,9.79,G04074
12920741,305.0398,38.659,8.69,G04074
12920834,305.0262,38.6711,10.09,G04074
12921082,305.0891,38.6999,8.97,G04074;G04171
12923201,305.0284,38.9808,9.57,G04074
