# TESS Program G011288
            
Title: Transiting Planets Around White Dwarfs With Tess

PI: Kipping, David - Columbia University

Type: N/A

Summary: Most stars harbor exoplanets and end their lives as white dwarfs, yet we do not yet know if white dwarfs themselves host planets. Metal contaminated white dwarfs, evidence for disintegrating planetesimals and planets around pulsars all imply that planets may indeed be common around such stars. TESS will observe the SDSS fields where most white dwarfs have been detected, and thus is well-placed to conduct a survey for transiting planets. Simulating realistic light curves, we anticipate that TESS could discover several white dwarf planets in the Southern sky during its first year of operations. We propose to observe 3945 white dwarfs brighter than 18th magnitude and analyze the light curves for evidence of transiting planets (including disintegrating examples) from the TESS data set.        


# Sector 001 targets observed (42)
206688085,344.2035,-33.1405,13.37,G011177;G011288
218970233,348.8958,-35.4144,15.68,G011113;G011294;G011288
218985851,350.6103,-31.0737,14.31,G011281;G011288
229071686,354.3548,-35.2275,9.12,G011288
254287117,353.5082,-28.8606,14.59,G011281;G011288
303315921,351.6682,-28.9128,14.98,G011281;G011288
304389446,352.9581,-28.8814,14.22,G011113;G011294;G011281;G011288
47355413,341.1987,-28.0156,16.08,G011281;G011288
12395214,1.6928,-27.3481,14.2,G011281;G011288
151892844,355.6726,-27.8338,15.27,G011177;G011288
246821917,4.6853,-25.6122,15.9,G011113;G011288
246881248,7.8039,-27.2151,14.91,G011281;G011288
246881770,7.7638,-25.5944,15.12,G011177;G011288
254290917,353.9152,-24.2473,15.38,G011281;G011288
326526887,354.3705,-22.6259,14.79,G011113;G011288
33986466,357.8415,-24.1393,15.53,G011113;G011288
34015812,358.0968,-28.0547,14.9,G011294;G011288
34035509,358.2657,-24.5343,14.76,G011113;G011294;G011288
340704781,8.4746,-27.1399,14.46,G011281;G011288
380859297,357.932,-31.3146,15.74,G011288
471013560,8.6578,-27.4723,15.82,G011294;G011288
89529774,357.4903,-23.3983,14.0,G011177;G011288
117626475,0.8518,-16.3517,12.73,G011177;G011288
138707463,359.9847,-16.1543,14.55,G011281;G011288
228508601,358.3015,-17.15,14.25,G011177;G011288
2760102,356.3613,-15.4774,15.51,G011281;G011288
439397980,0.8831,-16.7329,14.65,G011113;G011294;G011288
441055500,359.3893,-14.9025,15.64,G011113;G011294;G011288
471013527,357.5125,-18.9894,15.43,G011294;G011288
471013567,358.8069,-12.5485,15.89,G011294;G011288
471013939,356.301,-10.2674,17.21,G011294;G011288
5796523,348.8776,-14.6686,15.38,G011113;G011288
5796540,348.8879,-14.7907,15.25,G011281;G011288
66419115,354.7204,-18.4376,15.3,G011113;G011294;G011288
9102069,350.7838,-18.2626,14.77,G011177;G011288
9143444,351.3282,-17.8661,15.09,G011113;G011294;G011288
111184069,344.4228,-13.5966,14.13,G011281;G011288
111754737,344.0538,-13.3273,15.82,G011113;G011288
204328293,347.1716,-21.7503,13.92,G011113;G011294;G011288
326453105,339.5749,-25.9664,15.28,G011281;G011288
69813909,337.4106,-20.8371,13.93,G011113;G011294;G011288
69911593,339.0276,-22.815,14.46,G011281;G011288
9072192,350.36,-22.3394,17.42,G011294;G011288
183597477,18.5134,-37.8449,15.16,G011113;G011294;G011288
115692439,7.0565,-38.4256,15.37,G011177;G011281;G011288
148993614,3.4258,-35.4504,15.25,G011281;G011288
183563651,11.5051,-38.4026,15.0,G011281;G011288
251857373,8.7077,-31.4979,15.8,G011113;G011294;G011288
251858916,9.0584,-34.3931,14.45,G011294;G011288
471013561,8.6037,-30.8572,15.83,G011294;G011288
63695388,4.7218,-31.934,14.47,G011281;G011288
63696810,4.8523,-31.998,15.68,G011281;G011288
175295953,347.256,-39.4986,15.35,G011113;G011288
183231662,357.1106,-39.3964,15.63,G011113;G011294;G011288
183820328,358.4016,-36.5053,15.16,G011281;G011288
224276047,355.1526,-37.146,16.32,G011203;G011288
471013556,358.0342,-36.1778,15.81,G011294;G011288

# Sector 003 targets observed (54)
136885105,8.8264,-17.3143,14.89,G011113;G011288
336872595,13.7325,-14.4355,14.63,G011113;G011294;G011288
419013508,16.3424,-13.9863,16.08,G011294;G011288
423662953,8.1272,-17.89,16.66,G011294;G011288
471013654,17.0408,-16.3125,16.6,G011294;G011288
24924378,27.8848,-11.2003,17.12,G011294;G011288
257484757,30.7678,-12.4844,14.54,G011113;G011288
32535758,20.245,-16.3799,15.53,G011113;G011288
404467239,25.7043,-12.2541,15.78,G011281;G011288
439404145,18.2909,-13.6598,16.33,G011294;G011288
248353420,17.6755,-1.1444,14.59,G011113;G011288
388814538,18.4448,0.4746,15.89,G011113;G011294;G011288
471013822,20.6445,0.5071,17.02,G011294;G011288
471013842,17.6146,-10.3358,17.06,G011294;G011288
37747334,4.6293,-9.9461,14.72,G011113;G011288;G011294
3888273,10.9408,-10.0077,14.87,G011113;G011294;G011288
3964964,12.6671,-9.4295,14.87,G011281;G011288
3990629,13.0646,-9.4051,15.54,G011113;G011294;G011288
40047174,6.5099,-10.6322,16.26,G011288;G011294
40047385,6.6369,-11.9141,15.68,G011113;G011288
408015814,13.9491,-8.7523,16.27,G011294;G011288
471013873,2.9509,-9.353,17.11,G011294;G011288
92226759,11.2381,-12.4821,15.15,G011281;G011288
115273655,25.7135,-38.9848,14.29,G011113;G011294;G011288
152318833,29.5062,-36.9392,12.81,G011281;G011288
32354769,25.5836,-35.6738,15.89,G011281;G011288
42073120,25.0458,-39.9906,15.86,G011294;G011288
100907176,31.8562,-36.3471,16.03,G011113;G011294;G011288
122521574,38.5011,-34.4653,15.28,G011281;G011288
146282446,35.9924,-32.6093,15.0,G011177;G011281;G011288
178170316,43.103,-34.0295,15.85,G011113;G011288
65324889,38.8717,-29.645,15.46,G011281;G011288
91529455,37.1129,-32.7105,14.08,G011113;G011288
123370437,31.9206,-30.1829,15.45,G011113;G011288
139483877,35.8727,-26.4889,15.22,G011113;G011294;G011288
139523946,36.1504,-26.2812,16.52,G011294;G011203;G011288
65346941,39.6719,-26.7212,16.26,G011294;G011288
72637474,32.0325,-29.5274,15.86,G011113;G011288
72647442,32.7445,-26.1185,16.18,G011113;G011288
72689806,33.4863,-28.1731,15.7,G011113;G011288;G011294
72763826,35.149,-25.6732,15.79,G011281;G011288
11647020,21.389,-27.8846,15.76,G011177;G011288;G_TMAG_13.040
140494440,21.3429,-33.2527,15.06,G011281;G011288
32307067,24.9285,-34.7109,15.65,G011113;G011288
326096162,15.9322,-26.8648,14.8,G011281;G011288
340707703,17.0864,-35.5782,14.98,G011113;G011294;G011288
471013531,21.7329,-25.515,15.58,G011294;G011288
471013570,23.2879,-27.0956,15.9,G011113;G011288
66398320,12.9071,-30.7155,14.74,G011177;G011281;G011288
67567739,16.3781,-32.6318,15.5,G011294;G011288
67583991,16.7128,-33.342,13.86,G011177;G011281;G011288
67584835,17.1501,-32.6288,15.35,G011113;G011294;G011203;G011288
67598107,17.5776,-34.0071,14.4,G011177;G011288
70502867,22.4838,-30.9201,15.73,G011113;G011294;G011288

# Sector 004 targets observed (39)
425079955,41.4724,-12.7059,14.73,G011113;G011203;G011288
66626624,38.5114,-12.7159,14.24,G011281;G011288
94943641,39.3585,-12.3597,15.36,G011113;G011294;G011288
12549312,52.2809,-11.7054,13.56,G011281;G011288
23192405,47.0432,-11.5632,16.74,G011294;G011288
279048981,49.5556,-1.1199,14.77,G011113;G011294;G011288
301408085,53.1534,-0.827,15.18,G011113;G011294;G011288
38511369,55.8169,-9.257,14.11,G011281;G011288
453828065,53.3353,0.1223,16.19,G011294;G011288
328226384,43.2701,0.2282,17.54,G011294;G011288
328401010,47.3536,0.4232,17.26,G011294;G011288
35861526,41.9437,0.0587,16.94,G011294;G011288
471013815,43.5157,0.9817,17.01,G011294;G011288
471013990,45.8962,0.0393,17.25,G011294;G011288
471014046,41.5112,0.4276,17.31,G011294;G011288
471014381,44.2875,0.7744,17.62,G011294;G011288
471013938,32.2154,0.8922,17.2,G011294;G011288
471014634,32.4675,5.9086,17.77,G011294;G011288
142875987,51.6427,-31.0618,14.45,G011177;G011281;G011288
144522026,50.7673,-29.7585,13.75,G011177;G011288
178170316,43.103,-34.0295,15.85,G011113;G011288
65324889,38.8717,-29.645,15.46,G011281;G011288
88417452,45.9748,-28.8139,15.2,G011281;G011288
91556284,44.0956,-30.1164,14.02,G011177;G011281;G011288
143043648,55.0759,-30.2607,15.91,G011294;G011288
178271277,59.7705,-23.2068,15.48,G011113;G011294;G011203;G011288
423763742,51.5624,-25.3105,14.85,G011281;G011288
89148712,55.9015,-24.663,15.31,G011281;G011288
89187772,57.6617,-23.9288,16.36,G011294;G011288
89203710,57.8458,-25.6819,15.75,G011113;G011288
89204401,57.922,-25.4712,15.26,G011294;G011288
155776755,55.7902,-13.1002,13.04,G011177;G011281;G011288
156215534,56.2451,-16.8784,15.19,G011281;G011288
279433960,58.1953,-17.1807,14.88,G011177;G011281;G011288
92355716,51.771,-19.5401,15.3,G011294;G011288
94945019,51.637,-16.0893,14.7,G011177;G011281;G011288
65346941,39.6719,-26.7212,16.26,G011294;G011288
166833243,58.4633,-35.4598,14.51,G011177;G011281;G011288
369371996,59.5618,-36.1607,13.29,G011177;G011288

# Sector 005 targets observed (10)
425157104,58.4319,-0.0766,14.96,G011113;G011294;G011288
453835308,57.1307,0.771,15.23,G011113;G011294;G011288
457160465,55.625,0.405,17.7,G011294;G011288
283792492,63.743,6.6686,15.53,G011113;G011294;G011288
471013547,55.8098,10.494,15.7,G011294;G011288
471013585,58.3155,9.9427,16.14,G011294;G011288
471013625,56.7178,9.8988,16.42,G011294;G011288
178271277,59.7705,-23.2068,15.48,G011113;G011294;G011203;G011288
279433960,58.1953,-17.1807,14.88,G011177;G011281;G011288
38695560,58.359,-11.1799,16.12,G011113;G011288
