# TESS Program G011060
            
Title: Rotationally-Induced Variability Of Chemically Peculiar (Cp) Stars

PI: Paunzen, Ernst - Masarykova Univerzita

Type: N/A

Summary: The chemically peculiar (CP) stars of the upper main sequence (B0 to F4) allow the testing of current theories on stellar formation and evolution in the presence of a magnetic field, elemental diffusion and meridional circulation. Several subgroups exhibit an inhomogene-ous surface distribution of elements, which leads to spectroscopic and photometric varia-tions with the rotation period. Therefore, the rotation period can be directly measured which is unique among stars of these spectral types. The resulting sample of rotational periods will allow for an analysis of its behaviour among upper-MS stars, which we will correlate with stellar parameters derived from GAIA data. TESS data will also enable us to search for the effects of binarity in the light curves.                              


# Sector 001 targets observed (197)
181233908,13.2872,-74.6515,6.77,G011164;G011048;G011060
260751444,346.2182,-68.8199,5.48,G011155;G011060;G011048;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
260855442,350.0262,-67.3227,8.21,G011060
266905315,1.1426,-73.853,8.71,G011127;G011060
267433369,9.6689,-73.1377,6.77,G011224;G011060
267436524,9.3475,-75.6068,7.84,G011227;G011060
325373452,346.5059,-74.7662,8.62,G011060
327856894,1.1727,-71.437,5.71,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
38847248,8.3485,-71.2663,5.86,G011060
392761279,328.0619,-72.806,8.28,G011227;G011060
392761412,327.9314,-73.1696,8.7,G011127;G011060
182909257,16.3806,-77.5847,8.02,G011127;G011060
183802606,20.7488,-73.5839,9.57,G011127;G011060
229810275,44.7056,-73.7855,9.03,G011060
238190023,55.8527,-74.0086,7.32,G011060
238225995,58.4582,-73.5932,9.01,G011060
24693528,34.6774,-77.2044,9.53,G011127;G011060
262956098,9.8143,-83.0329,8.1,G011127;G011154;G011060
267094416,41.6675,-77.521,8.51,G011060
269792989,67.7909,-78.6328,7.63,G011227;G011060
293439831,48.7966,-80.8882,8.45,G011060
299779198,36.8212,-82.0194,8.72,G011060
304096024,26.9806,-74.0815,9.72,G011127;G011060
33717892,61.3679,-75.531,9.18,G011060
348717688,45.1535,-81.9021,9.12,G011127;G011060
348772511,47.4739,-83.5314,7.25,G011060
358108310,51.1527,-76.7467,6.64,G011224;G011060
393031938,65.2424,-81.5793,5.4,G011155;G011060;G011048;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
394230993,47.8328,-74.4619,9.43,G011060
50379749,32.9706,-74.0874,8.13,G011060
220559249,44.6995,-64.0713,5.06,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
232066526,26.6464,-67.4685,10.73,G011127;G011060
234346165,38.8405,-68.1611,9.07,G011127;G011060
238185398,55.0781,-72.0376,9.14,G011060
262885414,53.604,-65.7641,6.57,G011060
279637399,48.7957,-64.4442,6.2,G011060;G011048
280051467,45.5648,-71.9024,5.66,G011155;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
31780245,50.2616,-68.533,6.75,G011224;G011060
31870361,53.1931,-66.7295,7.16,G011127;G011060
31962715,55.3014,-68.5405,9.19,G011060
32035258,56.3493,-71.6579,6.42,G011127;G011060
179214292,79.5087,-68.3554,9.09,G011230;G011060
220478335,75.8576,-58.1032,9.68,G011060
294747615,70.7666,-70.9309,5.63,G011155;G011073;G011060;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
29781099,65.0003,-68.7007,7.93,G011060
370041241,65.9832,-66.7368,6.69,G011060
38460465,61.2663,-61.4825,8.41,G011060
38586082,64.0877,-60.9484,6.3,G011127;G011060
38586127,64.1214,-61.0837,9.78,G011127;G011060
38602307,64.4179,-63.2544,7.18,G011073;G011060
404927661,85.488,-66.092,8.92,G011060
55526343,72.4981,-63.1649,9.07,G011060
55604441,73.6271,-60.4143,8.4,G011060
140893238,76.539,-73.0373,6.26,G011060
141028164,79.1198,-75.0626,9.46,G011060
141028198,78.963,-75.1031,9.7,G011127;G011060
141095359,79.5769,-74.0623,8.68,G011060
