# TESS Program G06037

Title: TESS Lifts The Veil On The Unconstrained Interiors Of Massive Stars

PI: Bowman, Dominic - Katholieke Universiteit Leuven

Type: SMALL

Summary: Massive stars are important chemical factories in the Universe and progenitors of core-collapse supernovae. However, a major limitation of stellar evolution models is their uncalibrated prescriptions for interior rotation and mixing processes. This is because we lack detailed empirical constraints on massive star interiors. Fortunately, most massive stars pulsate in pressure and gravity modes, which are highly sensitive to a star s interior physics. The TESS mission is providing the first set of long-duration and high-precision light curves for a large sample of massive stars. In this project, asteroseismology applied to 2-min TESS light curves will allow us to mitigate the large rotation and mixing uncertainties in stellar evolution theory.


# Sector 070 targets observed (2 min: 26, 20 s: 0)
239815039,87.2404,31.5324,9.04,G06037
239849332,87.4617,33.4589,10.19,G06037
2513761,80.2258,30.0963,11.12,G06037
2593217,80.1317,32.6039,10.81,G06037
2594287,80.2254,33.086,9.49,G06037
2603937,80.2662,34.2223,9.73,G06037
2676497,80.3407,33.3854,8.87,G06037
2678500,80.2743,32.4302,11.34,G06037
269616441,89.6951,23.2508,8.66,G06037
269758865,89.8574,23.7279,10.43,G06037
2778144,80.5808,33.8001,9.59,G06037
2778177,80.5825,33.7862,9.87,G06037
2778803,80.6221,33.514,8.79,G06037
2778879,80.6431,33.4891,12.04,G06037
2778931,80.5768,33.4725,11.43,G06037
2779013,80.6833,33.4407,10.08,G06037
2779166,80.6541,33.387,12.5,G06037
2779211,80.6653,33.3717,9.63,G06037
2779347,80.6671,33.3193,8.96,G06037
2854318,80.7866,32.5245,10.67,G06037
2855970,80.8035,33.3153,10.6,G06037
2856124,80.7413,33.3687,12.28,G06037
2856176,80.7176,33.3843,11.35,G06037
2856211,80.7238,33.3921,11.91,G06037
2856355,80.6938,33.4196,9.3,G06037
2856436,80.7397,33.4334,12.35,G06037
2856498,80.6865,33.4435,11.14,G06037
2856528,80.7065,33.4479,11.08,G06037
2856912,80.7594,33.527,10.98,G06037
2857009,80.8098,33.5641,10.48,G06037
2941914,82.0255,34.4561,10.66,G06037
2942142,82.0296,34.4239,9.52,G06037
2942298,82.0349,34.3959,9.7,G06037
2944381,81.96,33.6233,9.78,G06037
2945216,82.04,33.3131,10.15,G06037
3030849,82.1423,31.7232,9.84,G06037
3033649,82.1773,32.9441,11.09,G06037
308704616,87.6811,31.926,11.49,G06037
308706765,87.6203,31.0652,8.16,G06037
308805406,87.7233,30.7234,9.21,G06037
3093327,82.1254,34.3358,10.56,G06037
309335864,89.6472,30.2072,9.07,G06073;G06037;G06139
311911369,87.9782,32.2397,8.71,G06037
311917189,88.0452,29.9165,9.23,G06037
311996620,88.1194,34.1037,10.3,G06037
312353807,88.6175,31.1613,10.22,G06037
312563333,88.9027,30.7114,8.29,G06037
3211507,82.2891,32.5597,9.96,G06037
3461758,82.8628,34.2471,11.23,G06037
3462120,82.8596,34.1861,10.89,G06037
3465772,82.8303,32.6143,11.75,G06037
353298304,89.8832,32.8869,8.76,G06037
3544794,82.8588,30.6989,10.63,G06037
367154404,81.3243,29.6149,8.71,G06073;G06037;G06139
437799422,83.39,23.3423,8.43,G06037
62008392,78.9595,29.8316,9.74,G06037
74159006,83.1943,26.7474,8.17,G06037
74386000,83.6629,28.051,7.89,G06073;G06037;G06183;G06139
74387059,83.6526,27.5927,8.63,G06073;G06037;G06139
74636411,84.0112,26.2683,8.14,G06037
74721767,84.1658,27.9117,8.13,G06037
75078662,84.7274,26.3158,8.24,G06073;G06037
75170940,84.7417,28.4601,8.17,G06073;G06037;G06139
75172674,84.8263,29.2152,5.84,G06037
75239191,84.9351,27.7808,8.96,G06037
75424069,85.1352,27.4428,8.43,G06037
75508636,85.4352,29.726,9.39,G06037
75509134,85.4973,29.5226,8.62,G06037;G06139
75592524,85.4033,26.6155,7.93,G06037
75594842,85.4125,25.5135,8.48,G06037
75692141,85.5659,25.7837,9.51,G06037
75773999,85.7108,25.7269,9.38,G06037
75852151,85.9127,25.4395,6.62,G06073;G06037;G06139
76028730,86.1155,27.2299,9.28,G06073;G06037;G06139;G06139
76032944,86.1573,29.0166,7.99,G06037
76211045,86.4355,26.5602,9.48,G06037
76216928,86.337,29.1578,9.39,G06037;G06139
76297288,86.5979,25.5437,8.56,G06037
76543999,87.2235,29.1361,8.05,G06073;G06037;G06183;G06139
76545916,87.1722,28.3246,8.16,G06037
76636576,87.2041,27.3638,7.7,G06037
76641076,87.1193,25.1135,9.5,G06037
77706854,87.9809,27.0328,9.79,G06037
77834479,88.3157,29.6885,10.9,G06037
77966679,88.3796,25.7422,8.05,G06073;G06037;G06183;G06139
78071839,88.4994,26.4225,8.15,G06073;G06037;G06183;G06139
78261043,88.8317,27.9149,9.08,G06037
78431470,88.9178,27.7156,6.81,G06037
