# TESS Program G06032

Title: Ephemeris Refinement For The Esa-Ariel Mission

PI: Edwards, Billy - Sron, Netherlands Institute For Space Research

Type: MINI

Summary: The ESA-Ariel mission will characterise the atmospheres of ~1000 exoplanets. To facilitate this survey, it is critical that the ephemerides of these targets are well-known. We propose to ensure that there is 2-minute data for key currently known exoplanets and TESS Planet Candidates. These data will allow for accurate measurements of the transit mid-time and, therefore, of the planet's period. Hence, we will use the requested data to support the Ariel mission by refining the ephemerides of hundreds of targets.


# Sector 070 targets observed (2 min: 93, 20 s: 29)
34646336,45.2046,27.3196,13.43,G06032
34781378,46.3307,28.1858,12.07,G06032
35022727,48.4355,25.1973,12.22,G06165;G06058;G06032
426448042,40.202,18.8218,13.46,G06032
436843539,40.4512,24.1023,12.43,G06032
436873727,42.5584,25.3335,7.13,G06200;G06191;G06032;G06148;G06144;20SECONDTARGET
21119973,36.1367,24.1016,13.49,G06032
246965431,35.2137,23.5202,12.08,G06032;G06144;20SECONDTARGET
306204904,30.1831,20.023,12.49,G06148;G06032
306263608,30.9054,21.2816,8.57,G06200;G06058;G06032;G06057;20SECONDTARGET
408643099,35.9112,15.4829,13.19,G06032
408743161,36.5818,15.8904,12.57,G06032
258804746,37.7662,8.3814,9.52,G06200;G06058;G06032;20SECONDTARGET
270380593,32.7823,2.4183,10.73,G06165;G06058;G06155;G06032;G06057;20SECONDTARGET
336961891,30.8849,6.8156,11.98,G06124;G06002;G06032;G06131;20SECONDTARGET
337025682,32.2492,8.0571,13.06,G06032
337129672,33.6305,8.0788,10.6,G06032
408824640,39.065,13.5042,12.5,G06032
420049884,36.2765,1.3235,10.66,G06058;G06032
245793479,67.1577,14.5333,12.59,G06120;G06032;20SECONDTARGET
245947683,70.3751,14.8155,10.21,G06032
293612446,76.8673,16.8677,12.04,G06165;G06058;G06032
399868187,74.375,10.4167,10.54,G06032
436637677,72.1649,12.9552,11.46,G06148;G06032
68577662,73.7669,18.6542,9.31,G06165;G06200;G06058;G06148;G06032;20SECONDTARGET
150006846,69.8413,27.288,12.67,G06032
171160885,67.9988,32.8694,12.5,G06148;G06032
17307715,65.4701,21.3531,11.45,G06058;G06032
17385917,66.1422,23.2707,10.66,G06032
18310799,67.4131,22.8825,10.12,G06040;G06036;G06124;G06165;G06058;G06120;G06032;20SECONDTARGET
18373995,71.0227,22.5676,12.36,G06032
284173938,68.629,32.4766,12.88,G06032
284174392,68.5395,32.8069,13.25,G06032
349582831,66.935,33.0862,12.43,G06032
356990855,76.4317,29.7255,11.42,G06032
366311757,75.9524,31.6579,13.21,G06032
56655478,63.8338,27.0622,10.34,G06032
58372253,65.2933,27.1679,11.23,G06032
58472992,65.6535,25.6999,10.58,G06032
58542531,65.9796,27.8223,9.79,G06200;G06058;G06032;G06144;20SECONDTARGET
125735470,56.6603,27.4715,9.09,G06032
14156936,59.3095,22.3783,11.71,G06032
16005254,63.2663,20.9151,13.22,G06032
23113034,60.8383,25.3438,8.35,G06032
25911962,51.4406,23.1887,10.04,G06032
