TICID,RA,Dec,Tmag,Keywords
169285097,356.0915,-34.4501,11.15,G05148;G05097;G05057;20SECONDTARGET
138707823,0.842,-23.6496,13.48,G05148;G05057
5796540,348.8878,-14.7909,15.96,G05148;G05057
80290366,7.9237,-47.4224,12.59,G05148;G05057
80427831,10.7018,-44.2236,13.84,G05148;G05057
251857373,8.7079,-31.4979,16.42,G05084;G05115;G05148;G05081;G05057;20SECONDTARGET
322009509,3.1793,-45.8544,15.25,G05148;G05057;20SECONDTARGET
280098635,47.1435,-73.4548,15.97,G05148;G05057
220476769,75.5506,-56.6186,15.57,G05148;G05057
293165262,66.6217,-59.1027,14.51,G05148;G05057
309658435,79.0441,-60.9603,14.89,G05148;G05057
309791758,80.1841,-61.4973,14.72,G05148;G05057;20SECONDTARGET
55650407,73.8642,-62.9783,15.03,G05084;G05115;G05097;G05148;G05081;G05057;20SECONDTARGET
33834484,63.838,-72.8615,14.11,G05148;G05057;20SECONDTARGET
