TICID,RA,Dec,Tmag,Keywords
200779640,50.5618,-53.755,15.31,G05101;G05084;G05115;G05081;20SECONDTARGET
207200679,47.4514,-56.3966,14.35,G05101;G05084;G05115;G05081;20SECONDTARGET
