TICID,RA,Dec,Tmag,Keywords
434197740,341.544,18.0087,11.79,G05112;20SECONDTARGET
434201816,341.6542,19.5329,11.61,G05112;20SECONDTARGET
434201855,341.7237,19.4513,11.1,G05112;20SECONDTARGET
434206237,341.9048,19.8477,10.27,G05112;20SECONDTARGET
435819618,342.1163,19.01,11.28,G05112;20SECONDTARGET
435820094,342.1951,18.1476,11.36,G05112;20SECONDTARGET
435836804,342.9436,18.4643,11.74,G05112;20SECONDTARGET
44005071,339.5846,23.941,10.87,G05112;20SECONDTARGET
456830971,343.1052,15.9713,11.05,G05112;20SECONDTARGET
456831585,343.0435,17.5564,11.84,G05112;20SECONDTARGET
51638882,336.537,12.7538,11.25,G05112;20SECONDTARGET
51639421,336.6147,12.6455,11.82,G05112;20SECONDTARGET
51660369,336.7906,12.565,11.47,G05112;20SECONDTARGET
51660816,336.9324,12.6328,9.73,G05112;20SECONDTARGET
51701333,337.1265,12.9477,11.56,G05112;20SECONDTARGET
51762577,337.2026,13.9857,11.22,G05112;20SECONDTARGET
51764312,337.3416,14.4513,11.16,G05112;20SECONDTARGET
51767133,337.5509,14.7537,11.72,G05112;20SECONDTARGET
51769081,337.6605,14.3355,11.55,G05112;20SECONDTARGET
51808606,337.7022,13.4666,11.78,G05112;20SECONDTARGET
51836773,338.16,14.0231,11.53,G05112;20SECONDTARGET
51840023,338.2041,14.2874,10.34,G05112;20SECONDTARGET
51840164,338.2715,13.9832,11.29,G05112;20SECONDTARGET
51840339,338.1958,13.5093,11.39,G05112;20SECONDTARGET
60717240,341.7529,15.0445,11.85,G05112;20SECONDTARGET
60780263,342.7095,14.3443,11.42,G05112;20SECONDTARGET
88575675,340.7822,14.9816,11.66,G05112;20SECONDTARGET
88576224,340.7661,13.3552,11.2,G05112;20SECONDTARGET
88576265,340.6696,13.2011,11.14,G05112;20SECONDTARGET
88576285,340.7081,13.1503,10.93,G05112;20SECONDTARGET
88577233,340.7993,13.6959,11.68,G05112;20SECONDTARGET
88601301,341.1884,14.3332,11.56,G05112;20SECONDTARGET
88651234,342.038,14.6184,11.66,G05112;20SECONDTARGET
