# TESS Program G04138

Title: Long-Period Transit Follow-Up Of Kepler M-Dwarfs & Friends

PI: Safron, Emily - Louisiana State University

Type: SMALL

Summary: Planet Hunters (PH) and PH TESS have proven successful at crowd-sourcing visual inspection of Kepler and TESS light curves to detect long-period exoplanet (LPE) candidates that would be invisible to traditional automated searches. With PH classification of all Kepler M-dwarf light curves completed, we seek 2-minute cadence TESS observations of 4110 of these targets and 62 other known LPE candidate hosts in the Kepler field to create light curves to be injected into the PH TESS interface. With a specialized pipeline that includes an injection/recovery study, we will 1) identify new LPE candidates, 2) refine properties of previously reported candidates in the sample, and 3) constrain the occurrence rates of LPEs around M-dwarfs with a unique methodology.


# Sector 040 targets observed (2 min: 800, 20 s: 0)
122785104,291.0638,36.6356,12.97,G04138
137094016,291.1812,38.8289,15.77,G04138
137094613,291.3098,38.5846,15.79,G04138
137094631,291.3124,38.5776,14.22,G04138
137096991,291.2122,37.6172,12.27,G04138
137097085,291.2727,37.5761,14.39,G04138
137097695,291.2401,37.3316,14.9,G04138
137097921,291.1966,37.2476,16.06,G04138
137098150,291.2957,37.1559,14.37,G04138
137098406,291.3066,37.0522,15.08,G04138
137146539,291.3349,36.8064,14.87,G04138
137149378,291.3783,37.8641,14.87,G04138
137149580,291.446,37.9495,14.05,G04138
137149620,291.3891,37.9657,15.07,G04138
137150448,291.4548,38.2961,13.19,G04138
137218735,291.6157,38.6759,14.66,G04138
137219016,291.5155,38.5547,14.2,G04138
137219546,291.5811,38.3454,14.24,G04138
137221138,291.5783,37.75,14.66,G04138
137306744,291.6205,37.2271,14.16,G04138
137307148,291.5398,37.071,14.69,G04138
137313900,291.7154,37.0047,15.38,G04138
137316571,291.6441,37.9527,14.72,G04138
137318277,291.7531,38.569,14.4,G04138
137318753,291.7314,38.7441,13.8,G04138
137347517,291.9775,37.5324,13.18,G04138
137347674,292.0413,37.5965,14.67,G04138
137347796,291.9712,37.6455,14.72,G04138
137402124,291.9503,38.8655,13.29,G04138
137483523,292.2186,38.8702,14.88,G04138
137484235,292.1312,38.6201,16.06,G04138
137484634,292.0754,38.473,13.64,G04138
137485142,292.1084,38.2934,15.04,G04138
137485625,292.0882,38.1186,13.15,G04138
137488350,292.2015,37.1771,14.66,G04138
137488586,292.1032,37.1014,15.7,G04138
137547480,292.2274,37.7259,14.68,G04138
137549103,292.3261,38.2591,15.11,G04138
137550720,292.3188,38.8118,18.19,G04138
137635081,292.4261,38.2728,14.46,G04138
137636672,292.3873,37.7528,15.64,G04138
137637945,292.4407,37.3466,14.59,G04138
137683938,292.5799,37.3762,14.55,G04138;G04242
137683989,292.5845,37.3952,13.33,G04138
137685513,292.6233,37.8794,14.32,G04138
137685690,292.5688,37.9341,15.09,G04138
137686948,292.6586,38.3456,13.37,G04231;G04138
137815543,292.7262,38.4536,15.34,G04138
137816891,292.7281,37.9903,14.61,G04138
137817320,292.7078,37.8444,16.53,G04138
137817550,292.6994,37.7778,13.87,G04138
137818179,292.7245,37.5819,16.2,G04138
