# TESS Program G04209

Title: Transiting Planets In Binaries Containing White Dwarfs

PI: Martin, David - Ohio State University

Type: SMALL

Summary: Exoplanet searches have typically focused on main sequence stars. Direct imaging has probed young planets, but what about the other extreme: planets around highly evolved stars? Only one planet has been found transiting a white dwarf. Searches have avoided binary stars due to fear of a diluted signal. However, secular interactions with a binary companion may be the only way of obtaining a short period planet around a white dwarf. We have carefully constructed a sample of white dwarfs in binaries, for which we have a planet-finding sensitivity on either the white dwarf or its main sequence companion. We predict roughly 5 discoveries in 3500 binaries. Any individual discovery with bear significance, and we will interpret our results in the context of planetary dynamics and stellar evolution.


# Sector 040 targets observed (2 min: 1099, 20 s: 38)
76421205,274.611,36.8284,9.96,G04209
84663312,273.5251,26.8826,13.43,G04209
85339764,276.1532,29.8575,13.44,G04209
135526252,271.6845,18.4642,14.89,G04209
135620024,271.8408,22.0769,11.78,G04209;G04039
150181831,272.1707,15.0622,12.94,G04209
150304069,272.2532,17.2491,12.26,G04209
150399513,272.6312,16.425,10.9,G04209
15048148,279.8391,15.5615,14.49,G04209
1507540199,269.6705,22.7097,19.53,G04209
15230595,279.9098,16.3864,10.71,G04219;G04209
156747238,275.43,14.6764,13.87,G04219;G04209
156747281,275.4127,14.6992,15.62,G04137;G04200;G04036;G04209;20SECONDTARGET
157555417,275.0063,17.6544,11.77,G04214;G04209;G04039
157555421,274.9982,17.6558,17.08,G04209
157667295,275.1934,16.3978,13.26,G04209
158247066,274.404,22.0045,13.1,G04209
1681855007,272.1715,15.0621,20.07,G04209
1681948181,272.6325,16.4272,19.91,G04209
1682059179,272.2349,17.2416,18.16,G04209
1682109182,271.0848,17.9218,20.32,G04209
1682806959,279.8364,15.5592,19.04,G04209
1682906955,277.5057,14.4535,18.96,G04209
1683268616,279.8998,16.3819,17.79,G04209
1683557559,275.1928,16.3967,18.9,G04209
1683720002,276.9997,17.3355,20.48,G04209
1684203343,279.8769,18.3299,19.91,G04209
1684708610,273.2154,18.5679,18.59,G04209
1684868276,271.6837,18.4635,17.44,G04137;G04209;G04177
1684910563,271.8922,19.8922,18.79,G04209
1685051373,272.3558,21.248,17.4,G04209;G04177
1685128257,276.3726,21.3076,19.45,G04209
1685152831,275.1568,21.0509,18.37,G04209
1685210218,276.6485,21.1627,19.8,G04209
1685384562,274.403,22.0091,20.09,G04209
1685610762,278.7415,21.8029,19.24,G04209
1685647182,279.6719,22.7059,18.67,G04209
1685715570,279.483,23.3045,18.78,G04209
1685968024,276.8166,24.4716,18.68,G04209
1685994131,277.3723,24.9747,19.12,G04209
1686211758,270.5597,20.448,19.9,G04209
1686275624,271.8418,22.0753,16.79,G04137;G04209;G04036;20SECONDTARGET
1686359787,272.8643,22.3343,17.59,G04209;G04177
1686408089,272.6773,23.2942,19.8,G04209
1813494162,281.6273,22.0874,18.43,G04209
1813577767,280.0481,21.1334,19.61,G04209
1813592703,280.6313,21.5792,19.95,G04209
1813768287,280.5135,22.8852,19.79,G04209
1813807025,280.3484,23.6314,18.38,G04209
1813842538,280.8576,24.005,19.5,G04209
1814937884,280.8823,25.149,18.91,G04209
230270306,271.8939,19.8917,14.95,G04209
235606013,272.6772,23.2918,12.91,G04209
235608726,272.8656,22.3323,9.51,G04209;G04191
235764945,276.8159,24.4721,11.69,G04209
256113304,272.3552,21.2477,12.61,G04209
256263392,276.3729,21.3067,11.81,G04209
267541409,271.0834,17.9207,14.56,G04209
278189053,279.6703,22.7105,9.33,G04209
311625952,277.0051,17.3352,10.69,G04209
317571662,280.858,24.0062,11.3,G04209
317608627,280.8827,25.1443,9.02,G04209
333057716,275.1567,21.0523,14.6,G04209
342010764,269.6703,22.711,14.8,G04209
342426052,275.9973,20.3798,17.29,G04209
342426087,276.0175,20.3952,14.82,G04209
342574593,276.6468,21.1592,11.49,G04209
345978356,279.8785,18.332,10.37,G04209
346151266,280.0459,21.1415,10.32,G04219;G04209
346369948,280.3631,23.6445,13.81,G04209
346373559,280.5133,22.8861,12.19,G04209
346588045,280.6334,21.5793,11.59,G04209
348053348,281.5853,22.07,11.1,G04209
416189855,273.2158,18.5694,11.74,G04209
423252362,277.3719,24.9754,12.19,G04209
462700447,270.5588,20.447,12.82,G04209
462797947,277.5051,14.4547,15.04,G04209
8084400,278.7406,21.8011,12.82,G04209
8710725,279.4822,23.3048,11.28,G04209
109645221,290.8737,23.976,7.17,G04103;G04209
110422018,291.3783,26.063,13.9,G04209
111114152,291.8268,26.243,13.62,G04209
1710512068,288.3034,24.4212,17.84,G04209
1710528498,289.3122,24.2928,18.8,G04209
1799129392,289.0987,15.6607,16.91,G04137;G04209;G04177
1806447097,287.745,16.4687,18.52,G04209
1808594405,289.6334,19.3587,19.63,G04209
1809554372,284.0711,17.2114,19.64,G04209
1810039517,285.2433,18.6257,19.52,G04209
1810273027,286.1987,19.8128,20.0,G04209
1812663432,286.5569,22.7748,18.78,G04209
1813891982,284.5231,22.7986,19.45,G04209
1814352803,285.0873,24.972,18.56,G04209
1847200020,294.0106,20.031,18.82,G04209
1847795073,294.238,20.9477,17.18,G04209
1851295588,292.6843,20.5451,18.98,G04209
1854489029,295.7983,24.9513,18.14,G04209
1854786208,293.7728,23.9725,19.86,G04209
1856552732,290.514,22.9981,18.69,G04209
1857367117,290.177,24.96,19.49,G04209
1857645990,290.6517,25.6849,19.13,G04209
1858095192,293.2146,25.4607,18.84,G04209
1858529524,291.3796,26.0558,18.06,G04209
1858547354,291.8271,26.2424,17.91,G04209
1859153737,294.691,26.7979,15.73,G04137;G04209;G04036;G04177;20SECONDTARGET
1919825098,291.9358,16.2242,18.22,G04209
1920685932,291.8452,17.2062,17.71,G04209;G04177
1920723847,290.0486,16.7546,20.08,G04209
1920828725,292.714,17.4696,19.08,G04209
1921027496,292.596,18.3898,18.73,G04209
1921215338,290.2334,18.1586,19.83,G04209
198930863,285.0901,24.9688,12.61,G04209
213271064,293.7725,23.9714,11.67,G04209
214808877,294.6919,26.7984,11.74,G04219;G04209
276895402,292.715,17.4701,11.76,G04209
278711651,286.1933,19.8172,12.28,G04219;G04209
284991593,295.7915,24.9516,11.12,G04219;G04209
300988799,290.0486,16.7528,14.83,G04209
303066766,293.2144,25.4598,10.82,G04209
339466864,284.0702,17.2127,10.33,G04209
350791357,284.5246,22.7966,14.86,G04209
351007257,285.2469,18.6299,11.93,G04209
355259310,289.6279,19.3673,12.09,G04209
357437517,290.2261,18.1683,8.34,G04209;G04103
370907864,292.5766,18.395,11.51,G04209
371056173,292.6851,20.5459,13.43,G04209
375029821,294.0063,20.0333,8.92,G04209
375922920,294.2413,20.9504,8.71,G04209
377697900,295.1594,21.621,16.92,G04036;G04137;G04177;G04209;20SECONDTARGET
384334104,286.5544,22.7757,15.15,G04209
385780739,290.51,22.9947,14.66,G04209
396278734,287.7441,16.4673,10.83,G04209
401094399,289.0985,15.6622,11.08,G04209
403251202,288.3058,24.4248,9.39,G04209
404044197,289.3132,24.2938,14.09,G04209
69199037,291.8468,17.2083,8.51,G04209
69730782,291.9357,16.225,10.85,G04209
89844741,290.1756,24.9596,12.19,G04219;G04209
90508396,290.6504,25.6852,12.78,G04209
1551188838,278.4373,50.8337,18.47,G04209
1551367393,277.3538,57.1873,18.14,G04209
1551469599,276.5486,60.2075,18.98,G04209
1551472615,274.735,60.8803,19.75,G04209
1717309475,289.1913,51.3514,18.28,G04209
1717327974,288.5868,51.8237,19.98,G04209
1717397753,286.6876,52.7961,20.36,G04209
1717416044,286.1034,53.7889,19.62,G04209
1717434301,288.5161,53.0238,17.85,G04209
1717474235,287.4001,54.1219,16.91,G04209
1717487546,286.8772,54.4501,19.62,G04209
1717515932,288.0331,56.466,19.54,G04209
1717519017,287.5025,55.7643,19.72,G04209
1717712205,284.4216,53.8555,17.96,G04209
1717725634,281.9266,54.6523,19.21,G04209
1717731452,281.8486,55.0022,19.88,G04209
1717745637,280.8166,55.1746,19.35,G04209
1717746341,280.4053,54.835,20.58,G04209
1717790778,284.6949,57.0333,17.13,G04137;G04209;G04177
1717797165,284.8342,57.5662,19.36,G04209
1717798622,284.6586,57.7881,19.64,G04209
1717832991,280.9588,58.7653,19.98,G04209
1717889078,285.2809,60.6078,19.98,G04209
1717892052,284.6846,60.6617,18.7,G04209
1717892811,283.8337,60.9246,18.6,G04209
1717895599,286.1028,61.1365,18.73,G04209
1717907137,282.3337,60.0751,18.37,G04209
1717910345,281.3935,60.4908,17.56,G04137;G04200;G04209
1717915434,281.2048,60.5042,19.7,G04209
1717916811,280.4559,61.1473,19.45,G04209
1883276705,294.0163,52.6491,19.49,G04209
1883387039,295.961,53.6277,19.25,G04209
1883484937,294.3554,54.2632,19.1,G04209
1883515303,294.117,54.5904,19.09,G04209
1883585572,294.8187,57.0173,19.97,G04209
1883612016,291.2899,53.2389,19.62,G04209
1883640654,290.6808,55.0218,19.12,G04209
1883640760,290.938,54.9351,19.64,G04209
1883647115,292.7858,54.9225,19.76,G04209
1883671357,291.2784,55.8071,20.29,G04209
1883677647,291.3944,56.1703,19.77,G04209
1883719354,291.4098,57.5421,19.05,G04209
1883841558,296.9143,57.3112,18.55,G04209
1883853781,295.8487,57.6543,19.54,G04209
1883869476,295.4922,58.0449,19.16,G04209
1884028055,295.4871,59.0597,18.77,G04209
1884045753,295.4569,60.3492,18.88,G04209
1884046842,295.1894,60.4542,18.25,G04209
229460758,295.1833,60.4589,11.87,G04209
229476142,295.4537,60.3482,13.9,G04209
230378106,285.2819,60.6081,15.6,G04209
230389915,286.1018,61.1375,10.36,G04209
230396780,286.7044,61.1033,16.36,G04137;G04200;G04036;G04209;20SECONDTARGET
232650302,281.8463,54.9975,11.78,G04209
