# TESS Program G04211

Title: Constraining The Low-Mass End Of The Stellar Mass Function With TESS

PI: Marocco, Federico - California Institute Of Technology

Type: SMALL

Summary: We will constrain the functional form of the low-mass end of the stellar mass function using TESS 2-min cadence data for 2666 objects within 20 pc of the Sun, 679 of which are the targets of this proposal. The light curves will be used to search for overlooked stellar and substellar companions through identification and analysis of eclipsing binaries, transiting companions, and composite light curves. By including the 679 objects proposed here to the list of 2-min cadence targets, TESS will provide 2-min cadence data for ~74% of objects within 20 pc of the Sun.


# Sector 040 targets observed (2 min: 57, 20 s: 16)
230073588,244.1813,67.2568,8.43,G04129;G04211;G04006;20SECONDTARGET
311088146,219.5433,64.1422,16.17,G04081;G04211
147681982,189.4133,65.4374,16.64,G04211
154903874,197.1865,85.0397,15.3,G04200;G04137;G04211
950715112,181.7364,70.1305,9.71,G04211;G04006
147939800,167.1243,68.5035,16.62,G04211
287286376,155.7918,63.4629,14.31,G04137;G04200;G04211
147670988,185.7415,64.0331,9.39,G04211;G04178;G04006
224288915,182.8766,57.4026,15.21,G04200;G04137;G04211;20SECONDTARGET

# Sector 042 targets observed (2 min: 92, 20 s: 26)
188580272,343.3257,-14.2677,7.58,G04214;G04059;G04142;G04211;G04098;G04191;20SECONDTARGET
4609881,348.979,-6.4632,13.22,G04214;G04211;G04148
49644110,350.7732,-10.7627,6.97,G04211;G04191
125250745,339.0407,-0.8454,8.23,G04211
2052585167,341.6087,-6.6559,18.75,G04211
250350655,341.2686,-2.657,8.93,G04211
265916259,336.5617,2.9994,12.47,G04211
265916261,336.56,3.003,18.56,G04211
278870306,345.4672,-3.85,6.61,G04211;G04191
278919162,346.8331,-4.259,8.92,G04211;G04188;G04006
293117088,338.692,4.0446,10.43,G04214;G04211;G04039;G04191
310990132,347.032,3.3305,9.12,G04211;G04191;G04006
1021552,329.3039,-9.0582,11.95,G04236;G04214;G04211;G04039
176006315,336.1856,-1.9867,15.82,G04211
240954478,327.8639,-1.4539,13.32,G04214;G04211
241159653,329.2379,-1.8989,11.78,G04033;G04214;G04211;G04148;20SECONDTARGET
24352777,326.8243,-4.7446,11.21,G04033;G04214;G04139;G04211;G04148;G04039;G04191;20SECONDTARGET
248027247,332.4249,-4.6409,8.02,G04142;G04211;G04098;G04191;G04006;20SECONDTARGET
269467912,326.2522,-5.7897,10.53,G04214;G04211
38156908,332.9894,-7.715,10.49,G04211
471012342,334.3262,-8.8052,10.89,G04222;G04212;G04214;G04033;G04211;G04148;20SECONDTARGET
50185152,331.5412,-7.3945,12.68,G04236;G04214;G04211
994011,329.0806,-10.3396,12.05,G04211
12774230,337.2244,-13.4284,13.09,G04214;G04211
2052190951,343.0474,-17.5029,18.22,G04211
402313808,339.6405,-15.2993,8.3,G04033;G04211;20SECONDTARGET
471012766,333.434,-17.6876,10.85,G04139;G04214;G04211;20SECONDTARGET
212954637,8.5122,-0.8741,17.25,G04211
244167275,6.1022,-1.9714,15.05,G04081;G04211
257219223,12.2987,5.3723,11.99,G04200;G04137;G04211;20SECONDTARGET
257393898,12.1003,5.2737,4.9,G04059;G04211;G04191;G04147
40082634,7.1625,-6.6685,9.64,G04214;G04211
40104085,7.8997,-5.8767,10.31,G04033;G04214;G04211;G04148;G04191;20SECONDTARGET
293282576,4.234,5.1202,11.06,G04214;G04211;G04191
318708202,8.7149,5.3847,15.86,G04211
357353518,1.8378,12.5045,15.74,G04200;G04137;G04211
403027164,4.5691,10.2026,8.93,G04211;G04039;G04191;G04006
408516077,8.988,10.4742,12.11,G04033;G04214;G04211;G04148;20SECONDTARGET
52005579,3.959,13.5582,10.18,G04033;G04214;G04211;G04148;G04191;20SECONDTARGET
2053185768,357.9369,6.9693,11.24,G04211
2053193606,354.9892,5.6245,7.46,G04211
267255253,357.3082,2.3954,7.1,G04212;G04211;G04191;20SECONDTARGET
408374905,356.6894,11.4855,15.84,G04211
422526868,352.1961,5.2468,13.11,G04056;G04137;G04200;G04123;G04211;G04106;20SECONDTARGET
422604600,353.5079,0.1738,9.04,G04211;G04006;G04139;20SECONDTARGET
