# TESS Program G04178

Title: Identifying Habitable Zone Planets With TESS

PI: Pepper, Joshua - Lehigh University

Type: SMALL

Summary: While TESS is optimized to discover small planets orbiting nearby, bright stars, its observing strategy is not optimized to detect planets in the Habitable Zone (HZ). We have identified a small set of stars for which the prime mission TESS observations permit the observation of multiple transits of a planet within the star s HZ. We propose 2-minute observations of the subset of those stars that are observable in Cycle 4. These additional observations will permit the detection of smaller planets in the HZ, the detection of planets orbiting further out in the HZ, and improve the ability to follow-up and confirm HZ transit candidates.


# Sector 040 targets observed (2 min: 2544, 20 s: 118)
232636093,281.2146,55.1781,12.48,G04178
232636705,281.2484,56.0978,13.76,G04178
232637257,281.2423,56.8901,10.88,G04178
232640967,281.4007,56.9132,13.68,G04178
232643687,281.6668,54.6514,13.85,G04178
232645112,281.5531,56.8143,13.42,G04178
232646245,281.6921,58.5831,11.8,G04178
232647747,281.9422,58.7551,11.09,G04178;G04191
232649213,281.7476,56.565,14.13,G04178
232649744,281.8035,55.7858,13.17,G04214;G04178
232671983,282.1056,55.7198,11.64,G04178
232674864,282.1747,59.4555,13.43,G04178
232674891,282.2133,59.4147,13.92,G04178
232676321,282.2969,57.1267,12.87,G04178
232677093,282.3221,55.9478,11.3,G04129;G04214;G04178;20SECONDTARGET
232681375,282.4777,57.8088,11.8,G04178
232682362,282.4533,59.4046,12.96,G04178
232682547,282.3736,59.6968,12.78,G04178
233130372,274.2321,61.4839,13.46,G04178
233155572,274.7573,60.5612,11.13,G04178;G04191
233527444,279.9223,60.683,12.7,G04178
233527651,280.0864,60.3353,14.56,G04178
233528503,280.3209,61.0095,10.86,G04178
233533233,280.4811,61.4746,13.54,G04178
233534164,280.7011,59.9384,11.43,G04178
233535391,280.69,62.1799,11.91,G04039;G04178
233540482,281.2231,60.2564,13.21,G04178
233545908,281.5669,61.1729,12.62,G04178
233547261,281.7385,60.8958,13.24,G04178
233573351,282.1282,60.6807,12.74,G04178
233573905,282.1966,61.585,10.38,G04129;G04214;G04178;G04039;G04006;20SECONDTARGET
233580483,282.5938,61.5176,14.31,G04178
233605660,283.0039,61.9971,11.61,G04178
233614230,283.6311,60.5907,12.8,G04178
233614513,283.7244,61.0534,13.22,G04178
233614577,283.6321,61.1634,11.14,G04178
233614943,283.7329,61.8307,12.57,G04178
233628527,284.568,61.9569,12.1,G04214;G04178
233628695,284.6371,62.2757,13.27,G04178
233632813,284.9859,62.1196,12.13,G04178
233633993,284.7678,60.1546,11.87,G04178;G04242;G04039
233692125,275.7605,61.1892,13.37,G04178
233692218,275.6474,60.9793,11.61,G04178
233692706,275.5894,59.9742,12.71,G04178
233719628,276.3046,61.5848,11.97,G04178
233730720,277.2393,61.4794,12.22,G04178
233734559,277.5065,62.0417,10.95,G04178
233735301,277.6911,60.5594,12.38,G04178
233735382,277.6293,60.3984,12.62,G04178
233740704,277.9901,61.8739,13.04,G04214;G04178
233741197,278.0471,60.9439,13.87,G04178
233741643,277.9759,60.158,12.34,G04178
233747343,278.5322,60.7457,11.9,G04178
236775812,282.5911,56.974,12.15,G04178
236778955,282.8901,57.758,10.58,G04171;G04234;G04178
236779626,282.8983,56.7507,10.98,G04178
236779701,282.9569,56.6497,14.61,G04178
236780858,282.964,55.032,14.52,G04178
236783276,283.1708,56.0116,12.98,G04178
236783912,283.0416,56.8688,11.93,G04178
236785450,283.1439,59.3037,12.92,G04178
236816715,283.6568,57.3241,11.6,G04178
236818973,283.6128,54.3484,14.08,G04178
243275256,288.1491,56.0099,12.08,G04178
243277719,288.1592,59.4217,10.03,G04178;G04191
243278225,288.5246,59.7003,12.92,G04178
243285053,288.6471,56.7031,12.47,G04178
243286221,288.5711,58.2069,11.06,G04178
243297689,289.2553,59.4431,12.81,G04178
243298964,289.2209,57.7618,11.66,G04178;G04039
243299453,289.1873,57.0563,12.97,G04178
243313296,289.5136,56.2371,12.42,G04214;G04148;G04178;G04242;G04039
243315463,289.4929,58.9817,11.01,G04129;G04214;G04178;G04006;20SECONDTARGET
243315602,289.4803,59.1927,13.28,G04178
243317456,289.6271,58.0549,10.26,G04178;G04039;G04191
243317719,289.7819,57.7249,12.46,G04178
243334392,289.8636,57.9689,13.43,G04214;G04178
243335025,289.8854,58.8066,12.39,G04178
243336237,290.0357,59.4618,12.63,G04178
243353202,290.2188,57.3061,14.76,G04178
243353804,290.2341,58.1023,11.48,G04178
243354593,290.3982,59.1344,13.45,G04171;G04178
243355917,290.5702,58.9672,11.91,G04178
243366657,290.5444,57.357,12.28,G04178
266523723,296.4561,59.3852,12.44,G04178
26756616,293.0355,52.3288,13.56,G04178
26810311,293.1161,52.3697,12.96,G04178
26879824,293.4113,52.5966,13.44,G04214;G04178
275578118,293.704,59.7951,11.53,G04178
275626821,293.7029,56.9007,11.82,G04178
275692107,286.9701,61.1187,14.51,G04178
27692022,296.0692,53.3035,14.07,G04178
27837873,296.2627,52.7295,12.93,G04214;G04178
284361294,288.1248,55.2024,13.06,G04178
284456027,290.9309,59.5894,8.77,G04178
284459496,290.8191,57.2471,12.6,G04178
284476342,291.0353,55.8726,12.24,G04214;G04234;G04178
284480426,291.3356,59.1241,14.85,G04178
284480690,291.3504,58.8062,11.73,G04178
284557857,291.3505,56.0106,10.22,G04178;G04039;G04191
287132854,295.0421,58.3502,14.44,G04178
287267876,292.8865,58.3552,10.84,G04178;G04039
298664429,277.8189,57.6798,10.33,G04178;G04191
298665865,278.3923,59.4496,13.32,G04178
298665977,278.3215,59.2457,11.74,G04178
298730052,278.424,57.1675,11.52,G04178
298732529,278.4524,54.7443,13.82,G04178
298733784,278.4321,56.911,13.34,G04178
298735541,278.7979,59.7227,13.18,G04178
298781926,278.8211,56.9676,14.09,G04178
298832506,287.83,52.4111,12.29,G04178
298901044,288.2681,53.3777,12.03,G04178
299028261,288.6844,51.7845,13.45,G04178
351287729,296.6972,53.255,13.15,G04178
352175877,291.9859,58.804,14.4,G04240;G04178
352231179,291.9305,57.4659,11.84,G04214;G04178;G04039
352239584,292.2016,59.2621,13.89,G04178
353732913,275.6683,59.1536,14.07,G04178
353735240,276.1983,58.1082,12.53,G04178
353736241,276.2723,57.0576,10.3,G04178;G04039;G04006
353779940,276.3643,56.6831,12.13,G04178
353780525,276.5403,57.8958,11.51,G04178
353781241,276.4809,59.4708,12.88,G04214;G04178
