# TESS Program G011278

Title: An Accurate Empirical Mass-Radius-Composition Relationship For M-Dwarfs

PI: Turner, Oliver - Universite De Geneve

Type: N/A

Summary: M-dwarfs are enticing targets for exoplanet surveys because the planets in the habitable zones of these stars have comparatively short orbits and are much easier to detect and characterize than planets around more massive stars. However, how well we can know these planets is related to how well we know their host stars. There are few well-characterised M-dwarfs that can be used to establish an empirical relation. As such, investigation of planets orbiting M-dwarfs will be frustrated. The low mass eclipsing binary (EBLM) program has measured the masses and, characterised over 200 binaries composed of F/G+M stars in a consistent manner and so stands to improve the situation. However, require a consistent set of lightcurves to measure their radii and establish such a relation.                


# Sector 001 targets observed (21)
237342298,60.2371,-51.1242,11.73,G011278
153741139,66.3822,-46.2188,10.37,G011278;G011211
161577376,75.137,-46.1893,11.28,G011278;G011242
259470701,70.0608,-48.2979,11.03,G011278
219201178,92.7234,-52.8963,10.78,G011278
260128333,92.1331,-59.5409,11.45,G011278
350743714,88.886,-57.2908,9.79,G011278
382188882,81.3531,-55.02,10.62,G011278

# Sector 005 targets observed (32)
38677487,57.7523,-7.0987,10.23,G011278
56128191,70.7574,-6.4308,10.98,G011278
399664959,72.4553,6.1591,12.37,G011278
399729481,73.3164,6.1547,12.4,G011278
432610098,74.3369,14.7251,11.39,G011278
362043085,58.2873,5.6092,10.3,G011278
178352046,61.8234,-23.645,11.07,G011278
146344020,74.3459,-20.9611,11.75,G011278
146522930,76.692,-19.9658,11.16,G011278
169532369,78.0989,-13.6057,11.52,G011278
24522770,80.2479,-6.7046,11.4,G011278
43648757,76.1455,-9.2249,11.29,G011278
9433212,73.5469,-9.4982,11.62,G011278
178242590,59.1578,-18.2375,11.39,G011278
279454212,58.4773,-16.9545,10.07,G011278
38686737,57.8656,-10.6141,12.54,G011278
140212820,84.9683,-30.7658,11.93,G011278
1449640,75.1716,-35.2027,11.88,G011278
167671107,79.6937,-39.0545,9.78,G011278
24397947,81.6629,-34.6164,10.71,G011278
170749770,68.245,-33.4967,10.66,G011278
153741139,66.3822,-46.2188,10.37,G011278;G011211
161577376,75.137,-46.1893,11.28,G011278;G011242
219239945,64.5217,-53.8013,10.92,G011278;G011211
259470701,70.0608,-48.2979,11.03,G011278
165148663,91.5755,-44.0376,11.65,G011278
231972938,95.473,-46.2194,12.03,G011278
255548311,95.486,-50.9256,11.46,G011278
219201178,92.7234,-52.8963,10.78,G011278
255565860,96.3567,-51.991,12.73,G011278
260128333,92.1331,-59.5409,11.45,G011278
350743714,88.886,-57.2908,9.79,G011278

# Sector 006 targets observed (28)
264537668,81.5202,4.8598,11.55,G011278
123573766,89.1216,-19.493,12.01,G011278
124033255,91.7144,-19.8397,12.07,G011278
37115794,90.5271,-26.7903,12.26,G011278
172361463,99.6506,-25.5537,12.23,G011278
172464366,100.1589,-27.5712,11.06,G011278
172742334,101.408,-26.7118,11.7,G011278
173038281,102.275,-27.3494,9.69,G011278
49701947,95.7976,-27.7292,10.94,G011278
322900369,101.2064,-17.4335,8.8,G011278
317330474,87.5079,-15.6002,10.62,G011278
46627823,85.1818,-17.5457,11.0,G011278
53059882,102.6212,-34.6049,10.07,G011278;G011154
96799506,105.1766,-30.7191,11.4,G011278
140212820,84.9683,-30.7658,11.93,G011278
