# TESS Program G011154

Title: Eclipsing Binary Stars: Indispensable Astrophysical Laboratories

PI: Prsa, Andrej - Villanova University

Type: N/A

Summary: Eclipsing binary (EB) science has long held renown for delivering accurate measurements of fundamental parameters: masses, radii, luminosities and temperatures. The field witnessed exponential growth in the Kepler era of ultra-high photometric precision, and the impact of TESS will be no less revolutionary. This multi-faceted proposal encapsulates three goals: (1) extract all known EB light curves from Full Frame Images (FFIs); (2) mine FFIs for as-of-yet unknown calibration-quality EBs, where simulations predict a 10-fold increase in the number of known EBs; and (3) acquire 2-min cadence observations for a prioritized list of targets that maximize scientific yield. The proposal discusses hot topics in the EB field and outlines the effort to provide these deliverables to the community.    


# Sector 001 targets observed (230)
139721086,322.7641,-50.8471,7.93,G011154;G011048;G011250
139841210,325.4564,-50.1693,10.06,G011083;G011154
144192905,327.7439,-46.2837,9.47,G011154
147083089,321.1966,-47.1807,11.56,G011154
147421288,327.1947,-45.8734,8.79,G011154
197762145,326.6824,-55.1939,10.61,G011154
197766143,327.0952,-54.7623,10.86,G011154
197783740,327.3673,-55.6638,9.48,G011154
219308281,316.7731,-54.0814,11.64,G011154
265613590,333.1619,-54.2914,7.21,G011154;G011048
370229731,321.6312,-54.1868,9.79,G011154
381854774,321.7942,-54.3405,10.59,G011154
381857817,322.475,-56.335,10.66,G011154
389726435,329.6574,-45.7433,7.53,G011154
394006752,329.2661,-56.1005,10.84,G011154
79225651,317.8449,-52.3392,6.51,G011154;G011048;G011250
79403459,320.2495,-52.4783,8.51,G011175;G011180;G011083;G011176;G011154
231908995,6.5722,-63.2078,9.45,G011154
234491752,9.3064,-63.8199,9.51,G011154
234505545,12.1799,-61.7285,9.2,G011154
234508705,12.6023,-64.0677,7.41,G011176;G011154;G011250
237885825,20.7975,-63.1947,9.82,G011154
281562429,7.1836,-57.5484,9.26,G011154
281598578,9.1577,-59.5344,10.2,G011154
355653467,0.2157,-65.6468,7.98,G011154
355706675,1.2916,-62.8452,7.58,G011154;G011048;G011250
412063998,0.507,-66.8886,11.67,G011154
412066736,0.5345,-66.8443,11.84,G011154
425934477,4.7115,-63.0891,9.16,G011154
181043970,12.9441,-71.9981,10.37,G011154
229808144,354.217,-69.5401,10.08,G011154
238170857,357.2039,-69.7816,11.55,G011154
238853963,341.7873,-69.3461,9.93,G011154
261541625,348.276,-73.5251,8.69,G011154
261594172,350.6675,-73.0404,9.38,G011154
266923465,1.858,-77.4943,7.4,G011154
267043786,4.3401,-71.9158,9.72,G011154
267323197,7.7808,-74.6133,8.8,G011154
277772718,343.5013,-68.6326,8.95,G011154
317019234,336.1234,-72.837,8.21,G011154
317061205,337.345,-77.7775,8.54,G011154
325205605,355.5716,-69.9068,11.86,G011154
325279192,334.6213,-77.5777,8.53,G011154
402065927,352.6698,-69.893,11.07,G011154
410155126,352.9478,-69.6872,10.71,G011154
410187905,353.4829,-69.1873,11.49,G011154
261656371,20.2188,-80.3167,10.54,G011154
262956098,9.8143,-83.0329,8.1,G011127;G011154;G011060
262958558,11.4622,-78.8213,9.64,G011154
263074592,16.4102,-80.0613,9.26,G011083;G011154;G011048
263078276,17.8042,-79.1772,11.7,G011154
290547036,4.734,-79.9155,10.69,G011154
302968162,62.9623,-79.4675,8.84,G011154
303909865,22.8002,-75.9473,9.19,G011083;G011154
303950490,23.3447,-73.8589,8.41,G011154
304133039,28.1845,-74.7624,9.08,G011154
325469795,354.5338,-81.3551,9.69,G011154
33715938,61.0132,-74.4534,10.26,G011083;G011154
33862174,64.9614,-77.8058,11.74,G011154
348717439,45.0598,-81.0882,7.54,G011154
358457398,60.2452,-77.8974,11.33,G011154
358457685,60.386,-78.741,8.52,G011154
370138769,48.5673,-74.8862,8.32,G011154
394343471,40.0047,-83.3277,8.85,G011154
410354930,55.9601,-84.0008,11.62,G011154
220521199,42.0039,-62.9646,7.61,G011154
238189546,55.9272,-72.609,7.46,G011154
259901124,41.4052,-71.2359,6.21,G011154;G011048
273792220,30.5511,-62.5917,7.45,G011154;G011048;G011250
273826483,33.1585,-65.8468,8.46,G011154
273861931,31.5388,-69.8719,11.62,G011154
273944357,32.638,-68.2829,8.63,G011154
280832953,45.2024,-66.6105,9.09,G011154
31653503,46.3508,-66.6843,10.82,G011154
31655792,46.572,-68.2083,9.04,G011154
31740373,48.4219,-66.4107,8.77,G011154
31742072,48.6748,-71.4862,10.04,G011154
31796120,50.7429,-70.7886,10.0,G011154
31850842,52.1536,-66.9201,10.11,G011154
31925242,53.4006,-69.0161,8.88,G011154
358069227,38.5049,-65.6095,8.86,G011154;G011250
50311982,30.578,-72.37,8.44,G011154
237915523,56.1865,-61.0976,8.95,G011154
237920279,56.8266,-64.3281,8.33,G011154
25064731,59.9243,-66.6278,9.08,G011154
279955276,82.1351,-68.6037,10.53,G011154
32154687,59.5965,-67.5171,8.81,G011154
38586438,64.0894,-62.0133,11.65,G011180;G011154
38763953,67.5634,-62.2133,8.41,G011154
55404385,78.0132,-65.1754,6.62,G011154;G011048
55497281,71.7183,-60.6028,7.19,G011154;G011048;G011250
141093693,79.668,-72.6943,8.23,G011154
141268467,82.514,-76.2487,7.69,G011083;G011154;G011048
141606986,88.7529,-72.693,9.79,G011154
141770299,91.859,-76.9264,9.06,G011154
261105201,82.8275,-79.0084,8.31,G011154;G011048;G011250
261259291,90.0823,-80.5981,8.84,G011154;G011250
31273263,88.1037,-68.1594,10.75,G011154;G011048
167007869,94.8049,-67.5982,8.47,G011154
176958076,101.2177,-66.6157,9.23,G011154
279570232,105.96,-58.4573,10.89,G011154
294273900,108.7113,-59.2679,8.87,G011154
306473635,118.8432,-71.865,8.08,G011154
350028973,114.7699,-62.6646,8.4,G011154
372913684,119.5121,-60.6147,7.65,G011127;G011230;G011154;G011060
41232835,91.9807,-66.3599,10.01,G011154
149473467,85.2703,-61.8579,9.25,G011154
150274071,95.0193,-60.6804,10.39,G011154;G011048
150442264,97.7942,-61.8795,6.29,G011073;G011154
350443417,85.3048,-57.4411,9.0,G011154;G011060
382032570,78.9836,-56.4499,8.3,G011154

# Sector 002 targets observed (249)
149837469,352.0046,-33.9977,11.64,G011154
154844659,346.087,-34.4147,8.59,G011154
155540827,346.9281,-30.2335,8.53,G011154;G011048
218962839,348.0079,-33.3873,8.49,G011154
303050324,351.2998,-27.7234,8.62,G011154
316781805,355.1729,-34.6965,7.71,G011154
332507555,350.6377,-26.482,8.07,G011154
393943031,344.1082,-36.014,10.57,G011154
47510716,343.8864,-28.9903,8.7,G011154
77030554,354.0154,-32.6234,8.16,G011154;G011250
