# TESS Program G011284

Title: A Search For Flickering To Probe Accretion Activity And Binarity In Agb Stars

PI: Sahai, Raghvendra - NASA/Jpl

Type: N/A

Summary: Our X-ray surveys of a small sample of cool AGB stars with FUV excesses reveal X-ray emission in 40% of our sample. The X-ray emission shows the unexpected presence of magnetically-confined and very hot gas (Tx~35-150 MK), and quasi-periodic variations on hour-long timescales, likely associated with an accretion disk around a main-sequence companion. Recent HST UV observations show flickering on ~minute time-scales for our key fuvAGB object, confirming the presence of an accretion disk. We propose a TESS survey to search for such fast variations in TESS's optical band for a statistical sample of AGB stars with UV emission. The resulting database of high-cadence, high-sensitivity light curves will provide an unprecedented window into binary interactions in AGB stars.                        


# Sector 001 targets observed (13)
38396965,60.2242,-62.159,2.35,G011155;G011284;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25

# Sector 005 targets observed (9)
178804201,65.9184,-27.8303,4.74,G011284
30960976,79.8798,-25.1243,4.42,G011284
31474418,83.9489,-25.7385,5.45,G011284
136887637,61.0783,-15.7252,4.33,G011284
34237228,61.4755,-10.2958,4.89,G011284
257637478,63.2801,-36.5451,5.51,G011284
7321572,80.154,-43.5338,4.46,G011284
149988523,90.5391,-60.0968,3.85,G011284
38396965,60.2242,-62.159,2.35,G011155;G011284;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25

# Sector 006 targets observed (7)
269273552,88.7929,7.4071,-1.75,G011155;G011284;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
30960976,79.8798,-25.1243,4.42,G011284
31474418,83.9489,-25.7385,5.45,G011284
37254377,91.4398,-24.1956,3.25,G011284
93371431,86.5583,-23.6442,3.85,G011284
317131657,86.8083,-12.8046,4.62,G011284
7321572,80.154,-43.5338,4.46,G011284

# Sector 007 targets observed (2)
51995257,98.4425,-30.5827,5.26,G011284
149988523,90.5391,-60.0968,3.85,G011284

# Sector 008 targets observed (5)
51619034,129.9324,-9.5871,4.22,G011284
290599175,140.1529,0.1815,3.94,G011284
312153698,140.8731,7.7135,4.63,G011284
149988523,90.5391,-60.0968,3.85,G011284
38396965,60.2242,-62.159,2.35,G011155;G011284;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25

# Sector 009 targets observed (8)
386610785,159.3888,-13.3848,2.68,G011155;G011284;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
167837191,162.9051,-21.2501,4.46,G011284
437247487,169.4462,-22.146,4.09,G011284
5851342,143.9123,-39.9034,4.62,G011284
105801915,156.7916,-37.2131,4.66,G011284
146999446,161.421,-47.4598,3.98,G011284
158747617,165.5578,-41.1143,3.79,G011284
149988523,90.5391,-60.0968,3.85,G011284

# Sector 010 targets observed (8)
32662773,176.5414,-24.8737,5.22,G011284
429165228,177.1876,-26.7498,2.91,G011155;G011284;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25;G_TMAG_2.666
290022685,192.4459,-15.079,4.25,G011284
146999446,161.421,-47.4598,3.98,G011284
158747617,165.5578,-41.1143,3.79,G011284
162484935,169.8382,-45.0933,4.78,G011284
181163751,174.3859,-39.3589,4.5,G011284
149988523,90.5391,-60.0968,3.85,G011284

# Sector 011 targets observed (5)
165898206,204.92,-39.7477,4.0,G011284
441827802,207.258,-28.368,2.22,G011284
454818257,176.8101,-76.618,4.18,G011284
149988523,90.5391,-60.0968,3.85,G011284
38396965,60.2242,-62.159,2.35,G011155;G011284;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25

# Sector 012 targets observed (4)
384196633,245.0863,-78.696,2.27,G011155;G011284;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
454818257,176.8101,-76.618,4.18,G011284
388201470,62.3988,-81.8548,4.89,G011284
149988523,90.5391,-60.0968,3.85,G011284

# Sector 013 targets observed (12)
101354316,300.1671,-49.6087,3.76,G011284
113241255,293.119,-30.8697,4.01,G011284
101431588,301.0136,-51.2125,5.66,G011284
230979227,300.4366,-59.376,1.99,G011155;G011284;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
320003784,292.988,-54.1652,4.17,G011284
320359912,295.8067,-56.2605,4.39,G011284
411983347,291.1066,-63.3616,5.4,G011284
273323613,335.0086,-80.4399,2.04,G011155;G011284;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
384196633,245.0863,-78.696,2.27,G011155;G011284;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
388201470,62.3988,-81.8548,4.89,G011284
50308940,30.4682,-74.4458,4.56,G011284
149988523,90.5391,-60.0968,3.85,G011284
