TICID,RA,Dec,Tmag,Keywords
105575858,153.295,42.4164,12.94,G022198
139414376,153.7736,33.179,11.74,G022232
150229632,155.3043,42.0219,11.01,G022232
155559947,158.3069,40.4256,4.53,G022133;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
157835109,149.8275,43.8392,11.32,G022238;G022056
157835110,149.8364,43.8392,11.56,G022238;G022056
157840032,150.1789,42.1141,12.29,G022119
159991258,158.9205,34.5714,11.98,G022198
159991575,159.0163,35.1241,12.34,G022198
160332823,155.7718,35.2176,6.92,G022223
160333047,155.7763,33.9081,5.77,G022133;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
160333065,155.8285,33.7879,11.7,G022232
160333746,156.0254,30.1952,10.34,G022171
160333747,156.0092,30.2041,8.64,G022171
160334035,155.9451,31.9239,11.82,G022232
160345149,156.0358,33.7185,4.49,G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
160346076,156.1748,32.5323,10.21,G022232;G022121
160347291,156.2331,34.5416,8.68,G022103
16163196,152.6712,39.9106,8.77,G022171;G022238
16163202,152.6658,39.888,10.09,G022171;G022238
16163293,152.7057,39.3719,8.45,G022161
16163502,152.7141,38.2527,10.96,G022232
16163548,152.7606,38.0326,16.5,G022077;G022028
16164136,152.8051,37.0666,13.11,G022198
16164191,152.8031,37.4017,4.76,G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
16182444,153.0093,40.184,8.58,G022103
16183508,153.1282,37.9322,10.89,G022121
16184089,153.2069,41.3864,16.52,G022077;G022028
16220023,153.3786,40.3791,13.79,G022198
16220533,153.3021,37.3161,10.93,G022121
16222664,153.5818,37.4776,12.36,G022198
16246367,153.7145,36.0515,9.61,G022103
16247017,153.777,39.5178,8.88,G022171
16247025,153.7999,39.5384,9.03,G022171;G022198
16247227,153.7807,40.5847,10.94,G022121
16247270,153.7326,40.8706,9.32,G022198
16247274,153.8052,40.9095,11.21,G022198
16850617,158.718,39.1834,12.47,G022198
16850687,158.6608,39.6412,16.53,G022144
16876165,158.8185,40.3538,11.85,G022057
16876441,158.8267,38.5268,10.37,G022232
17202920,145.8781,36.8143,10.8,G022121
17237186,146.9127,37.1701,14.21,G022198
17239094,147.1524,36.7998,11.87,G022232
17258185,147.3412,38.5411,11.0,G022232
17258309,147.3516,37.7524,11.47,G022232
17259825,160.4187,40.2088,10.32,G022121
172952988,150.0803,34.8957,10.68,G022119
172954294,150.2493,31.9213,4.77,G022092;G022203;G022145;G022133;G022032;G022103;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
172954369,150.1779,32.3057,10.06,G022198
17299996,160.3976,37.6089,10.21,G022252;G022076;G022198
173002290,150.5311,33.85,16.98,G022116
173004464,150.7572,34.5544,11.87,G022198
173005180,150.9822,33.064,16.78,G022077
17302011,160.6058,36.5194,8.21,G022103
17329110,161.3393,38.5126,7.57,G022198
21450456,148.7483,40.3868,9.86,G022198
21499327,148.7652,36.0635,11.7,G022253
21499566,148.9892,36.9761,12.24,G022198
21499578,148.9316,37.0191,11.59,G022232
21499592,148.9275,37.1284,11.97,G022232
21499609,148.9399,37.1949,8.44,G022062
21499819,149.021,38.433,11.99,G022232
21501808,149.217,37.5464,10.14,G022121
21509804,149.4202,41.0555,4.66,G022133;G022103;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
21511215,149.5346,38.9362,7.79,G022103
21534595,149.7098,39.8736,12.73,G022198
233638109,156.3803,32.4092,11.42,G022232
241253994,157.9642,32.3796,5.79,G022063;G022133;G022223;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
241258109,158.048,34.982,8.47,G022103
241259236,158.0127,32.6693,14.67,G022069
241259240,158.0238,32.6679,16.16,G022077;G022028
241259468,158.0477,32.2371,10.0,G022121
241261323,158.2527,33.6677,10.92,G022232;G022121
241261581,158.1779,35.1609,13.65,G022069
241261831,158.3786,34.9887,5.54,G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
241265501,158.743,34.2121,9.45,G022103
252963282,151.4614,35.1369,12.92,G022198
252963435,151.4699,34.2008,7.68,G022103
289714634,145.5402,33.7684,10.51,G022232
29189468,151.4531,42.8006,16.41,G022077;G022028
29190925,151.5446,42.9569,10.81,G022121
29235145,152.2284,43.0212,10.27,G022121
302634082,147.8692,38.0836,12.59,G022198
302652171,147.9435,39.6224,7.7,G022161
302652340,147.8981,40.7254,13.13,G022109;G022148;G022198
302653241,152.0657,31.6036,5.8,G022103
331945698,151.7654,35.4487,13.35,G022164;G022198
349853415,156.9248,32.5039,9.99,G022238
353932214,157.5267,38.9251,5.72,G022133;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
353932455,157.5185,40.4698,6.41,G022103
353932786,157.6292,41.2499,10.42,G022198
353968699,157.878,39.3097,9.18,G022119;G022103
356471974,157.3058,32.1991,11.99,G022198
368413809,157.1691,32.2396,10.54,G022198
368414336,157.53,30.8479,8.92,G022103
368434389,157.5717,33.5727,11.41,G022232;G022205
368434503,157.5804,34.3471,12.69,G022158
368434662,157.5645,35.4124,11.47,G022061
368436417,159.6355,35.4985,10.14,G022145;G022198
372730111,152.34,37.8756,9.92,G022232
372730291,152.3874,38.9384,9.98,G022238
39076251,151.1282,39.7871,14.1,G022198
39076533,151.0553,37.9456,10.46,G022171
39076535,151.0325,37.9334,10.17,G022171
39077764,151.207,41.5444,11.95,G022232
39084331,151.4539,37.9835,13.98,G022198
39084496,151.4717,39.0339,9.64,G022103
39084798,151.5623,40.925,7.76,G022103
