# TESS Program G011113

Title: White Dwarf Variability In The Ecliptic South

PI: Hermes, JJ - University Of North Carolina

Type: Small

Summary: We propose observations with 2-min cadence of 815 known and high-probability white dwarfs in Cycle 1 of the TESS mission. Our primary objective is to search these white dwarfs for transits of remnant planetary systems; transits of Earth-sized white dwarfs are likely to be very deep but also very short, just a few minutes, requiring high-speed observations. Our proposed photometry will also enable asteroseismology of dozens of known and high-likelihood pulsating white dwarfs, continuing the space-based revolution into the interiors of stellar remnants. From both asteroseismology and spot modulation of magnetic white dwarfs we will significant expand the number of white dwarfs with measured rotation rates, putting strong constraints on the endpoints of angular momentum in stars.             


# Sector 001 targets observed (109)
403289096,332.8405,-62.2888,15.19,G011113
406276086,325.5932,-64.1623,13.73,G011113
201255204,1.4124,-56.7448,14.29,G011113
281541729,6.667,-55.4146,15.06,G011113;G011294
381923120,351.1285,-54.6931,15.03,G011113;G011294
161154061,339.0778,-48.4691,14.09,G011113
161291020,342.7586,-50.1921,15.41,G011113;G011294
382421834,337.3311,-44.6949,14.48,G011113;G011294
89042812,338.7843,-42.7357,14.66,G011113
92195548,334.2217,-44.8658,15.37,G011113
139831293,325.3568,-48.8316,14.61,G011113
140045537,329.4094,-51.0108,14.37,G011113
143854657,331.7527,-48.2972,15.05,G011113;G011294
147266280,324.0456,-47.5297,15.29,G011113
231668155,319.9062,-55.8383,14.24,G011113;G011203
231692694,321.4724,-55.5158,15.93,G011113
370239521,327.6009,-53.9769,13.52,G011113;G011203
393978659,329.0886,-54.6397,14.94,G011113;G011294;G011294
79056222,315.5933,-48.4635,14.87,G011113
79353860,319.5644,-53.2234,15.94,G011113
231914436,7.4863,-63.4161,15.83,G011113;G011294
234490974,9.093,-59.9243,14.31,G011113
237866154,19.0835,-60.2683,14.91,G011113;G011294
237909146,21.6391,-65.9431,15.39,G011113
271503343,7.7274,-63.3623,14.69,G011113;G011203
277938251,355.1446,-75.7533,14.95,G011113
290403989,330.898,-73.6456,14.2,G011113
290404650,331.0762,-75.2235,14.93,G011113;G011294
325339416,335.004,-74.314,16.58,G011113
325341811,337.6751,-75.2414,15.07,G011113
328029653,3.4618,-71.833,14.7,G011113;G011294
392815631,346.688,-77.3526,14.53,G011113
421871498,338.7066,-77.2226,15.33,G011113
471013508,342.2748,-69.5672,12.9,G011113
