TICID,RA,Dec,Tmag,Keywords
11856757,247.1755,-49.4144,11.81,G03059
120711688,254.533,-45.9824,7.92,G03059
14939457,244.1483,-45.5442,9.48,G03059
15166556,244.5971,-45.8403,8.8,G03059
162565562,242.0497,-44.8674,9.47,G03059
17528840,247.9204,-51.8301,10.19,G03059
22351385,248.4188,-48.9689,11.28,G03059
223789870,246.3193,-47.2055,10.18,G03059
224802820,246.7364,-43.7992,7.76,G03059
225750923,247.2414,-46.1037,10.04,G03059
229024168,248.7888,-44.3808,9.23,G03059
231361766,249.6624,-45.6024,10.3,G03059
2323229,246.0518,-49.1287,9.92,G03059
234531142,250.7988,-47.5107,9.26,G03059
234540238,250.9694,-47.634,10.03,G03059
234639339,251.0351,-47.4693,7.36,G03059
234644092,251.0371,-47.3179,10.02,G03059
234648961,251.0518,-47.4121,9.09,G03059
234752466,250.9262,-45.4626,7.71,G03186;G03059
235416087,251.1931,-47.3888,10.67,G03059
235416305,251.2433,-47.5335,9.24,G03059
235518467,251.3154,-47.3818,10.63,G03059
236073671,251.4777,-44.3766,9.72,G03059
236399745,251.687,-47.4355,10.21,G03059
236409173,251.626,-47.0196,10.39,G03059
236838052,251.8931,-42.8768,8.09,G03059
245496621,252.0322,-47.2703,10.39,G03059
246047409,252.4109,-44.5281,10.55,G03059
246152934,252.6507,-47.6442,9.5,G03059
246631986,253.2125,-42.0569,9.89,G03059
246785266,253.1632,-47.288,9.84,G03059
246913796,253.3083,-43.7494,8.8,G03059
246954609,253.3272,-42.0498,8.51,G03059
247066241,253.4775,-46.0151,8.54,G03059
247264964,253.6502,-41.8939,9.7,G03059
247649462,254.0651,-44.8774,9.06,G03059
282967608,238.3283,-49.5705,11.5,G03059
31035500,249.2504,-48.5416,10.7,G03059
314529804,244.5955,-51.4401,10.04,G03059
315370725,244.7413,-51.0583,9.76,G03059
336967693,252.5632,-41.9667,11.09,G03059
337799477,252.8988,-41.7766,8.92,G03059
338637736,253.2393,-41.5652,6.96,G03059
338733059,253.3308,-41.9083,10.4,G03059
338738989,253.2499,-41.4076,9.73,G03186;G03059
339565265,253.4128,-41.7967,8.36,G03059
339565976,253.5073,-41.8533,8.89,G03059
339567191,253.5594,-41.917,10.12,G03186;G03059
339567760,253.5763,-41.8599,8.3,G03059
339568187,253.6799,-41.8265,8.41,G03059
339570153,253.6229,-41.6542,7.9,G03059
340410584,253.7272,-41.0657,8.82,G03059
347378183,253.8212,-48.8046,8.68,G03059
347520615,253.9735,-48.1478,8.26,G03059
37058342,250.2853,-48.8727,11.0,G03059
39645962,250.331,-48.7632,6.83,G03059
40066259,250.6477,-49.0234,8.93,G03059
410100465,243.7492,-50.2077,10.41,G03059
410672776,243.8643,-50.9836,9.36,G03059
44837913,251.0737,-48.3135,10.76,G03059
45276247,251.3382,-49.0253,9.58,G03059
458246279,250.7988,-41.7193,10.51,G03059
7038369,246.5881,-51.799,9.54,G03059
125100416,256.3277,-46.152,9.08,G03059
15644631,263.5175,-46.6005,7.81,G03059
212415990,256.0051,-51.0837,8.41,G03059
214141856,260.3685,-47.884,11.53,G03059
216151248,258.3834,-45.4531,8.89,G03059
216158265,258.4323,-44.7292,8.27,G03186;G03059
216167514,258.3824,-43.8305,8.94,G03059
216662610,259.1096,-42.6678,7.8,G03059
216875138,259.4987,-42.0607,7.74,G03186;G03059
217059262,259.6727,-42.9918,9.03,G03059
217372512,260.2754,-45.9821,7.65,G03059
218628437,262.9497,-44.9676,10.32,G03059
218761372,263.2166,-45.0265,8.96,G03059
218820355,263.4683,-44.0768,8.21,G03059
248275346,264.708,-46.3159,9.33,G03059
303136029,262.005,-50.4797,10.63,G03059
33678125,267.0328,-42.2868,10.0,G03059
34003157,267.2501,-46.9408,10.01,G03059
372674359,259.6807,-50.5349,10.62,G03059
380435021,257.3367,-41.8408,10.26,G03059
380870688,257.2566,-46.2774,9.27,G03059
49217799,272.7851,-50.7109,10.56,G03059
102643159,263.6771,-32.5817,4.53,G03059;G03156;G_NONSTANDARDMASK;G_NOPHOTOMETRY;G_SPECIAL_APERTURE_25_25
103020281,263.8934,-34.7746,10.93,G03059
104798896,264.2881,-33.2519,9.55,G03059
105839253,264.4832,-33.5341,10.2,G03059
105961652,264.4893,-35.3015,10.82,G03059
106941893,264.7768,-35.4676,9.29,G03059
108694650,265.7725,-34.6451,10.17,G03059
110537200,266.2547,-34.9774,10.39,G03059
110879461,266.4078,-33.2757,10.88,G03059
113404375,267.1078,-34.0487,10.31,G03059
113615657,267.2434,-35.3096,12.86,G03059
