TICID,RA,Dec,Tmag,Keywords
367366318,78.2956,33.3178,8.15,G05095;G05015;G05098;G05069;20SECONDTARGET
138168780,94.7928,73.8275,9.88,G05095;G05015;G05098;G05069;20SECONDTARGET
8400842,65.4696,57.8172,9.44,G05015;G05098;G05069;20SECONDTARGET
268403451,277.4777,85.2334,10.05,G05015;G05098;G05069;20SECONDTARGET
229400092,292.4589,62.5292,11.21,G05015;G05098;G05069;20SECONDTARGET
219854185,256.7705,70.2385,10.8,G05015;G05098;G05131;20SECONDTARGET
