# TESS Program G06027

Title: The TESS Legacy Survey Of Accreting Compact Binaries

PI: Scaringi, Simone - Durham University

Type: MINI

Summary: Accretion is responsible for the growth and evolution of most objects in the Universe, yet many unanswered questions remain in accretion disk physics. We propose to observe a sample accreting compact objects (comprising a mix of accreting white dwarfs, neutron stars, and stellar-mass black holes) at 2-minute cadence with TESS, and 50 at 20 second cadence. These observations will provide a long-lasting legacy dataset unravelling the optical variability properties of a variety of accreting compact objects.


# Sector 070 targets observed (2 min: 53, 20 s: 10)
240122720,101.1431,33.749,13.13,G06057;G06101;G06027;20SECONDTARGET
68580394,103.7264,32.1411,16.1,G06027
721128427,91.4748,28.557,18.15,G06027
721954365,95.8051,31.891,18.29,G06027
741089398,102.5813,30.0453,18.17,G06027
764302436,101.0505,29.9449,17.12,G06027
81189034,91.894,24.1311,18.99,G06027
81806513,92.6833,25.1752,13.94,G06027
82935948,93.933,28.5857,18.41,G06027
86647719,98.0545,25.6062,14.59,G06027
87473721,103.155,24.6061,15.52,G06027
90939259,101.8949,28.106,15.68,G06027
69026620,108.0089,32.4448,14.39,G06027;G06175
740427811,115.157,25.6859,17.71,G06027
740812837,107.604,25.5331,19.27,G06152;G06027
740824586,106.2726,26.1359,18.2,G06027
740921545,110.6702,28.5045,18.59,G06027
91734151,106.0361,26.4197,16.75,G06027
94840820,113.4428,26.324,17.67,G06027
95074141,114.5739,28.9221,17.92,G06027
234386436,112.8708,9.9398,14.9,G06150;G06027;G06175;20SECONDTARGET
255663492,107.1836,19.8068,18.0,G06027
387612744,103.2602,16.6663,16.34,G06027
425144137,105.8218,10.309,14.55,G06175;G06027;20SECONDTARGET
761469654,106.9043,10.8263,18.58,G06168;G06027;20SECONDTARGET
761588370,106.4437,12.2419,18.58,G06027
762158422,111.6693,16.4469,18.06,G06152;G06027
762373868,102.7386,12.1295,18.52,G06027
762926524,103.0126,16.5627,17.81,G06027
763147179,109.0748,16.9931,18.32,G06027
763267031,110.1359,17.4102,18.08,G06152;G06027
763641929,108.3636,20.9312,18.13,G06027
17745208,117.8221,14.74,13.84,G06027
19028616,119.7208,16.2792,15.37,G06027;20SECONDTARGET
271137877,119.2213,8.9755,17.22,G06027
271206568,119.5367,10.7293,16.93,G06027
271207314,119.684,12.0315,14.27,G06027
740011643,118.7819,14.5964,18.64,G06049;G06027
740104390,119.9158,19.2381,17.66,G06027
760463960,117.8208,10.0045,18.31,G06027
761871675,117.7498,14.1972,18.63,G06027
761926252,116.0357,15.6527,17.67,G06152;G06027
800771427,121.2062,16.2735,18.35,G06027
14544042,125.5803,20.3899,15.9,G06049;G06028;G06027;20SECONDTARGET
165818951,122.1925,31.5183,17.95,G06152;G06027;G06168;20SECONDTARGET
