# TESS Program G06194

Title: A Survey Of Oscillations And Granulation In Subgiant Stars

PI: Chontos, Ashley - Princeton University

Type: SMALL

Summary: Brightness variations observed in high-precision light curves encode powerful information about fundamental properties and convection in subgiant stars through oscillations and granulation. However, the current sample of subgiants with measured oscillations and granulation is predominantly focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to perform a survey of oscillations and granulation in subgiant stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as the mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 070 targets observed (2 min: 392, 20 s: 4)
35666205,23.7009,-3.4462,9.35,G06194
35706202,24.2245,-0.531,8.43,G06194
365063993,20.7371,7.4208,6.45,G06194
365074093,21.2474,6.2584,8.02,G06194
365178980,22.7773,6.6196,7.65,G06194
369494111,18.6875,4.5968,8.09,G06194
369533064,25.2172,1.6286,7.88,G06194
388815437,18.4654,5.1417,7.17,G06194
399671028,19.9293,0.106,8.34,G06194
399702810,20.7201,1.1724,9.2,G06194
399724916,21.0353,1.0081,9.95,G06194
429051620,25.1876,3.739,8.92,G06194
257913154,17.9319,8.5803,8.55,G06194
258768772,10.3817,12.9586,7.13,G06194
258844930,14.8988,16.1138,7.93,G06194
303337108,12.5273,16.5728,8.95,G06194
303339422,12.6576,16.9893,7.98,G06194
333129427,11.4811,13.7833,8.64,G06194
336778441,14.2024,13.029,8.83,G06194
336800310,16.0329,15.2275,7.97,G06194
376921099,18.7132,9.7409,7.54,G06194
384881668,16.2724,14.9465,5.23,G06194
385110400,19.9285,12.1458,7.68,G06194
385116000,20.5107,15.789,6.89,G06194
408252252,17.2965,12.6932,8.06,G06194
414826152,13.6726,15.1339,10.3,G06194
414943410,15.394,14.0521,10.03,G06194
429033905,10.8505,15.0955,7.7,G06194
429052944,15.6238,6.9984,9.38,G06194
257201688,6.5077,3.8883,8.56,G06194;G06024
257303588,7.5361,4.8602,6.1,G06194
257322867,7.9891,3.8623,8.27,G06194
257503647,0.7432,3.3819,8.08,G06194
257523133,0.917,3.9069,7.51,G06194
272155760,9.2382,5.4125,7.8,G06194
318705838,8.5347,5.9581,7.2,G06194
38380758,3.2523,2.9495,8.14,G06194
401429203,8.8684,11.8393,7.81,G06194
405213311,4.3519,8.8764,7.29,G06194
418759655,2.4888,8.5767,8.28,G06194
468346007,6.3218,10.8078,10.53,G06194
58735561,3.7497,5.588,7.94,G06194
10756658,9.2343,-6.5646,7.66,G06194
212959156,8.8878,-0.506,5.5,G06194
213010660,10.7581,-3.8563,6.89,G06194
244165930,6.0597,-4.5028,8.49,G06194
244203004,7.8497,-2.0174,9.27,G06194
257202349,6.5118,0.437,7.69,G06194
257431346,12.7684,2.7431,7.09,G06194
257590202,11.7203,0.3765,7.96,G06194
257593145,11.9475,2.9043,8.08,G06194;G06024
318706589,8.5938,2.4537,8.76,G06194
318717882,10.6707,1.695,8.12,G06194
333606285,12.8036,-5.1836,8.32,G06194
344623987,13.4112,1.9095,8.54,G06194
37775599,5.7542,-6.37,8.19,G06194
3837071,10.5484,-6.2468,8.32,G06194
3903969,11.6153,-6.6851,7.89,G06194
398672117,13.6813,-7.2382,8.53,G06194
40059648,6.8361,-8.6589,7.47,G06194
423344044,5.3049,-3.3114,6.86,G06194
423357754,14.4715,-4.244,8.28,G06194
423386617,15.0158,-2.0193,6.92,G06194
113673036,25.1206,19.5375,9.35,G06194
113675409,25.305,22.4679,8.67,G06194
113675415,25.3103,22.4556,10.17,G06194
127019241,23.7107,20.7524,8.85,G06194
150973984,23.9396,19.6704,7.92,G06194
150977401,24.2039,21.2584,8.38,G06194
150978949,24.2873,20.6999,8.03,G06194
150990892,24.5104,21.8858,7.38,G06194
306341705,31.5664,20.5922,7.03,G06194
365189828,24.5387,10.7219,9.36,G06194
404644861,28.24,15.5973,9.15,G06194
404646401,28.3092,15.4336,8.27,G06194
404647507,28.3746,12.6822,6.62,G06194
404711720,29.6986,17.0256,7.27,G06194
404738533,30.5956,14.1113,9.04,G06194
405341081,22.1023,17.079,6.12,G06194
405350987,22.4272,17.0989,7.5,G06194
408568053,33.9824,15.8187,7.61,G06194
456862290,21.196,20.1591,7.55,G06194
456869596,21.787,19.7484,10.6,G06194
456905162,26.2323,20.0825,5.65,G06058;G06194
456910508,26.5459,22.4485,8.46,G06194
456935909,27.1518,22.402,7.64,G06194
456937140,27.2774,21.3648,8.99,G06194
58868990,24.7342,17.2266,8.19,G06194
60922026,25.8808,22.4677,9.69,G06194
60961283,29.3083,19.2772,7.95,G06194
88727635,25.8096,12.9544,8.11,G06194
88751368,25.9727,17.4184,9.13,G06194
88815897,27.0865,17.0231,6.75,G06194
