TICID,RA,Dec,Tmag,Keywords
167803343,162.4996,-21.5691,13.59,G05057
188242805,162.9071,-24.294,15.36,G05057
20448010,168.5918,-24.3582,12.87,G05148;G05057
219249015,171.5451,-20.0274,14.66,G05057
219382963,172.1771,-18.9722,15.65,G05057
322778114,169.1915,-28.8441,16.16,G05057
363347767,163.771,-26.8104,15.83,G05057
408419568,161.36,-22.9937,16.16,G05057
410427329,167.2945,-20.415,15.6,G05057
413300076,160.1536,-23.711,15.39,G05057
413324579,160.2345,-22.5255,14.92,G05057
437230991,164.7624,-21.4923,14.73,G05057
437237493,165.1946,-21.2199,14.94,G05057
461133920,165.3535,-27.8616,15.66,G05057;20SECONDTARGET
461156754,165.6344,-25.374,14.63,G05057
471015344,159.03,-24.1432,16.45,G05057;20SECONDTARGET
142312912,181.1892,-31.7144,15.52,G05057;20SECONDTARGET
14680532,174.3712,-28.1619,12.8,G05148;G05057
14684028,174.6198,-29.1153,14.75,G05057
14717912,174.7926,-25.3488,14.31,G05057
157323544,176.7925,-32.3585,12.4,G05057
204671405,185.0189,-26.811,14.93,G05057
219641382,175.2126,-22.9128,12.88,G05057
293111239,178.3985,-28.381,14.37,G05057
305685377,175.7181,-21.5739,14.28,G05057
322808734,173.7239,-28.613,16.26,G05057
32660909,176.3558,-28.2076,14.08,G05057
32661254,176.3691,-27.3067,10.94,G05057
333796807,175.9509,-22.5563,15.4,G05057;20SECONDTARGET
402107174,182.3381,-28.0705,15.9,G05057
403800675,179.3663,-28.0648,14.92,G05097;G05148;G05057;20SECONDTARGET
403801221,179.295,-29.421,15.62,G05057
429151246,173.041,-24.8042,14.73,G05057
448694663,182.2056,-30.6934,16.18,G05094;G05057
471013465,175.7635,-28.0106,15.34,G05057
471013482,175.4848,-30.5055,16.18,G05057
471013521,176.2259,-29.153,15.21,G05057
471015424,179.002,-29.4833,16.53,G05057
471015425,176.605,-30.484,16.56,G05057
52215924,176.2089,-23.4718,15.46,G05057;20SECONDTARGET
5630042,178.9281,-23.5659,16.25,G05057
5649509,179.0627,-23.8627,15.63,G05057
98871628,180.2277,-27.4125,14.03,G05148;G05097;G05057;20SECONDTARGET
98873439,180.3924,-25.6734,14.54,G05057
98994305,181.3017,-26.6137,14.66,G05057
99180081,184.0267,-27.0589,14.52,G05057
152823245,181.4856,-11.0912,16.03,G05057
180205000,179.2643,-15.2696,15.91,G05097;G05057
180255642,179.7908,-14.8994,12.42,G05057
180264229,180.4769,-17.1316,13.93,G05057
181859563,189.9855,-14.4132,16.38,G05057
22457223,186.6732,-18.0507,16.06,G05057
297026647,187.0307,-12.5083,14.76,G05057
335496790,178.7912,-12.1987,16.25,G05057
349063534,185.1255,-17.9433,16.2,G05057
38579538,180.2805,-18.8067,15.04,G05057
38624356,180.6751,-18.0831,15.69,G05057
386703105,188.8278,-13.9191,13.42,G05057
415806515,184.8132,-19.1186,13.97,G05057
423530923,185.2693,-21.3017,13.89,G05057
428670887,179.6691,-20.4975,16.06,G05084;G05115;G05097;G05148;G05081;G05057;20SECONDTARGET
428683815,180.0235,-19.0344,13.17,G05057
471013487,187.9987,-14.6851,16.22,G05057
471013665,183.4547,-14.9022,16.41,G05057
52252243,176.4707,-18.9512,14.17,G05057
5816844,187.3468,-18.1355,14.71,G05057;20SECONDTARGET
5867325,187.6044,-19.5914,14.63,G05057
83112462,188.2737,-18.496,15.21,G05057
952087515,187.1244,-22.8827,16.39,G05057
143058705,167.9011,-7.3091,14.12,G05057
