TICID,RA,Dec,Tmag,Keywords
179230828,158.6,-23.7341,12.67,G05002;G05054;20SECONDTARGET
181804752,165.69,-16.4066,13.56,G05002;G05064;G05152;20SECONDTARGET
306996324,178.5787,-37.5537,9.74,G05144;G05002;G05121;20SECONDTARGET
20318757,167.1331,-29.6531,10.21,G05002;20SECONDTARGET
349972412,114.4673,-62.0783,12.55,G05002;G05054
307210830,124.5334,-68.3152,9.41,G05015;G05123;G05144;G05002;G05064;G05152;G05121;20SECONDTARGET
307849973,128.5069,-66.7686,11.92,G05002;20SECONDTARGET
142087638,98.442,-74.1901,11.15,G05002;G05054
167415965,99.4578,-70.9307,8.01,G05144;G05002;20SECONDTARGET
271596225,108.5638,-74.6034,11.71,G05002;20SECONDTARGET
300710077,115.2711,-71.3034,11.98,G05002;G05152
300812741,116.9732,-71.0021,10.05,G05002
391903064,106.5298,-75.8195,8.78,G05144;G05106;G05064;G05002;20SECONDTARGET
150030205,90.9846,-60.6663,9.11,G05144;G05002;20SECONDTARGET
150151262,92.9361,-65.8258,9.91,G05144;G05002;G05121;20SECONDTARGET
150428135,97.0952,-65.5783,10.91,G05042;G05114;G05002;G05064;20SECONDTARGET
150428703,97.1662,-64.5964,11.76,G05002
167600516,102.0213,-65.6245,10.69,G05002;20SECONDTARGET
278683844,99.2386,-58.0166,9.28,G05144;G05002;20SECONDTARGET
375059587,100.1043,-63.339,9.82,G05144;G05002;20SECONDTARGET
149302744,83.3822,-62.109,9.81,G05144;G05002;20SECONDTARGET
149349867,83.7837,-64.1166,10.4,G05002
220459826,74.8683,-55.929,11.84,G05002;20SECONDTARGET
38510224,62.5162,-61.9428,11.75,G05002
55652896,73.9799,-63.2605,11.57,G05002;G05003;G05054;20SECONDTARGET
29781292,65.2384,-68.1027,8.94,G05144;G05002;20SECONDTARGET
388106759,62.8539,-69.4748,10.52,G05002
